ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,bookValue,enterpriseValue,trailingEps,forwardEps,priceToBook,beta,profitMargins
2020,2020 Bulkers,Industrials,78.0,77.4,78.0,38,,1729.33,0.0263,-0.037000000000000005,-0.0674,-0.1058,,,,,,,,0.0
FIVEPG,5th Planet Games,Communication services,0.4,0.38,0.4,66,LP,21.49,0.0127,0.1494,0.1494,0.084,-0.7241,0.174,19798400.0,-0.11800000000000001,,2.2988508,1.302454,0.0
AASB-ME,Aasen Sparebank,Equity certificates,134.0,130.0,135.0,2,LP,135.86,,,0.0388,0.0388,0.2622,,,,,,0.23930700000000002,0.40016997
ASC,ABG Sundal Collier Holding,Financials,4.11,4.11,4.12,47,,1876.91,0.0012,-0.0072,0.034,0.0301,-0.0267,1.442,1598438400.0,0.305,0.43,2.8502080000000003,0.8275299999999999,0.13757
ADE,Adevinta,Communication services,109.0,108.8,109.0,505,,74659.39,0.0093,0.0111,0.0583,0.0481,,,74245120000.0,,,,,0.048589999999999994
ADSC-ME,ADS Crude Carriers,Energy,28.0,27.8,28.0,56,,654.93,0.0145,-0.0667,0.0145,-0.0278,0.4375,,,,,,,0.0
AEGA,Aega,Utilities,1.16,1.11,1.2,8,,55.74,0.0357,-0.0169,0.0545,-0.0333,0.2618,0.165,56116100.0,-0.057999999999999996,,7.0303024999999995,-0.6089060000000001,0.41834998
AFG,AF Gruppen,Industrials,176.0,175.5,176.0,84,,18135.39,0.0,0.0144,0.005699999999999999,0.0,0.3467,18.257,19116099584.0,8.995,8.39,9.640138,0.22186199999999998,0.04131
AKA,Akastor,Energy,9.19,9.16,9.19,70,,2496.09,0.0155,-0.0182,-0.0108,-0.0755,-0.2876,15.937999999999999,4908093952.0,-1.881,0.4,0.5766094,0.4834,-0.10440999999999999
AKER,Aker,Financials,531.5,531.5,532.0,969,,39473.7,0.0028000000000000004,-0.0551,-0.006500000000000001,-0.0221,-0.0526,260.459,91674861568.0,-4.968,26.25,2.0406282,1.015384,-0.008169999
AKERBP,Aker BP,Energy,280.0,280.0,280.1,3204,,100831.78,0.009000000000000001,-0.044,-0.0278,-0.0278,0.0934,6.792000000000001,104057151488.0,0.258,,41.22497,1.2170040000000002,0.02864
AKSO,Aker Solutions,Energy,20.9,20.9,20.91,1383,,5683.6,0.018500000000000003,-0.0534,-0.1292,-0.1545,-0.5476,27.241,13176000512.0,1.317,2.33,0.76722586,0.990283,0.01237
AKVA,AKVA Group,Industrials,74.0,73.6,74.0,6,LP,2449.88,0.008199999999999999,-0.0133,-0.008,0.0,0.1275,32.93,3543555072.0,3.56,5.73,2.247191,0.038866000000000005,0.0376
AMSC,American Shipping Company,Industrials,32.2,32.2,32.3,76,,1951.85,0.0094,-0.0183,-0.0228,-0.0198,0.056,2.739,2477051392.0,0.079,0.37,11.756115,0.31902800000000003,0.054569997
ABT,Aqua Bio Technology,Materials,2.74,2.66,2.76,7,LP,42.07,0.0,-0.0616,0.1417,0.1709,-0.0214,1.923,27280152.0,-1.9409999999999998,-0.54,1.424857,0.971659,0.0
AQUA,AqualisBraemar,Energy,4.49,4.23,4.49,5,,315.72,0.0205,0.0442,0.2168,0.1542,0.0442,0.604,179226640.0,0.057,0.14,7.433775,0.809716,0.24655001
ARCHER,Archer,Energy,3.12,3.06,3.12,62,,461.56,0.023,-0.0311,0.0331,-0.0189,-0.3858,0.6559999999999999,1109281536.0,-0.74,0.06,4.7560972999999995,3.076923,-0.12929000000000002
ARCUS,Arcus,Consumer staples,36.5,36.2,36.5,47,,2474.72,0.0027,0.0,0.0139,0.0,-0.0608,23.366999999999997,4301717504.0,1.902,3.34,1.5620319,-0.051463,0.04913
