ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,err,state
2020,2020 Bulkers,Industrials,55.2,54.8,55.2,45,,1223.83,-0.0036,0.011,-0.035,-0.3648,-0.285,HM11,Industrials,4.0,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,Marine Shipping,2nd Floor 9 Par-la-Ville Road,55.4,56.8,58.075363,0.0029783393,2.2674,,56.8,,14846.0,,55.4,53.864704,0.165,56.8,,14846.0,,,,1.86,1581552000.0,1.07216,,,54.2,2.0,NOK,904.918,10325.0,,,,1223833728.0,,,30758.0,72.4162,54.2,55.2,,,10325.0,93.8,,,,39.0,54.8,False,0.032899998,,56.8,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,83.448,,0.07692,,-0.274359,,,,22170900.0,,,6.184,,,,1577750400.0,0.19871001,1300000.0,0.061,,0.08197391,8.926261,0.57717997,1640908800.0,1585612800.0,,,9024667.0,1410268160.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,,,,,,,
FIVEPG,5th Planet Games,Communication services,1.68,1.66,1.68,814,LP,178.61,0.003,0.2,-0.0265,4.7515,1.4394,1123,Communication Services,16.0,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,Electronic Gaming & Multimedia,,1.675,1.66,1.0733146999999998,,0.0,,1.76,,530947.0,,1.675,1.9238362,,1.66,,530947.0,,,,,,2.6790689999999997,,,1.52,4.0,NOK,,3988678.0,,,,130136488.0,,,6777665.0,,1.52,1.62,,0.0,3988678.0,3.8,,,,0.25,1.65,False,,0.0,1.76,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,0.5668204000000001,,,,77462200.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.08197391,9.655172,0.50402,1640908800.0,1577750400.0,,,41707742.0,90007816.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,110.0,110.0,114.0,0,LP,111.53,,,-0.0517,-0.08470000000000001,-0.0078,7630,Financial Services,,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Asen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,Banks—Regional,,110.0,110.0,121.81159,0.07272727,1.0156,,110.0,,105.0,,110.0,114.17647,8.0,110.0,,105.0,,,,8.0,1583798400.0,0.401681,,,110.0,2.0,NOK,2.94275,100.0,,,,111530096.0,,,38.0,1.080718,110.0,114.0,,,100.0,153.0,,,,105.0,110.0,False,0.070199996,,110.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.0329999999999995,,0.36725,,-0.07563025,,,,1013910.0,,,485.69199999999995,,,,1577750400.0,0.0,37900000.0,37.38,,0.08197391,0.22648099,0.0,1640908800.0,1585612800.0,,,553343.0,725802432.0,,,,,,-0.32799999999999996,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 01,,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.54,4.53,4.54,76,,2001.7,0.0134,0.01,0.081,0.2066,0.3699,0250,Financial Services,275.0,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,Capital Markets,7th floor,4.48,4.5,3.7886593,0.04910714,0.8062,,4.55,,318540.0,,4.48,4.2179413,0.22,4.5,,318540.0,,,,0.22,1588118400.0,0.98372,,,4.47,4.0,NOK,9.8910675,183017.0,,,,2001699584.0,,,511900.0,1.4162801999999999,4.47,4.545,,185000.0,183017.0,4.58,10.558139,,10.49,2.69,4.53,False,0.048899997,340000.0,4.55,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.082,,0.17288,,0.23287666,,0.43,,440903008.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.08197391,3.0408573,0.18238,1640908800.0,1593475200.0,,,348806080.0,1529567744.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,,,,,,,
ADE,Adevinta,Communication services,144.8,144.8,144.9,16221,,99167.66,,0.4182,0.4783,0.3923,0.6089,0159,Communication Services,3564.0,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates independently of Schibsted ASA. as of April 9, 2019.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,Internet Content & Information,,115.0,160.0,100.25253000000001,,0.0,,160.2,,352474.0,,115.0,101.32647,,160.0,,352474.0,,,,,,,,,138.3,2.0,NOK,,3692749.0,,,,99167731712.0,,,306269.0,,138.3,144.8,,,3692749.0,160.2,,,,66.7,143.8,False,,,160.2,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.27071822,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.08197391,,0.66005,1640908800.0,1593475200.0,,,223708700.0,75324997632.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,18.7,18.7,18.75,24,,437.4,-0.0027,0.0054,-0.0532,-0.2315,0.1058,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,Marine Shipping,22 Amathountos Agios Tychonas,18.75,18.75,23.352536999999998,,0.4088,,18.75,,18019.0,,18.75,19.845589,,18.75,,18019.0,,,,4.21,1591228800.0,,,,18.6,2.0,NOK,,21133.0,,,,437398624.0,,,171353.0,,18.6,18.75,,,21133.0,33.4,,,,16.1,18.7,False,0.2245,,18.75,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.0625,,,,23390300.0,,,,,,,,0.09734,,,,0.08197391,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,,,,,,
AEGA,Aega,Utilities,1.24,1.18,1.24,26,,59.58,0.0248,0.0,0.016399999999999998,0.069,-0.0242,274,Utilities,2.0,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,Utilities—Renewable,,1.21,1.18,1.2202898000000002,0.0033057851,,,1.25,,63439.0,,1.21,1.1964706,0.004,1.18,,63439.0,,,,0.04,1591142400.0,-0.703488,,,1.14,4.0,NOK,,46013.0,,,,59582992.0,,,42752.0,,1.14,1.24,,394100.0,46013.0,1.62,,,,1.05,1.18,False,0.0339,60000.0,1.25,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.16666669,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.08197391,7.5151515,0.46798,1640908800.0,1585612800.0,,,24350240.0,58141508.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,
AFG,AF Gruppen,Industrials,179.4,179.4,180.0,105,,18838.61,0.005600000000000001,-0.0088,0.0193,0.0572,0.1269,0663,Industrials,5526.0,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,Engineering & Construction,,178.4,178.4,166.99275,0.05325112,1.0266,,180.0,,27869.0,,178.4,176.3,9.5,178.4,,27869.0,,,,12.0,1589760000.0,0.43662700000000004,,,178.4,2.0,NOK,21.727018,8868.0,,,,18838614016.0,,,21188.0,0.7863183000000001,178.4,179.8,,178000.0,8868.0,185.0,21.382597,,5.42,124.5,179.6,False,0.066300005,52100.0,180.0,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.8170000000000001,,0.03506,15.037,0.06784665599999999,,8.39,,105009000.0,,,22.213,,,,1577750400.0,0.14407,840000000.0,8.257,,0.08197391,8.076352,0.60915,1640908800.0,1585612800.0,,,40215335.0,19578236928.0,,1263772800.0,5:1,,,-0.1,,,,,,,,https://logo.clearbit.com/afgruppen.com,,,,,,,
AKA,Akastor,Energy,5.62,5.6,5.62,272,,1526.45,0.0485,0.1085,0.1129,-0.4346,-0.5113,1366,Energy,2112.0,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",Barum,47 21 52 58 00,Norway,[],http://akastor.com,1.0,Building B,Oil & Gas Equipment & Services,Oksenoyveien 10 Lysaker,5.36,5.34,5.9764495,,0.0,,5.72,,841626.0,,5.36,4.992647,,5.34,,841626.0,,,,,1397174400.0,1.273837,,,5.34,2.0,NOK,,608443.0,,,,1526448128.0,,,436272.0,0.26954759999999994,5.34,5.56,,52200.0,608443.0,12.4,14.049999,,,3.52,5.51,False,,227000.0,5.72,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.6609999999999999,,-0.0498,12.035,-0.5225695,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.08197391,0.3783238,0.51141,1640908800.0,1593475200.0,,,136612714.0,3742857216.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,,,,,,,
AKER,Aker,Financials,405.8,405.0,406.0,2383,,30138.15,0.0393,0.1484,0.1129,-0.2309,-0.1531,1366,Energy,21865.0,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1.0,Oksenoyveien 10,Oil & Gas Equipment & Services,,390.45,396.8,364.3826,0.057625815,,,407.6,,205284.0,,390.45,357.81177,22.5,396.8,,205284.0,,,,,1595289600.0,1.701744,,,393.2,2.0,NOK,,196526.0,,,,30135842816.0,,,233383.0,0.63973176,393.2,406.4,,111700.0,196526.0,566.0,15.459047,,4.6,182.2,405.8,False,,108400.0,407.6,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.8840000000000001,,-0.08871,34.73,-0.15278345,,26.25,,74262800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.08197391,1.6139551,0.70268,1640908800.0,1593475200.0,,,67703874.0,88769478656.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,47 24 13 01 01,,,,,,
