ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
2020,2020 Bulkers,Industrials,55.8,56.0,56.8,58,,1237.14,0.0372,0.041,0.041,-0.3579,-0.2623,HM11,Industrials,4.0,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,Marine Shipping,2nd Floor 9 Par-la-Ville Road,53.8,54.4,56.77664,0.0030669146,2.2674,,57.6,,10382.0,,53.8,54.52353000000001,0.165,54.4,,10382.0,,,,1.86,1581552000.0,1.07216,,,54.4,2.0,NOK,914.7541,24845.0,,,,1237136256.0,,,30604.0,73.20333000000001,54.4,56.8,,,24845.0,93.8,,,,39.0,56.0,False,0.0346,,57.6,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,81.34899999999999,,0.07692,,-0.2987013,,,,22170900.0,,,6.184,,,,1577750400.0,0.19871001,1300000.0,0.061,,0.07987571,9.023286,0.57717997,1640908800.0,1585612800.0,,,9024667.0,1374794752.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,,,,,,
FIVEPG,5th Planet Games,Communication services,1.96,1.97,1.99,292,LP,208.38,0.0051,-0.0439,0.1679,5.7101,1.8137,1123,Communication Services,16.0,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,Electronic Gaming & Multimedia,,1.95,1.96,1.135098,,0.0,,2.07,,5120055.0,,1.95,1.8106008999999998,,1.96,,5120055.0,,,,,,2.6790689999999997,,,1.96,4.0,NOK,,880530.0,,,,151825920.0,,,6460612.0,,1.96,1.99,,0.0,880530.0,3.8,,,,0.25,1.97,False,,0.0,2.07,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.2682927,,,,77462200.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.07987571,11.264368,0.50402,1640908800.0,1577750400.0,,,41707742.0,99948976.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,114.0,110.0,117.0,0,LP,115.59,,,-0.0087,-0.0514,0.0283,7630,Financial Services,,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Asen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,Banks—Regional,,114.0,114.0,121.11679,0.07017544,1.0156,,114.0,,18.0,,114.0,113.76471000000001,8.0,114.0,,18.0,,,,8.0,1583798400.0,0.401681,,,114.0,2.0,NOK,3.0497591,100.0,,,,115585744.0,,,41.0,1.1200169,114.0,136.0,,,100.0,153.0,,,,105.0,0.0,False,0.070199996,,114.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.072,,0.36725,,-0.042016804000000005,,,,1013910.0,,,485.69199999999995,,,,1577750400.0,0.0,37900000.0,37.38,,0.07987571,0.23471665,0.0,1640908800.0,1585612800.0,,,553343.0,729858112.0,,,,,,-0.32799999999999996,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 01,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.33,4.3,4.33,33,,1906.91,-0.0138,-0.0488,0.03,0.1402,0.325,0250,Financial Services,275.0,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,Capital Markets,7th floor,4.35,4.375,3.8040512000000004,0.050574712,0.8062,,4.375,,175346.0,,4.35,4.275588,0.22,4.375,,175346.0,,,,0.22,1588118400.0,0.98372,,,4.29,4.0,NOK,9.422658,192802.0,,,,1906905472.0,,,483037.0,1.3492097,4.29,4.325,,185000.0,192802.0,4.58,10.058139,,10.49,2.69,4.3,False,0.0506,340000.0,4.375,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.042,,0.17288,,0.23529410000000003,,0.43,,440903008.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.07987571,2.8968517999999994,0.18238,1640908800.0,1593475200.0,,,348806080.0,1472299136.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,,,,,,
ADE,Adevinta,Communication services,147.9,147.6,148.0,808,,101290.72,0.0321,0.002,0.524,0.4221,0.5471,0159,Communication Services,3564.0,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,Internet Content & Information,,143.3,143.0,101.43248,,0.0,,150.3,,1090513.0,,143.3,106.39117399999999,,143.0,,1090513.0,,,,,,,,,140.4,2.0,NOK,,158506.0,,,,101633220608.0,,,374614.0,,140.4,148.0,,,158506.0,160.2,,,,66.7,147.6,False,,,150.3,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.4700508,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.07987571,,0.66005,1640908800.0,1593475200.0,,,223708700.0,94844002304.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,18.3,18.2,18.3,33,,428.04,-0.0054,-0.0188,-0.06150000000000001,-0.2479,0.0612,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,Marine Shipping,22 Amathountos Agios Tychonas,18.4,18.35,22.80657,,0.4088,,18.4,,24624.0,,18.4,19.241177,,18.35,,24624.0,,,,4.21,1591228800.0,,,,18.0,2.0,NOK,,53178.0,,,,428042464.0,,,117622.0,,18.0,18.3,,,53178.0,33.4,,,,16.1,18.2,False,0.2282,,18.4,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.11298072,,,,23390300.0,,,,,,,,0.09734,,,,0.07987571,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,,,,,
AEGA,Aega,Utilities,1.29,1.29,1.3,13,,61.99,-0.0077,0.0488,0.0574,0.1121,0.0712,274,Utilities,2.0,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,Utilities—Renewable,,1.3,1.3,1.2230657,0.0030769233,,,1.34,,177711.0,,1.3,1.2055882,0.004,1.3,,177711.0,,,,0.04,1591142400.0,-0.703488,,,1.29,4.0,NOK,,28388.0,,,,61985532.0,,,55052.0,,1.29,1.3,,394100.0,28388.0,1.85,,,,1.05,1.29,False,0.0308,60000.0,1.34,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.12162167,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.07987571,7.818181500000001,0.46798,1640908800.0,1585612800.0,,,24350240.0,62466084.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,
AFG,AF Gruppen,Industrials,174.4,174.4,174.6,17,,18313.57,-0.005699999999999999,-0.0311,0.0283,0.0277,0.0922,0663,Industrials,5526.0,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,Engineering & Construction,,175.4,175.0,167.16788,0.054161917000000004,1.0266,,178.4,,7776.0,,175.4,176.8,9.5,175.0,,7776.0,,,,12.0,1589760000.0,0.43662700000000004,,,174.4,2.0,NOK,21.121471,722.0,,,,18313568256.0,,,20510.0,0.76440305,174.4,174.6,,178000.0,722.0,185.0,20.78665,,5.42,124.5,174.4,False,0.0684,52100.0,178.4,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.804,,0.03506,14.8,0.059171557,,8.39,,105009000.0,,,22.213,,,,1577750400.0,0.14407,840000000.0,8.257,,0.07987571,7.8512583,0.60915,1640908800.0,1585612800.0,,,40215335.0,19269640192.0,,1263772800.0,5:1,,,-0.1,,,,,,,,https://logo.clearbit.com/afgruppen.com,,,,,,
AKA,Akastor,Energy,6.16,6.16,6.18,167,,1673.12,0.0216,0.0922,0.2571,-0.3803,-0.4643,1366,Energy,2112.0,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",Barum,47 21 52 58 00,Norway,[],http://akastor.com,1.0,Building B,Oil & Gas Equipment & Services,Oksenoyveien 10 Lysaker,6.03,6.17,5.8172994000000005,,0.0,,6.21,,445665.0,,6.03,5.1223529999999995,,6.17,,445665.0,,,,,1397174400.0,1.273837,,,5.94,2.0,NOK,,326657.0,,,,1673117440.0,,,451787.0,0.2954472,5.94,6.18,,52200.0,326657.0,12.4,15.4,,,3.52,6.16,False,,227000.0,6.21,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.693,,-0.0498,12.62,-0.49647266,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.07987571,0.4146752,0.51141,1640908800.0,1593475200.0,,,136612714.0,3924714240.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,,,,,,
AKER,Aker,Financials,382.6,382.4,382.8,563,,28415.12,-0.0114,-0.0416,0.126,-0.2749,-0.183,1366,Energy,21865.0,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1.0,Oksenoyveien 10,Oil & Gas Equipment & Services,,387.0,387.0,357.36496,0.058139537000000005,0.0,,388.2,,105558.0,,387.0,364.54117,22.5,387.0,,105558.0,,,,11.75,1595289600.0,1.701744,,,380.2,2.0,NOK,,54499.0,,,,28412948480.0,,,224711.0,0.6031576999999999,380.2,382.8,,111700.0,54499.0,566.0,14.575238,,,182.2,382.4,False,0.0304,108400.0,388.2,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.86,,-0.08871,34.288000000000004,-0.18251598,,26.25,,74262800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.07987571,1.5216838,0.70268,1640908800.0,1593475200.0,,,67703874.0,87640686592.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,47 24 13 01 01,,,,,
