ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
2020,2020 Bulkers,Industrials,56.6,56.2,57.0,39,,1254.87,-0.006999999999999999,0.055999999999999994,0.076,-0.34869999999999995,-0.24780000000000002
FIVEPG,5th Planet Games,Communication services,2.0,2.0,2.02,190,LP,212.64,-0.0196,-0.061,0.22649999999999998,5.847,1.9865000000000002
AASB-ME,Aasen Sparebank,Equity certificates,114.0,110.0,117.0,0,LP,115.59,,,-0.0087,-0.051399999999999994,0.028300000000000002
ASC,ABG Sundal Collier Holding,Financials,4.2,4.2,4.23,50,,1852.11,-0.0187,-0.06559999999999999,0.047400000000000005,0.11630000000000001,0.30269999999999997
ADE,Adevinta,Communication services,151.0,150.9,151.3,1345,,103413.79,0.0216,0.073,0.5901,0.4548,0.5679
ADSC-ME,ADS Crude Carriers,Energy,18.3,18.3,18.4,12,,428.04,-0.0054,-0.0108,-0.046900000000000004,-0.24789999999999998,0.040999999999999995
AEGA,Aega,Utilities,1.32,1.25,1.34,14,,63.43,0.0233,0.1282,0.08199999999999999,0.1379,0.0739
AFG,AF Gruppen,Industrials,175.8,175.2,175.8,33,,18460.58,0.0046,-0.0255,0.0046,0.036000000000000004,0.0977
AKA,Akastor,Energy,5.86,5.92,5.98,97,,1591.63,-0.0362,0.0103,0.20579999999999998,-0.4105,-0.48869999999999997
AKER,Aker,Financials,385.0,385.0,385.8,402,,28593.37,-0.005699999999999999,-0.0253,0.1331,-0.2703,-0.16469999999999999
AKBM-ME,Aker BioMarine,Consumer staples,88.53,88.53,89.0,74,,7754.00,-0.0239,-0.0632,,,
AKERBP,Aker BP,Energy,177.75,177.75,177.9,1312,,63921.30,-0.0106,-0.0342,-0.015,-0.3625,-0.24480000000000002
AKSO,Aker Solutions,Energy,15.08,15.07,15.1,846,,4100.90,-0.0013,0.01,0.7353000000000001,-0.39,-0.4757
AKVA,AKVA Group,Industrials,62.6,62.0,62.6,7,LP,2072.46,0.0064,-0.0219,0.0229,-0.1422,-0.1759
AMSC,American Shipping Company,Industrials,27.15,27.1,27.2,12,,1645.74,-0.0018,-0.0163,0.086,-0.12560000000000002,-0.1322
ANDF-ME,Andfjord Salmon,Consumer staples,57.98,56.51,57.95,33,,1953.96,0.0014000000000000002,-0.0288,0.15960000000000002,,
ABT,Aqua Bio Technology,Materials,4.7,4.7,4.72,6,LP,72.17,-0.0208,-0.048600000000000004,0.2983,1.0085,0.8952
AQUA,AqualisBraemar,Energy,4.6,4.34,4.6,1,,323.46,0.0,-0.0171,0.1856,0.24480000000000002,0.2577
ARCHER,Archer,Energy,2.1,2.1,2.11,27,,309.92,-0.021,-0.0368,0.0,-0.34119999999999995,-0.5514
AZT,ArcticZymes Technologies,Health care,44.3,44.3,44.5,131,,2141.23,-0.015600000000000001,0.0023,0.5223,8.3263,
ARCUS,Arcus,Consumer staples,40.7,40.5,40.7,16,,2759.49,0.0049,-0.0121,0.054400000000000004,0.16210000000000002,0.1311
AFK,Arendals Fossekompani,Industrials,2960.0,2920.0,2960.0,0,,6480.68,,,0.1128,0.1502,0.1635
ASETEK,Asetek,Information technology,62.3,62.2,62.8,52,,1571.31,-0.0401,-0.0032,0.16010000000000002,1.0097,2.2014
ATEA,Atea,Information technology,104.6,104.6,105.0,27,,11503.20,-0.0169,-0.022400000000000003,0.0953,-0.1866,-0.073
ATLA NOK,Atlantic Petroleum,Energy,6.9,6.9,7.24,2,,25.52,,0.029900000000000003,0.0088,-0.121,
ASA,Atlantic Sapphire,Consumer staples,115.0,114.5,115.0,116,,8197.90,-0.0086,-0.045599999999999995,-0.098,-0.1085,0.15
AURG,Aurskog Sparebank,Equity certificates,192.0,188.0,192.0,0,LP,617.12,,,0.0378,0.0738,0.1436
AUSS,Austevoll Seafood,Consumer staples,77.55,77.55,77.75,392,,15651.46,-0.0184,-0.0215,0.0104,-0.1119,-0.1373
AVANCE,Avance Gas Holding,Energy,22.5,22.46,22.52,692,,1432.27,-0.0088,0.1398,0.3361,-0.4972,-0.0368
AWDR,Awilco Drilling,Energy,3.16,3.16,3.2,15,,172.48,0.0032,-0.0277,-0.1856,-0.7961,-0.8741
ALNG,Awilco LNG,Energy,1.2,1.19,1.2,9,,159.06,-0.016399999999999998,0.0169,-0.047599999999999996,-0.625,-0.6962
AXA,Axactor,Financials,7.0,7.02,7.04,209,,1297.77,-0.0141,-0.0345,0.157,-0.6315999999999999,-0.6236999999999999
AGS,Axxis Geo Solutions,Energy,1.04,1.04,1.04,113,,61.17,0.050499999999999996,-0.0095,0.3165,-0.168,-0.9327
AYFIE-ME,ayfie Group,Information technology,2.4,2.4,2.49,31,,255.01,-0.0042,-0.0668,,,
B2H,B2Holding,Financials,4.78,4.78,4.79,140,,1959.48,-0.0062,-0.07,0.2781,-0.4997,-0.5218
BAKKA,Bakkafrost,Consumer staples,552.0,552.0,553.0,473,,32630.72,-0.0169,-0.0143,-0.08,-0.1508,0.073
BALT-ME,Baltic Sea Properties,Real estate,24.0,30.0,30.8,0,,160.03,,,-0.2053,-0.1724,-0.3143
BEL,Belships,Industrials,6.8,6.7,6.9,2,LP,1547.87,-0.014499999999999999,,-0.0216,-0.0621,-0.0286
BGBIO,BerGenBio,Health care,33.55,33.5,33.65,1758,,2927.57,0.0875,-0.1375,-0.0981,0.3851,1.5169
BSP-ME,Black Sea Property,Consumer discretionary,2.6,2.16,2.6,0,,43.27,,,-0.0226,-0.5556,-0.9837
BON,Bonheur,Industrials,216.0,215.0,216.0,36,,9186.89,0.0,0.009300000000000001,-0.044199999999999996,0.1074,0.21760000000000002
BOR,Borgestad,Materials,16.4,16.4,16.6,6,LP,208.56,-0.015,-0.0575,0.7263,-0.18,-0.0088
BDRILL,Borr Drilling,Energy,8.25,8.22,8.27,267,,1295.02,-0.0362,-0.10710000000000001,-0.2594,-0.8911,-0.9052
BRG,Borregaard,Materials,120.6,120.6,120.8,117,,12010.94,-0.0049,-0.0098,0.1843,0.301,0.2922
BOUVET,Bouvet,Information technology,536.0,534.0,536.0,45,,5493.75,0.0113,-0.0037,0.09609999999999999,0.40369999999999995,0.7290000000000001
BRA-ME,BRAbank,Financials,0.4,0.38,0.4,4,,247.86,0.0366,0.0051,0.125,-0.1429,-0.7643000000000001
BWE,BW Energy Limited,Energy,17.13,17.14,17.19,32,,4013.63,-0.021099999999999997,-0.043,0.0199,,
BWLPG,BW LPG,Energy,38.66,38.6,38.66,592,,5338.82,0.0105,0.0557,0.36829999999999996,-0.4033,0.1416
BWO,BW Offshore Limited,Energy,32.1,32.12,32.18,244,,5803.67,0.0165,-0.0412,-0.013500000000000002,-0.4561,-0.2815
BMA,Byggma,Industrials,107.0,102.0,107.0,3,,747.07,,0.019,0.0863,0.163,0.1505
CARA,Carasent,Health care,21.7,21.5,21.7,59,,881.75,0.009300000000000001,0.0333,0.2157,1.2234,1.5529
CLOUD-ME,Cloudberry Clean Energy,Utilities,11.6,11.6,11.8,85,,444.51,-0.023399999999999997,0.0452,-0.1954,,
COV,ContextVision,Health care,230.0,230.0,231.0,76,LP,1779.45,-0.0254,-0.098,-0.065,1.2115,2.0872
CRAYON,Crayon Group Holding,Information technology,69.3,69.1,69.3,50,,5629.28,-0.01,-0.049400000000000006,0.107,0.33270000000000005,0.9632
DNB,DNB,Financials,139.25,139.2,139.25,1607,,217305.67,-0.0204,-0.036699999999999997,0.0732,-0.1512,-0.1308
DNO,DNO,Energy,5.71,5.71,5.72,1015,,5569.72,-0.0172,-0.07690000000000001,-0.0483,-0.5065,-0.6159
DOF,DOF,Energy,0.59,0.59,0.6,24,,182.20,0.012,0.0225,0.012,-0.6229,-0.84
EAM,EAM Solar,Utilities,12.7,12.5,12.85,12,,87.02,-0.0078000000000000005,-0.0487,-0.0929,0.0855,-0.5695
EIOF,Eidesvik Offshore,Energy,3.28,3.28,3.3,2,,203.85,-0.0060999999999999995,0.0,-0.0575,-0.374,-0.4403
EMGS,Electromagnetic Geoservices,Energy,0.74,0.72,0.74,10,,96.79,-0.009399999999999999,-0.0808,-0.09210000000000002,-0.6464,-0.7478
ELE,Element,Materials,5.24,5.2,5.25,59,,99.03,-0.0296,0.0356,-0.0726,-0.0524,2.3806
ELK,Elkem,Materials,17.11,17.06,17.17,179,,9946.22,-0.004699999999999999,-0.0006,-0.127,-0.28550000000000003,-0.2826
ELOP-ME,ELOP,Information technology,5.0,4.99,5.0,50,,351.51,-0.019799999999999998,-0.0512,,,
EMAS,EMAS Offshore,Energy,0.29,,,0,,127.15,,,,,
