ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fax,trailingPE,fullTimeEmployees,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
2020,2020 Bulkers,Industrials,57.2,57.0,57.2,33,,1268.18,0.0106,0.0142,0.0593,-0.3417,-0.2196,HM11,Industrials,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,Marine Shipping,2nd Floor 9 Par-la-Ville Road,56.6,56.0,55.86232,0.0029151945,2.2674,,57.2,,13873.0,,56.6,55.13529200000001,0.165,56.0,,13873.0,,,,1.86,1581552000.0,1.07216,,,55.6,2.0,NOK,4690.0,,,,1268175488.0,,,29750.0,75.03997,55.6,57.2,,,4690.0,93.8,,,,39.0,57.0,False,0.0328,,57.2,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,85.022,,0.07692,,-0.19999999,,,,22170900.0,,,6.184,,,,1577750400.0,0.19871001,1300000.0,0.061,,0.13263035,9.249677,0.57717997,1640908800.0,1585612800.0,,,9024667.0,1436873216.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,,937.7049,4.0,,,,,
FIVEPG,5th Planet Games,Communication services,1.92,1.91,1.92,1099,LP,204.13,0.0435,-0.07690000000000001,0.2312,5.573099999999998,1.8875,1123,Communication Services,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,Electronic Gaming & Multimedia,,1.84,1.84,1.2010322,,0.0,,1.925,,3315175.0,,1.84,1.7619243999999998,,1.84,,3315175.0,,,,,,2.714866,,,1.81,4.0,NOK,3755042.0,,,,203067376.0,,,6090097.0,,1.81,1.915,,0.0,3755042.0,3.8,,,,0.25,1.91,False,,0.0,1.925,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.4870131000000002,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.13263035,10.977012,0.50402,1640908800.0,1577750400.0,,,41707742.0,98874256.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,16.0,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,114.0,113.0,114.0,0,LP,115.59,,,,,,7630,Financial Services,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Asen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,Banks—Regional,,114.0,114.0,120.521736,0.07017544,1.0156,,114.0,,14.0,,114.0,113.44118,8.0,114.0,,14.0,,,,8.0,1583798400.0,0.401681,,,114.0,2.0,NOK,0.0,,,,115585744.0,,,41.0,1.1200169,114.0,114.0,,,0.0,153.0,,,,105.0,0.0,False,0.070199996,,114.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.072,,0.36725,,0.0,,,,1013910.0,,,485.69199999999995,,,,1577750400.0,0.0,37900000.0,37.38,,0.13263035,0.23471665,0.0,1640908800.0,1585612800.0,,,553343.0,729858112.0,,,,,,-0.32799999999999996,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 01,3.0497591,,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.35,4.34,4.35,76,,1918.26,0.0284,0.0533,0.0259,0.1561,0.34729999999999994,0250,Financial Services,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,Capital Markets,7th floor,4.23,4.19,3.812355,0.052009455999999996,0.8062,,4.4,,223717.0,,4.23,4.301029,0.22,4.19,,223717.0,,,,0.22,1588118400.0,0.9587680000000001,,,4.19,4.0,NOK,133897.0,,,,1918258688.0,,,454893.0,1.3572425,4.19,4.35,,185000.0,133897.0,4.58,10.116278999999999,,10.54,2.69,4.34,False,0.051999997,340000.0,4.4,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.004,,0.17288,,0.25110137,,0.43,,440979008.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.13263035,2.9135966,0.18238,1640908800.0,1593475200.0,,,342568196.0,1419435648.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,,9.477124,275.0,,,,,
ADE,Adevinta,Communication services,165.8,165.6,165.9,3694,,113549.71,0.0447,0.1188,0.7040000000000001,0.5942000000000001,0.6547,0159,Communication Services,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,Internet Content & Information,,158.7,157.8,103.24239,,0.0,,168.2,,577017.0,,158.7,115.051476,,157.8,,577017.0,,,,,,,,,156.4,2.0,NOK,520111.0,,,,113686765568.0,,,396972.0,,156.4,165.9,,,520111.0,168.2,,,,66.7,165.9,False,,,168.2,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.49903286,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.13263035,,0.66005,1640908800.0,1593475200.0,,,227841750.0,101524996096.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,3564.0,,,,,
ADSC-ME,ADS Crude Carriers,Energy,18.3,18.2,18.3,33,,428.04,-0.0108,0.0055000000000000005,-0.0214,-0.2479,0.1505,4532,Industrials,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,Marine Shipping,22 Amathountos Agios Tychonas,18.5,18.5,22.319202,,0.4088,,18.5,,24438.0,,18.5,18.877941,,18.5,,24438.0,,,,4.21,1591228800.0,,,,18.2,2.0,NOK,30382.0,,,,428042464.0,,,88464.0,,18.2,18.3,,,30382.0,33.4,,,,16.1,18.2,False,0.2313,,18.5,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.042105197999999996,,,,23390300.0,,,,,,,,0.09734,,,,0.13263035,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,,,,,,,
AEGA,Aega,Utilities,1.32,1.3,1.32,6,,63.43,0.0076,-0.0149,0.1,0.1379,0.0321,274,Utilities,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,Utilities—Renewable,,1.31,1.35,1.2286232,0.0030534354,,,1.35,,72339.0,,1.31,1.2267647,0.004,1.35,,72339.0,,,,0.04,1591142400.0,-0.700348,,,1.3,4.0,NOK,6014.0,,,,63427060.0,,,52393.0,,1.3,1.32,,394100.0,6014.0,1.85,,,,1.05,1.3,False,0.0308,60000.0,1.35,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.14473689,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.13263035,8.0,0.46798,1640908800.0,1585612800.0,,,24350240.0,62946592.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,2.0,,,,,
AFG,AF Gruppen,Industrials,177.6,177.0,177.6,40,,18649.6,-0.005600000000000001,0.0172,-0.0022,0.0466,0.1392,0663,Industrials,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,Engineering & Construction,,178.6,178.4,167.31521999999998,0.053191487,1.0266,,178.4,,6369.0,,178.6,177.19412,9.5,178.4,,6369.0,,,,12.0,1589760000.0,0.43902399999999997,,,177.0,2.0,NOK,13978.0,,,,18649600000.0,,,19181.0,0.7784289000000001,177.0,177.6,,178000.0,13978.0,185.0,21.168056,,5.43,124.5,177.0,False,0.0672,52100.0,178.4,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.818,,0.03506,15.052999999999999,0.08536589,,8.39,,105009000.0,,,22.213,,,,1577750400.0,0.14407,840000000.0,8.257,,0.13263035,7.995318400000001,0.60915,1640908800.0,1585612800.0,,,40215335.0,19598809088.0,,1263772800.0,5:1,,,-0.1,,,,,,,,https://logo.clearbit.com/afgruppen.com,,21.509024,5526.0,,,,,
AKA,Akastor,Energy,5.99,5.98,6.01,146,,1626.94,0.0,0.0274,0.2571,-0.3974,-0.4594,1366,Energy,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",Barum,47 21 52 58 00,Norway,[],http://akastor.com,1.0,Building B,Oil & Gas Equipment & Services,Oksenoyveien 10 Lysaker,5.99,5.98,5.6913767,,0.0,,6.09,,563673.0,,5.99,5.259412,,5.98,,563673.0,,,,,1397174400.0,1.36353,,,5.9,2.0,NOK,872104.0,,,,1626943744.0,,,457857.0,0.2872936,5.9,6.01,,52200.0,872104.0,12.4,14.974998999999999,,,3.52,5.98,False,,227000.0,6.09,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.691,,-0.0498,12.585,-0.46494466,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.13263035,0.40323123,0.51141,1640908800.0,1593475200.0,,,136612714.0,3913857024.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,,,2112.0,,,,,
AKER,Aker,Financials,411.2,411.0,411.4,1347,,30539.2,0.0069,0.1102,0.1832,-0.2207,-0.0554,1366,Energy,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1.0,Oksenoyveien 10,Oil & Gas Equipment & Services,,408.4,408.0,351.36884,0.055093046,0.0,,414.8,,98129.0,,408.4,372.05884,22.5,408.0,,98129.0,,,,11.75,1595289600.0,1.71777,,,405.0,2.0,NOK,125319.0,,,,30581420032.0,,,210689.0,0.6491906,405.0,411.8,,111700.0,125319.0,566.0,15.687617999999999,,,182.2,411.4,False,0.028800001000000002,108400.0,414.8,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.8940000000000001,,-0.08871,34.91,-0.09945005,,26.25,,74262800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.13263035,1.6378184999999998,0.70268,1640908800.0,1593475200.0,,,67703874.0,89229910016.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,47 24 13 01 01,,21865.0,,,,,
