ticker,zip,sector,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fax,trailingPE,fullTimeEmployees,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
ADSC-ME,4532,Industrials,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1,OSM House,Marine Shipping,22 Amathountos Agios Tychonas,18.5,18.5,22.319202,,0.4088,,18.5,,24438,,18.5,18.877941,,18.5,,24438,,,,4.21,1591228800,,,,18.2,2,NOK,30382,,,,428042464,,,88464,,18.2,18.3,,,30382,33.4,,,,16.1,18.2,False,0.2313,,18.5,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.042105198,,,,23390300,,,,,,,,0.09734,,,,0.13263035,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,,,,,,,
AASB-ME,7630,Financial Services,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Asen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,Banks—Regional,,114,114,120.521736,0.07017544,1.0156,,114,,14,,114,113.44118,8,114,,14,,,,8,1583798400,0.401681,,,114,2,NOK,0,,,,115585744,,,41,1.1200169,114,114,,,0,153,,,,105,0,False,0.070199996,,114,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.072,,0.36725,,0,,,,1013910,,,485.692,,,,1577750400,0,37900000,37.38,,0.13263035,0.23471665,0,1640908800,1585612800,,,553343,729858112,,,,,,-0.328,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 01,3.0497591,,,,,,
FIVEPG,1123,Communication Services,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,Electronic Gaming & Multimedia,,1.84,1.84,1.2010322,,0,,1.925,,3315175,,1.84,1.7619244,,1.84,,3315175,,,,,,2.714866,,,1.81,4,NOK,3755042,,,,203067376,,,6090097,,1.81,1.915,,0,3755042,3.8,,,,0.25,1.91,False,,0,1.925,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.4870131,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,0.13263035,10.977012,0.50402,1640908800,1577750400,,,41707742,98874256,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,16,,,,,
2020,HM11,Industrials,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,Marine Shipping,2nd Floor 9 Par-la-Ville Road,56.6,56,55.86232,0.0029151945,2.2674,,57.2,,13873,,56.6,55.135292,0.165,56,,13873,,,,1.86,1581552000,1.07216,,,55.6,2,NOK,4690,,,,1268175488,,,29750,75.03997,55.6,57.2,,,4690,93.8,,,,39,57,False,0.0328,,57.2,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,85.022,,0.07692,,-0.19999999,,,,22170900,,,6.184,,,,1577750400,0.19871001,1300000,0.061,,0.13263035,9.249677,0.57717997,1640908800,1585612800,,,9024667,1436873216,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,,937.7049,4,,,,,
AFG,0663,Industrials,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1,Innspurten 15,Engineering & Construction,,178.6,178.4,167.31522,0.053191487,1.0266,,178.4,,6369,,178.6,177.19412,9.5,178.4,,6369,,,,12,1589760000,0.439024,,,177,2,NOK,13978,,,,18649600000,,,19181,0.7784289,177,177.6,,178000,13978,185,21.168056,,5.43,124.5,177,False,0.0672,52100,178.4,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AFG.OL,finmb_6174594,no_market,,0.818,,0.03506,15.053,0.08536589,,8.39,,105009000,,,22.213,,,,1577750400,0.14407,840000000,8.257,,0.13263035,7.9953184,0.60915,1640908800,1585612800,,,40215335,19598809088,,1263772800,5:1,,,-0.1,,,,,,,,https://logo.clearbit.com/afgruppen.com,,21.509024,5526,,,,,
AKBM-ME,1327,Healthcare,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerbiomarine.com,1,Oksenoyveien 10,Drug Manufacturers—Specialty & Generic,PO Box 496,91.6,91.6,,,,,91.6,,,,91.6,,,91.6,,,,,,,,,,,90,2,NOK,24630,,,,,,,,,90,89.97,,,24630,91.6,,,,90,89.8,False,,,91.6,OSL,AKER BIOMARINE AS,Aker BioMarine ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,41.299,,-0.00658,194.19,,,,,,,,2.589,,,,1546214400,,-1022000,-0.015,,0.13263035,34.631134,,1609372800,1514678400,,,14611039,6415074304,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,47 24 13 01 10,,,,,,,
AQUA,0161,Energy,"AqualisBraemar ASA, an investment holding company, provides marine and engineering consultancy services to the offshore oil and gas industry and offshore renewables market worldwide. It offers marine and offshore engineering services, such as deep and shallow water installation engineering; marine operations and surveying, including rig moving and tow master, as well as engineering support services; owns and supervises vessel construction; engineering and project management services; concept, FEED, and basic design services for new-build and vessel upgrades; and rig inspection services. The company also provides marine warranty and consultancy, risk consulting, transportation and installation, dynamic positioning and critical systems, and technical due diligence services. The company was formerly known as Aqualis ASA and changed its name to AqualisBraemar ASA in June 2019. AqualisBraemar ASA was incorporated in 2014 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://aqualisbraemar.com,1,Olav Vs gate 6,Oil & Gas Equipment & Services,,4.66,4.6,3.7119565,0.0010729614,0,,4.64,,14421,,4.66,4.2288237,0.005,4.6,,14421,,,,0.2,1591833600,1.076655,,,4.6,4,NOK,874,,,,326268096,,,42928,4.913898,4.6,4.6,,385400,874,5,33.142857,,,2.15,4.42,False,0.0444,402100,4.64,OSL,AQUALISBRAEMAR ASA,AqualisBraemar ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AQUA.OL,finmb_266259656,no_market,,4.853,,0.18611999,192.159,0.1392405,,0.14,,70316400,,,0.686,,,,1577750400,0.07898,12358000,0.201,,0.13263035,6.7638483,0.58599,1640908800,1585612800,,,20787638,322250496,,,,,,,,,,,,,,https://logo.clearbit.com/aqualisbraemar.com,,23.084576,431,,,,,
AKERBP,1366,Energy,"Aker BP ASA engages in the exploration, development, and production of oil and gas on the Norwegian Continental Shelf. The company has working interests in 42 fields/projects. As of December 31, 2019, its total net proven reserves were 666 million barrels of oil equivalents; and estimated total net proven plus probable reserves were 906 million barrels of oil equivalents. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",Fornebu,47 51 35 30 00,Norway,[],http://www.akerbp.com,1,Building B,Oil & Gas E&P,Fornebuporten OksenOeyveien 10 Lysaker,184.6,184.4,184.96521,0.009902491,,,185.4,,703765,,184.6,181.59558,1.828,184.4,,703765,,,,7.41,1596153600,1.664343,,,180.9,2,NOK,441283,,,,65827348480,,,1488810,21.485903,180.9,183.1,,0,441283,297.9,107.67647,,,89.42,182.95,False,0.042,0,185.4,OSL,AKER BP ASA,Aker BP ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKERBP.OL,finmb_9048461,no_market,,22.929,,-0.031630002,32.061,-0.2233715,,1.7,,359614016,,,5.317,,,,1577750400,0.16023001,-96917000,-0.269,,0.13263035,34.42731,0.70299006,1640908800,1593475200,,,106384610,70248210432,,1261526400,1:1,,,1.715,,,,,,,,https://logo.clearbit.com/akerbp.com,,,1703,,,,,
AEGA,274,Utilities,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,Utilities—Renewable,,1.31,1.35,1.2286232,0.0030534354,,,1.35,,72339,,1.31,1.2267647,0.004,1.35,,72339,,,,0.04,1591142400,-0.700348,,,1.3,4,NOK,6014,,,,63427060,,,52393,,1.3,1.32,,394100,6014,1.85,,,,1.05,1.3,False,0.0308,60000,1.35,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.14473689,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.13263035,8,0.46798,1640908800,1585612800,,,24350240,62946592,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,2,,,,,
AZT,9294,Healthcare,"ArcticZymes Technologies ASA develops, manufactures, and markets immunomodulating beta-glucans and recombinant enzymes in Norway, Europe, Asia, Australia, Africa, and the Americas. It operates through two segments, Enzymes and Beta-Glucans. The company provides recombinant enzymes that are primarily derived from cold-water marine species and organisms from other relevant environments for use in molecular research, in vitro diagnostics, and therapeutics. It offers shrimp alkaline phosphatase and derived kits for cleanup prior to Sanger sequencing and next generation sequencing (NGS) processes; cod UNG for use in viral and other molecular diagnostic assays; double-strand specific DNases and derived kits for the removal of DNA from RNA samples; polymerases for technology development for life science, molecular diagnostics, NGS, and synthetic biology; proteinase for microbiological diagnostics and liquid biopsies; salt active nuclease for the removal of nucleic acids during manufacturing of vaccines, viruses, recombinant proteins, and other reagents; and ligases for joining DNA fragments. The company also provides immunomodulating beta-glucans products for the wound care, animal and consumer health, and adjuvants markets. It offers Woulgan wound gel; M-Glucan, a natural immune-stimulating product for fish and animal feed; and M-Gard, a natural immune-stimulating ingredients to enhance physical health. The company was formerly known as Biotec Pharmacon ASA and changed its name to ArcticZymes Technologies ASA in June 2020. ArcticZymes Technologies ASA was founded in 1990 and is headquartered in TromsÃ¸, Norway.",Tromso,47 77 64 89 00,Norway,[],http://arcticzymes.com,1,Sykehusveien 23,Biotechnology,PO Box 6463,43.7,43.6,,,0,,44.6,,,,43.7,,,43.6,,,,,,,,1.34727,,,43,2,NOK,129773,,,,2112226432,,,,20.29777,43,43.7,,,129773,44.6,,,,43,43.5,False,,,44.6,OSL,ARCTICZYMES TECH,ArcticZymes Technologies ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AZT.OL,finmb_13529463,no_market,,20.108,,0.121549994,154.028,,,,,48334700,,,1.21,,,,1577750400,0.0896,12649000,0.26,,0.13263035,36.115704,0.3134,1640908800,1585612800,,,24481512,2092470272,,,,,,,,,,,,,,https://logo.clearbit.com/arcticzymes.com,47 77 64 89 01,168.07693,36,,,,,
