ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,err,state
2020,2020 Bulkers,Industrials,55.4,55.4,56.4,13,,1228.27,-0.0072,-0.0212,0.0,-0.3625,-0.2016,HM11,Industrials,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,,Marine Shipping,55.8,57.2,55.37826,0.0029569895000000003,2.2674,,57.2,,6187.0,,55.8,55.058823,0.165,57.2,,6187.0,,,,1.86,1581552000.0,1.07216,,,55.4,2.0,NOK,908.1967,2111.0,,,,1228267904.0,,,29336.0,72.67857,55.4,56.4,,,2111.0,93.8,,,,39.0,55.4,False,0.0325,,57.2,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,83.973,,0.07692,,-0.20285714,,,,22170900.0,,,6.184,,,,1577750400.0,0.19871001,1300000.0,0.061,,0.16254902,8.958603,0.57717997,1640908800.0,1585612800.0,,,9024667.0,1419136512.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,4.0,2nd Floor 9 Par-la-Ville Road,,,,,,
FIVEPG,5th Planet Games,Communication services,2.02,2.01,2.02,508,LP,214.76,0.028,0.01,0.4377,5.9155,2.6559,1123,Communication Services,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,,Electronic Gaming & Multimedia,1.965,2.03,1.2351118,,0.0,,2.03,,4160699.0,,1.965,1.7364832,,2.03,,4160699.0,,,,,,2.714866,,,1.985,4.0,NOK,,1990801.0,,,,213699184.0,,,5967829.0,,1.985,2.02,,0.0,1990801.0,3.8,,,,0.25,2.01,False,,0.0,2.03,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.5923483,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.16254902,11.551724,0.50402,1640908800.0,1577750400.0,,,46798691.0,105591256.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,16.0,,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,114.0,111.0,116.0,1,LP,115.59,,,0.0179,-0.0514,0.07339999999999999,7630,Financial Services,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Asen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,47 74 08 63 01,Banks—Regional,114.0,114.0,120.195656,0.07017544,1.0156,,114.0,,0.0,,114.0,113.26471000000001,8.0,114.0,,0.0,,,,8.0,1583798400.0,0.40223000000000003,,,114.0,2.0,NOK,3.0497591,0.0,,,,115585744.0,,,39.0,1.1200169,114.0,116.0,,,0.0,153.0,,,,105.0,111.0,False,0.070199996,,114.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.072,,0.36725,,0.0,,,,1013910.0,,,485.69199999999995,,,,1577750400.0,0.0,37900000.0,37.38,,0.16254902,0.23471665,0.0,1640908800.0,1585612800.0,,,553343.0,729858112.0,,,,,,-0.32799999999999996,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,,,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.4,4.38,4.4,37,,1938.1,-0.005699999999999999,0.0353,-0.0146,0.1681,0.4436,0250,Financial Services,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,,Capital Markets,4.42,4.385,3.8169565000000003,0.049773753,0.8062,,4.435,,242639.0,,4.42,4.315,0.22,4.385,,242639.0,,,,0.22,1588118400.0,0.9587680000000001,,,4.365,4.0,NOK,9.575164,35539.0,,,,1938102784.0,,,444661.0,1.3712829,4.365,4.4,,185000.0,35539.0,4.58,10.220930000000001,,10.54,2.69,4.39,False,0.0498,340000.0,4.435,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.064,,0.17288,,0.3154763,,0.43,,440979008.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.16254902,2.9437373,0.18238,1640908800.0,1593475200.0,,,342568196.0,1503136128.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,275.0,7th floor,,,,,,
ADE,Adevinta,Communication services,156.5,156.3,156.6,1753,,107180.51,-0.0225,0.0097,0.6134000000000001,0.5047999999999999,0.5135000000000001,0159,Communication Services,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,,Internet Content & Information,160.1,160.1,104.38587,,0.0,,161.2,,725505.0,,160.1,120.39265,,160.1,,725505.0,,,,,,,,,155.4,2.0,NOK,,246607.0,,,,107180597248.0,,,415633.0,,155.4,156.6,,,246607.0,168.2,,,,66.7,156.3,False,,,161.2,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.5453669,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.16254902,,0.66005,1640908800.0,1593475200.0,,,227841750.0,104865497088.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,3564.0,,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,17.95,17.95,18.0,31,,419.86,-0.0137,-0.0218,-0.0427,-0.2623,0.06150000000000001,4532,Industrials,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,,Marine Shipping,18.2,18.2,22.084421,,0.4088,,18.2,,37695.0,,18.2,18.735294,,18.2,,37695.0,,,,4.21,1591228800.0,,,,17.95,2.0,NOK,,35428.0,,,,419855904.0,,,82649.0,,17.95,18.0,,,35428.0,33.4,,,,16.1,17.95,False,0.22760001,,18.2,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.080807984,,,,23390300.0,,,,,,,,0.09734,,,,0.16254902,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,22 Amathountos Agios Tychonas,,,,,,
AEGA,Aega,Utilities,1.34,1.32,1.34,13,,64.39,0.0152,0.0152,0.1167,0.1552,0.0545,274,Utilities,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,,Utilities—Renewable,1.32,1.32,1.2319565000000001,0.0030303032,,,1.34,,21444.0,,1.32,1.2355882,0.004,1.32,,21444.0,,,,0.04,1591142400.0,-0.700348,,,1.3,4.0,NOK,,16228.0,,,,64388072.0,,,50420.0,,1.3,1.34,,394100.0,16228.0,1.85,,,,1.05,1.32,False,0.030299998999999998,60000.0,1.34,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.13725483,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.16254902,8.121212,0.46798,1640908800.0,1585612800.0,,,24350240.0,63427100.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,2.0,,,,,,,
AFG,AF Gruppen,Industrials,175.0,174.8,175.0,30,,18376.58,0.0,-0.0113,-0.0202,0.0313,0.15039999999999998,0663,Industrials,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,,Engineering & Construction,175.0,175.0,167.35869,0.054285713,1.0266,,175.0,,6277.0,,175.0,177.29411000000002,9.5,175.0,,6277.0,,,,12.0,1589760000.0,0.43902399999999997,,,174.6,2.0,NOK,21.194138,3047.0,,,,18376574976.0,,,19084.0,0.7670329,174.6,175.0,,178000.0,3047.0,185.0,20.858164000000002,,5.43,124.5,174.8,False,0.0686,52100.0,175.0,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.8029999999999999,,0.03506,14.767999999999999,0.080246925,,8.39,,105009000.0,,,22.213,,,,1577750400.0,0.14407,840000000.0,8.257,,0.16254902,7.8782697,0.60915,1640908800.0,1585612800.0,,,40215335.0,19228493824.0,,1263772800.0,5:1,,,-0.1,,,,,,,,https://logo.clearbit.com/afgruppen.com,5526.0,,,,,,,
AKA,Akastor,Energy,6.08,6.05,6.08,159,,1651.39,0.0323,0.0501,0.21600000000000005,-0.3883,-0.4422,1366,Energy,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",Barum,47 21 52 58 00,Norway,[],http://akastor.com,1.0,Building B,,Oil & Gas Equipment & Services,5.89,5.87,5.619855,,0.0,,6.19,,320984.0,,5.89,5.3413234,,5.87,,320984.0,,,,,1397174400.0,1.36353,,,5.87,2.0,NOK,,570261.0,,,,1651388672.0,,,466074.0,0.29161020000000004,5.87,6.08,,52200.0,570261.0,12.4,15.2,,,3.52,6.05,False,,227000.0,6.19,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.6859999999999999,,-0.0498,12.497,-0.46936940000000005,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.16254902,0.4092898,0.51141,1640908800.0,1593475200.0,,,136612714.0,3886714368.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,2112.0,Oksenoyveien 10 Lysaker,,,,,,
AKER,Aker,Financials,401.8,401.8,402.4,517,,29842.8,-0.0118,0.0256,0.155,-0.2396,-0.0464,1366,Energy,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1.0,Oksenoyveien 10,47 24 13 01 01,Oil & Gas Equipment & Services,406.0,406.0,348.13622999999995,0.05541872,0.0,,412.6,,124408.0,,406.0,377.2294,22.5,406.0,,124408.0,,,,11.75,1595289600.0,1.71777,,,400.8,2.0,NOK,,43775.0,,,,29838792704.0,,,205684.0,0.6334259,400.8,402.2,,111700.0,43775.0,566.0,15.306666,,,182.2,401.8,False,0.028900001,108400.0,412.6,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.89,,-0.08871,34.84,-0.048288822,,26.25,,74262800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.16254902,1.5980463,0.70268,1640908800.0,1593475200.0,,,67696448.0,89051684864.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,21865.0,,,,,,,
