ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,industry,sector_yahoo,companyOfficers,maxAge,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,zip,longBusinessSummary,city,phone,country,website,address1,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,address2
2020,2020 Bulkers,Industrials,56.4,56.4,56.8,44,,1250.44,0.0071,-0.006999999999999999,0.0181,-0.35100000000000003,-0.1872,Shipping,Services,[],1.0,56.0,56.6,55.227737,0.0029464287,2.2674,,57.2,,6772.0,,56.0,55.058823,0.165,56.6,,6772.0,,,,1.86,1581552000.0,1.07216,,,56.2,2.0,NOK,924.59015,20468.0,,,,1250438784.0,,,29336.0,73.99046,56.2,56.8,,,20468.0,93.8,,,,39.0,56.2,False,0.0332,,57.2,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,84.235,,0.07692,,-0.22500002,,,,22170900.0,,,6.184,,,,1577750400.0,0.19871001,1300000.0,0.061,,0.14836037,9.120311000000001,0.57717997,1640908800.0,1585612800.0,,,9024667.0,1423570688.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
FIVEPG,5th Planet Games,Communication services,1.99,1.96,1.99,872,LP,211.04,-0.0222,0.0366,0.4281,5.7957,2.5925,Multimedia & Graphics Software,Technology,[],1.0,2.03,2.03,1.241244,,0.0,,2.07,,4532681.0,,2.03,1.7364832,,2.03,,4532681.0,,,,,,2.714866,,,1.905,4.0,NOK,,3474335.0,,,,211041232.0,,,5967829.0,,1.905,1.985,,0.0,3474335.0,3.8,,,,0.25,1.96,False,,0.0,2.07,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.6698369999999998,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.14836037,11.408047,0.50402,1640908800.0,1577750400.0,,,46798691.0,109084104.0,,1511913600.0,1:5,,,,,,,,,,,,16.0,,,,,,,,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,114.0,111.0,116.0,0,LP,115.59,,,0.0179,-0.0514,0.07339999999999999,Money Center Banks,Financial,[],1.0,114.0,114.0,120.131386,0.07017544,1.0156,,114.0,,0.0,,114.0,113.26471000000001,8.0,114.0,,0.0,,,,8.0,1583798400.0,0.40223000000000003,,,114.0,2.0,NOK,3.0497591,0.0,,,,115585744.0,,,39.0,1.1200169,114.0,116.0,,,0.0,153.0,,,,105.0,111.0,False,0.070199996,,114.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.072,,0.36725,,0.0,,,,1013910.0,,,485.69199999999995,,,,1577750400.0,0.0,37900000.0,37.38,,0.14836037,0.23471665,0.0,1640908800.0,1585612800.0,,,553343.0,729858112.0,,,,,,-0.32799999999999996,,,,,,,,,,,,,,,,,,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.51,4.51,4.53,102,,1988.81,0.013500000000000002,0.0587,0.0158,0.1986,0.4813,Investment Brokerage - National,Financial,[],1.0,4.45,4.45,3.814854,0.049438205,0.8062,,4.55,,229528.0,,4.45,4.315,0.22,4.45,,229528.0,,,,0.22,1588118400.0,0.9587680000000001,,,4.45,4.0,NOK,9.825708,446663.0,,,,1988815488.0,,,444661.0,1.4071642,4.45,4.51,,185000.0,446663.0,4.58,10.488373,,10.54,2.69,4.51,False,0.0494,340000.0,4.55,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.073,,0.17288,,0.30191457,,0.43,,440979008.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.14836037,3.0207636000000004,0.18238,1640908800.0,1593475200.0,,,342568196.0,1516351872.0,,,,,,0.22899999999999998,,,,,,,,,275.0,,,,,,,,,,,,,
ADE,Adevinta,Communication services,157.6,157.5,157.7,2463,,107933.86,0.0103,0.0116,0.5992000000000001,0.5077,0.5164,Internet Information Providers,Technology,[],1.0,155.2,155.2,104.35949000000001,,0.0,,159.1,,735918.0,,155.2,120.39265,,155.2,,735918.0,,,,,,,,,155.2,2.0,NOK,,268897.0,,,,107796963328.0,,,415633.0,,155.2,157.6,,,268897.0,168.2,,,,66.7,157.2,False,,,159.1,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.54835594,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.14836037,,0.66005,1640908800.0,1593475200.0,,,227972750.0,104865497088.0,,,,,,,,,,,,,,,3564.0,,,,,,,,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,18.1,18.05,18.2,58,,423.36,0.0028000000000000004,-0.0055000000000000005,-0.0321,-0.2561,0.0704,Oil & Gas Equipment & Services,Basic Materials,[],1.0,18.05,18.0,22.04416,,0.4088,,18.1,,44341.0,,18.05,18.735294,,18.0,,44341.0,,,,4.21,1591228800.0,,,,17.9,2.0,NOK,,50081.0,,,,423364448.0,,,82649.0,,17.9,18.2,,,50081.0,33.4,,,,16.1,18.05,False,0.2301,,18.1,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.080807984,,,,23390300.0,,,,,,,,0.09734,,,,0.14836037,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEGA,Aega,Utilities,1.34,1.34,1.35,40,,64.39,0.0075,0.0308,0.1167,0.1552,0.0545,Diversified Utilities,Utilities,[],1.0,1.33,1.33,1.2327738000000001,0.0030075188,,,1.39,,19113.0,,1.33,1.2355882,0.004,1.33,,19113.0,,,,0.04,1591142400.0,-0.700348,,,1.18,4.0,NOK,,154768.0,,,,64388072.0,,,50420.0,,1.18,1.35,,394100.0,154768.0,1.85,,,,1.05,1.34,False,0.030299998999999998,60000.0,1.39,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.13725483,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.14836037,8.121212,0.46798,1640908800.0,1585612800.0,,,24350240.0,63907608.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
AFG,AF Gruppen,Industrials,175.4,175.4,175.8,100,,18418.58,0.008,-0.0146,-0.0256,0.0336,0.1531,General Contractors,Industrial Goods,[],1.0,174.0,174.0,167.29561999999999,0.054597702000000005,1.0266,,176.0,,6795.0,,174.0,177.29411000000002,9.5,174.0,,6795.0,,,,12.0,1589760000.0,0.43902399999999997,,,173.8,2.0,NOK,21.242582000000002,11283.0,,,,18418577408.0,,,19084.0,0.76878613,173.8,175.8,,178000.0,11283.0,185.0,20.905838,,5.43,124.5,175.4,False,0.069,52100.0,176.0,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.7979999999999999,,0.03506,14.689,0.08359134,,8.39,,105009000.0,,,22.213,,,,1577750400.0,0.14407,840000000.0,8.257,,0.14836037,7.896277,0.60915,1640908800.0,1585612800.0,,,40215335.0,19125626880.0,,1263772800.0,5:1,,,-0.1,,,,,,,,,5526.0,,,,,,,,,,,,,
AKA,Akastor,Energy,6.16,6.16,6.19,202,,1673.12,0.0318,0.0621,0.215,-0.3803,-0.4349,Oil & Gas Equipment & Services,Basic Materials,[],1.0,5.97,5.96,5.5948176,,0.0,,6.18,,313262.0,,5.97,5.3413234,,5.96,,313262.0,,,,,1397174400.0,1.36353,,,5.96,2.0,NOK,,558363.0,,,,1673117440.0,,,466074.0,0.2954472,5.96,6.19,,52200.0,558363.0,12.4,15.4,,,3.52,6.16,False,,227000.0,6.18,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.69,,-0.0498,12.567,-0.4645455,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.14836037,0.4146752,0.51141,1640908800.0,1593475200.0,,,136612714.0,3908428544.0,,1175212800.0,5:1,,,,,,,,,,,,2112.0,,,,,,,,,,,,,
AKER,Aker,Financials,417.4,417.0,417.4,1500,,31001.45,0.023,0.0621,0.2003,-0.2089,-0.0079,Oil & Gas Equipment & Services,Basic Materials,[],1.0,408.0,410.6,346.80875,0.05514706,0.0,,421.8,,123184.0,,408.0,377.2294,22.5,410.6,,123184.0,,,,11.75,1595289600.0,1.71777,,,410.6,2.0,NOK,,118786.0,,,,31031175168.0,,,205684.0,0.65873814,410.6,418.4,,111700.0,118786.0,566.0,15.91619,,,182.2,417.2,False,0.028800001000000002,108400.0,421.8,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.8940000000000001,,-0.08871,34.898,-0.062788606,,26.25,,74272800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.14836037,1.6616818,0.70268,1640908800.0,1593475200.0,,,67696448.0,89200205824.0,,,,,,,,,,,,,,,21865.0,,,,,,,,,,,,,
