ticker,industry,sector,companyOfficers,maxAge,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,zip,longBusinessSummary,city,phone,country,website,address1,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,address2
AASB-ME,Money Center Banks,Financial,[],1,114,114,120.131386,0.07017544,1.0156,,114,,0,,114,113.26471,8,114,,0,,,,8,1583798400,0.40223,,,114,2,NOK,3.0497591,0,,,,115585744,,,39,1.1200169,114,116,,,0,153,,,,105,111,False,0.070199996,,114,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.072,,0.36725,,0,,,,1013910,,,485.692,,,,1577750400,0,37900000,37.38,,0.14836037,0.23471665,0,1640908800,1585612800,,,553343,729858112,,,,,,-0.328,,,,,,,,,,,,,,,,,,,,,,
ADSC-ME,Oil & Gas Equipment & Services,Basic Materials,[],1,18.05,18,22.04416,,0.4088,,18.1,,44341,,18.05,18.735294,,18,,44341,,,,4.21,1591228800,,,,17.9,2,NOK,,50081,,,,423364448,,,82649,,17.9,18.2,,,50081,33.4,,,,16.1,18.05,False,0.2301,,18.1,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.080807984,,,,23390300,,,,,,,,0.09734,,,,0.14836037,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Shipping,Services,[],1,56,56.6,55.227737,0.0029464287,2.2674,,57.2,,6772,,56,55.058823,0.165,56.6,,6772,,,,1.86,1581552000,1.07216,,,56.2,2,NOK,924.59015,20468,,,,1250438784,,,29336,73.99046,56.2,56.8,,,20468,93.8,,,,39,56.2,False,0.0332,,57.2,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,84.235,,0.07692,,-0.22500002,,,,22170900,,,6.184,,,,1577750400,0.19871001,1300000,0.061,,0.14836037,9.120311,0.57717997,1640908800,1585612800,,,9024667,1423570688,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
FIVEPG,Multimedia & Graphics Software,Technology,[],1,2.03,2.03,1.241244,,0,,2.07,,4532681,,2.03,1.7364832,,2.03,,4532681,,,,,,2.714866,,,1.905,4,NOK,,3474335,,,,211041232,,,5967829,,1.905,1.985,,0,3474335,3.8,,,,0.25,1.96,False,,0,2.07,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.669837,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,0.14836037,11.408047,0.50402,1640908800,1577750400,,,46798691,109084104,,1511913600,1:5,,,,,,,,,,,,16,,,,,,,,,,,,,
AEGA,Diversified Utilities,Utilities,[],1,1.33,1.33,1.2327738,0.0030075188,,,1.39,,19113,,1.33,1.2355882,0.004,1.33,,19113,,,,0.04,1591142400,-0.700348,,,1.18,4,NOK,,154768,,,,64388072,,,50420,,1.18,1.35,,394100,154768,1.85,,,,1.05,1.34,False,0.030299999,60000,1.39,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.13725483,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.14836037,8.121212,0.46798,1640908800,1585612800,,,24350240,63907608,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
ADE,Internet Information Providers,Technology,[],1,155.2,155.2,104.35949,,0,,159.1,,735918,,155.2,120.39265,,155.2,,735918,,,,,,,,,155.2,2,NOK,,268897,,,,107796963328,,,415633,,155.2,157.6,,,268897,168.2,,,,66.7,157.2,False,,,159.1,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.54835594,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.14836037,,0.66005,1640908800,1593475200,,,227972750,104865497088,,,,,,,,,,,,,,,3564,,,,,,,,,,,,,
AKVA,Farm & Construction Machinery,Industrial Goods,[],1,62,62,60.769344,0.032258064,,,62.4,,3883,,62,62.30588,2,62,,3883,,,,2,1582502400,0.655052,,,61,2,NOK,,4707,,,,2049065472,,,5965,0.6883055,61,62,,49600,4707,83,10.78534,,,41.3,61,False,0.0323,34200,62.4,OSL,AKVA GROUP ASA,AKVA Group ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKVA.OL,finmb_162314,no_market,,1.096,,-0.00014,25.176,-0.17989415,,5.73,,33156400,,,31.171,,,,1577750400,0.13203,-422000,-0.014,,0.14836037,1.982612,0.7511,1640908800,1585612800,,,8065299,3261757952,,,,,,-0.417,,,,,,,,,1444,,,,,,,,,,,,,
ARCHER,Oil & Gas Drilling & Exploration,Basic Materials,[],1,2.165,2.195,2.2253869,,0,,2.24,,213503,,2.165,2.1639707,,2.195,,213503,,,,,,2.885598,,,2.16,4,NOK,,293468,,,,326395104,,,450860,0.39154884,2.16,2.205,,100400,293468,4.65,36.75,,,1.1,2.2,False,,503000,2.24,OSL,ARCHER LTD,Archer Limited,Europe/Oslo,CEST,False,7200000,EQUITY,ARCHER.OL,finmb_37612323,no_market,,1.135,,-0.05722,10.029,-0.510274,,0.06,,148024992,,,0.732,,,,1577750400,0.12627,-47700000,-0.323,,0.14836037,3.012295,0.41856998,1640908800,1577750400,,,105861885,945728896,,1443398400,1:10,,,,,,,,,,,,4964,,,,,,,,,,,,,
ANDF-ME,,,[],1,54.8,54.85,54.911213,,0,,55,,15219,,54.8,54.911213,,54.85,,15219,,,,,,,,,54.1,2,NOK,,20675,,,,,,,51566,,54.1,54.5,,,20675,65,,,,46.5,54.23,False,,,55,OSL,ANDFJORD SALMON AS,Andfjord Salmon AS,Europe/Oslo,CEST,False,7200000,EQUITY,ANDF-ME.OL,finmb_570862527,no_market,,1001.54,,0,-205.864,-0.06598979,,,,,,,4.914,,,,1577750400,,-6394534,-0.214,,0.14836037,11.090761,,1640908800,,,,,1649066880,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSC,Shipping,Services,[],1,28.3,28.55,25.806787,0.01130742,1.9914999,,29.8,,44534,,28.3,26.702942,0.32,28.55,,44534,,,,3.21,1590451200,0.957026,,,28.5,2,NOK,198.65771,38370,,,,1794248448,,,75852,20.36512,28.5,29.6,,114600,38370,37.5,80,,11.42,15.06,29.6,False,0.113299996,172600,29.8,OSL,AMER SHIPPING COMP,American Shipping Company ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AMSC.OL,finmb_22594564,no_market,,25.376,,0.10217,26.309,-0.17518246,,0.37,,60616500,,,2.669,,,,1577750400,0.19708,9002000,0.149,,0.14836037,11.090297,0.28123,1640908800,1585612800,,,44026980,2235747072,,,,,,0.778,,,,,,,,,3,,,,,,,,,,,,,
