ticker,zip,sector,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,trailingPE,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,err
ADSC-ME,4532,Industrials,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1,OSM House,Marine Shipping,22 Amathountos Agios Tychonas,18.05,18,21.944202,,0.4088,,18.15,,60964,,18.05,18.666176,,18,,60964,,,,4.21,1591228800,,,,18,2,NOK,16431,,,,423364448,,,80128,,18,18.1,,,16431,33.4,,,,16.1,18,False,0.2313,,18.15,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.016216159,,,,23390300,,,,,,,,0.09734,,,,0.18708742,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,,,,,,,
FIVEPG,1123,Communication Services,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,Electronic Gaming & Multimedia,,1.92,1.9,1.2584089,,0,,1.91,,4262813,,1.92,1.7279538,,1.9,,4262813,,,,,,2.714866,,,1.825,4,NOK,1724844,,,,197751488,,,4882506,,1.825,1.87,,0,1724844,3.8,,,,0.25,1.86,False,,0,1.91,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.7887325,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,0.18708742,10.689655,0.50402,1640908800,1577750400,,,46798691,106397296,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,16,,,,,,,
2020,HM11,Industrials,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,Marine Shipping,2nd Floor 9 Par-la-Ville Road,57,57.8,55.079712,0.002894737,2.2674,,58.4,,8738,,57,54.97647,0.165,57.8,,8738,,,,1.86,1581552000,1.07216,,,57.2,2,NOK,10925,,,,1281478016,,,29474,75.8271,57.2,57.8,,,10925,93.8,,,,39,57.6,False,0.0328,,58.4,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,85.547,,0.07692,,-0.24266666,,,,22170900,,,6.184,,,,1577750400,0.19871001,1300000,0.061,,0.18708742,9.346701,0.57717997,1640908800,1585612800,,,9024667,1445741696,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,4,947.54095,,,,,,
ASC,0250,Financial Services,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1,Munkedamsveien 45 East,Capital Markets,7th floor,4.55,4.55,3.8222826,0.048351645,0.8062,,4.575,,243116,,4.55,4.3311763,0.22,4.55,,243116,,,,0.22,1588118400,0.958768,,,4.515,4,NOK,249525,,,,2015274112,,,436179,1.4258846,4.515,4.57,,185000,249525,4.58,10.627907,,10.54,2.69,4.555,False,0.0484,340000,4.575,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ASC.OL,finmb_2972520,no_market,,1.104,,0.17288,,0.39318883,,0.43,,440979008,,,1.493,,,,1577750400,0.19143,244343008,0.459,,0.18708742,3.0609512,0.18238,1640908800,1593475200,,,342568196,1560404736,,,,,,0.229,,,,,,,,https://logo.clearbit.com/abgsc.com,275,9.956428,,,,,,
ADE,0159,Communication Services,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1,Grensen 5,Internet Content & Information,,153.6,158.5,105.06341,,0,,158.5,,691252,,153.6,123.70735,,158.5,,691252,,,,,,,,,154.2,2,NOK,362153,,,,106495737856,,,428953,,154.2,155.4,,,362153,168.2,,,,66.7,155.3,False,,,158.5,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.5136453,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.18708742,,0.66005,1640908800,1593475200,,,227972750,101721497600,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,3564,,,,,,,
AEGA,274,Utilities,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,Utilities—Renewable,,1.32,1.4,1.2347826,0.0030303032,,,1.4,,38304,,1.32,1.2435294,0.004,1.4,,38304,,,,0.04,1591142400,-0.700348,,,1.26,4,NOK,13735,,,,62466036,,,52213,,1.26,1.34,,394100,13735,1.85,,,,1.05,1.3,False,0.0299,60000,1.4,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.04285711,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.18708742,7.878787,0.46798,1640908800,1585612800,,,24350240,63427100,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,2,,,,,,,
AKSO,1366,Energy,"Aker Solutions ASA provides products, systems, and services to the oil and gas industry worldwide. The company operates through Projects and Services segments. It offers field planning, feasibility, and concept studies; floater designs; digital solutions; offshore wind solutions; and deep water risers. The company also provides engineering, project management, and procurement services, such as design of offshore oil and gas production facilities, and onshore receiving and processing facilities; jacket designs; subsea production systems; subsea trees; and control systems. In addition, it offers subsea wellheads engineering, manufacturing, installation, and life-of-field support services, including umbilical systems, subsea structures, tie-in systems, subsea compression and pump systems, subsea power distribution and processing systems, and intervention and workover systems; lifecycle, hook-up and completion, maintenance, modification, asset integrity management, and yards and fabrication services, as well as carbon capture, utilization, and storage services. Aker Solutions ASA was founded in 1841 and is headquartered in Fornebu, Norway.",Fornebu,47 67 51 30 00,Norway,[],http://akersolutions.com,1,OksenÃ¸yveien 8,Oil & Gas Equipment & Services,,18.52,18.61,10.012885,0.07829374,0,,19.99,,5553407,,18.52,12.433714,1.45,18.61,,5553407,,,,,1428624000,2.095818,,,18.53,2,NOK,5284854,,,,5324643840,,,5504902,0.20205076,18.53,19.65,,58500,5284854,30.2,8.403434,,,4.362,19.58,False,,156700,19.99,OSL,AKER SOLUTIONS ASA,Aker Solutions ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKSO.OL,finmb_262890984,no_market,,0.489,,-0.03779,20.321,-0.19641405,,2.33,,271943008,,,24.02,,,,1577750400,0.26966998,-996000000,-3.667,,0.18708742,0.815154,0.46942002,1640908800,1593475200,,,130227946,12883380224,,1175212800,1:5,,,,,,,,,,,https://logo.clearbit.com/akersolutions.com,13000,,47 67 82 69 50,,,,,
ARCHER,HM 08,Energy,"Archer Limited, an oilfield service company, provides various oilfield products and services to the oil and gas industry. It operates through two segments, Eastern Hemisphere and Western Hemisphere. The company provides oiltools, such as plugs and abandonment (P&A), slot recovery and P&A, cementing, and well cleaning solutions; land drilling and platform drilling services; and modular drilling rigs. It also offers engineering services, such as project management, construction and installations, multidiscipline engineering, consulting, and inspection services. In addition, the company provides cased hole logging, conveyance and mechanical/slickline, and R&D and technology development services. Further, it offers fluids, guarantor, international personnel, management, and equipment rental services, as well as performs rig inspections. The company operates in Angola, Argentina, Australia, Bolivia, Brazil, Canada, Congo, Indonesia, Malaysia, Nigeria, Norway, Saudi Arabia, the United Arab Emirates, the United Kingdom, and the United States. The company was formerly known as Seawell Limited and changed its name to Archer Limited in May 2011. Archer Limited was founded in 2007 and is based in Hamilton, Bermuda.",Hamilton,,Bermuda,[],http://www.archerwell.com,1,Par la Ville Place,Oil & Gas Drilling,4th Floor 14 Par-la-Ville Road,2.255,2.255,2.218319,,0,,2.55,,214868,,2.255,2.1567647,,2.255,,214868,,,,,,2.885598,,,2.25,4,NOK,724771,,,,375983488,,,446785,0.45103586,2.25,2.545,,100400,724771,4.65,42.333332,,,1.1,2.54,False,,503000,2.55,OSL,ARCHER LTD,Archer Limited,Europe/Oslo,CEST,False,7200000,EQUITY,ARCHER.OL,finmb_37612323,no_market,,1.15,,-0.05722,10.17,-0.4459799,,0.06,,148024992,,,0.732,,,,1577750400,0.12627,-47700000,-0.323,,0.18708742,3.4699454,0.41856998,1640908800,1577750400,,,105861885,959053440,,1443398400,1:10,,,,,,,,,,,https://logo.clearbit.com/archerwell.com,4964,,,,,,,
AMSC,1366,Industrials,"American Shipping Company ASA, through its subsidiaries, operates as a ship owning and lease finance company in the United States. It is involved in the purchase and bareboat chartering of product tankers, shuttle tankers, and other vessels to operators and end users in the Jones Act market. The company operates a fleet of nine product tankers and one shuttle tanker. The company was formerly known as Aker American Shipping ASA and changed its name to American Shipping Company ASA in June 2008. American Shipping Company ASA was founded in 2005 and is headquartered in Lysaker, Norway.",Lysaker,,Norway,[],http://www.americanshippingco.com,1,Building B,Marine Shipping,OksenOeyveien 10,29.85,29.85,25.804565,0.010720268,1.9914999,,30.25,,42304,,29.85,26.90294,0.32,29.85,,42304,,,,3.21,1590451200,0.957026,,,29.85,2,NOK,87353,,,,1812433280,,,75713,20.571522,29.85,29.95,,114600,87353,37.5,80.81081,,11.42,15.06,29.9,False,0.1075,172600,30.25,OSL,AMER SHIPPING COMP,American Shipping Company ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AMSC.OL,finmb_22594564,no_market,,26.443,,0.10217,27.415,-0.10502279,,0.37,,60616500,,,2.669,,,,1577750400,0.19708,9002000,0.149,,0.18708742,11.202698,0.28123,1640908800,1585612800,,,44026980,2329702656,,,,,,0.778,,,,,,,,https://logo.clearbit.com/americanshippingco.com,3,200.67113,,,,,,
ANDF-ME,8400,Consumer Defensive,"Andfjord Salmon AS operates a fish farm. It operates a closed sea facility for organic salmon farming. The company was founded in 2014 and is headquartered in Sortland, Norway.",Sortland,,Norway,[],http://www.andfjordsalmon.com,1,Havnegata 19,Farm Products,8402 Sortland,54.9,54.9,54.910572,,0,,54.9,,15413,,54.9,54.787354,,54.9,,15413,,,,,,,,,54,2,NOK,14295,,,,,,,49528,,54,54.49,,,14295,65,,,,46.5,54.4,False,,,54.9,OSL,ANDFJORD SALMON AS,Andfjord Salmon AS,Europe/Oslo,CEST,False,7200000,EQUITY,ANDF-ME.OL,finmb_570862527,no_market,,997.911,,0,-205.118,-0.069373906,,,,,,,4.914,,,,1577750400,,-6394534,-0.214,,0.18708742,11.070412,,1640908800,,,,,1643091968,,,,,,,,,,,,,,https://logo.clearbit.com/andfjordsalmon.com,,,,,,,,
