ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,phone,address2,trailingPE,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
FIVEPG,1123,Communication Services,16,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,Electronic Gaming & Multimedia,1.86,1.86,1.2631686,,0,,1.89,,4444304,,1.86,1.7345606,,1.86,,4444304,,,,,,2.714866,,,1.76,4,NOK,1439966,,,,189246032,,,4621280,,1.76,1.795,,0,1439966,3.8,,,,0.25,1.76,False,,0,1.89,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.7042253,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,0.1678102,10.229885,0.50402,1640908800,1577750400,,,46798691,103173136,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,,
2020,HM11,Industrials,4,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,Marine Shipping,59,59,55.093525,0.0027966104,2.2674,,61.2,,8992,,59,54.994118,0.165,59,,8992,,,,1.86,1581552000,1.07216,,,59,2,NOK,38726,,,,1356859136,,,29381,80.28752,59,61.2,,,38726,93.8,,,,39,60.6,False,0.0326,,61.2,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,88.171,,0.07692,,-0.23989862,,,,22170900,,,6.184,,,,1577750400,0.19871001,1300000,0.061,,0.1678102,9.896507,0.57717997,1640908800,1585612800,,,9024667,1490083456,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,441 542 9329,2nd Floor 9 Par-la-Ville Road,1003.2787,,,,,
ADSC-ME,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,Cyprus,[],http://www.adscrude.com,1,OSM House,Marine Shipping,18,18.05,21.916187,,0.4088,,18.05,,60772,,18,18.627941,,18.05,,60772,,,,4.21,1591228800,,,,17.95,2,NOK,9686,,,,421025408,,,79248,,17.95,18,,,9686,33.4,,,,16.1,17.95,False,0.2313,,18.05,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.044973552,,,,23390300,,,,,,,,0.09734,,,,0.1678102,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,357 2 5335501,22 Amathountos Agios Tychonas,,,,,,
AASB-ME,7630,Financial Services,,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,Banks—Regional,114,114,119.899284,0.07017544,1.0156,,114,,2,,114,113.088234,8,114,,2,,,,8,1583798400,0.40223,,,114,2,NOK,0,,,,115585744,,,37,1.1200169,114,116,,,0,153,,,,105,112,False,0.070199996,,114,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.072,,0.36725,,0.008849502,,,,1013910,,,485.692,,,,1577750400,0,37900000,37.38,,0.1678102,0.23471665,0,1640908800,1585612800,,,553343,729858112,,,,,,-0.328,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 00,,3.0497591,47 74 08 63 01,,,,
ADE,0159,Communication Services,3564,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,Norway,[],http://www.adevinta.com,1,Grensen 5,Internet Content & Information,154,155,105.41259,,0,,156.7,,653263,,154,125.34853,,155,,653263,,,,,,,,,153.8,2,NOK,220758,,,,105468444672,,,430859,,153.8,154.2,,,220758,168.2,,,,66.7,153.9,False,,,156.7,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.5029355,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.1678102,,0.66005,1640908800,1593475200,,,227972750,100608000000,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,47 23 10 66 00,,,,,,,
AKBM-ME,1327,Healthcare,,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,Norway,[],http://www.akerbiomarine.com,1,OksenOeyveien 10,Drug Manufacturers—Specialty & Generic,95.99,96.1,96.49,,,,96.5,,125235,,95.99,96.49,,96.1,,125235,,,,,,,,,95,2,NOK,12887,,,,,,,170012,,95,95.44,,,12887,114,,,,87,95.2,False,,,96.5,OSL,AKER BIOMARINE AS,Aker BioMarine AS,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,42.677,,-0.00658,200.67,-0.08309454,,,,,,,2.589,,,,1546214400,,-1022000,-0.015,,0.1678102,36.863655,,1609372800,1514678400,,,14611039,6629140480,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,47 24 13 00 00,PO Box 496,,,,,,
ASC,0250,Financial Services,275,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.abgsc.com,1,Munkedamsveien 45 East,Capital Markets,4.555,4.55,3.827518,0.048298575,0.8062,,4.55,,233593,,4.555,4.3391175,0.22,4.55,,233593,,,,0.22,1588118400,0.958768,,,4.5,4,NOK,18171,,,,1995430016,,,435275,1.4118443,4.5,4.525,,185000,18171,4.58,10.523256,,10.54,2.69,4.505,False,0.048299998,340000,4.55,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ASC.OL,finmb_2972520,no_market,,1.106,,0.17288,,0.41744554,,0.43,,440979008,,,1.493,,,,1577750400,0.19143,244343008,0.459,,0.1678102,3.0308104,0.18238,1640908800,1593475200,,,342568196,1562607488,,,,,,0.229,,,,,,,,https://logo.clearbit.com/abgsc.com,47 22 01 60 00,7th floor,9.858388,,,,,
AEGA,274,Utilities,2,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.aega.no,1,Thunes vei 2,Utilities—Renewable,1.33,1.3,1.2353957,0.0030075188,,,1.37,,32174,,1.33,1.2464706,0.004,1.3,,32174,,,,0.04,1591142400,-0.700348,,,1.28,4,NOK,32954,,,,65829596,,,51161,,1.28,1.36,,394100,32954,1.85,,,,1.05,1.28,False,0.030299999,60000,1.37,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.08333331,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.1678102,8.30303,0.46798,1640908800,1585612800,,,24350240,63907608,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,,
AKA,1366,Energy,2112,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,Norway,[],http://akastor.com,1,Building B,Oil & Gas Equipment & Services,6.54,6.63,5.581007,,0,,6.63,,420121,,6.54,5.446029,,6.63,,420121,,,,,1397174400,1.36353,,,6.1,2,NOK,336262,,,,1692130176,,,488125,0.29880455,6.1,6.23,,52200,336262,12.4,15.575,,,3.52,6.21,False,,227000,6.63,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKA.OL,finmb_874402,no_market,,0.717,,-0.0498,13.065,-0.3641851,,0.4,,271609984,,,14.855,,,,1577750400,0.25563,-152000000,-0.981,,0.1678102,0.41938743,0.51141,1640908800,1593475200,,,136612714,4063142912,,1175212800,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,47 21 52 58 00,OksenÃ¸yveien 10 Lysaker,,,,,,
AKVA,4353,Industrials,1444,"AKVA Group ASA develops, designs, manufactures, assembles, sells, and installs technology products; and provides rental and consulting services for the aquaculture industry. The company operates through three segments: Cage Based Technology, Software, and Land Based Technology. The Cage Based Technology segment offers plastic cages, steel cages, feed barges, feed systems, sensor and camera systems, biomass estimation systems, underwater lights, net cleaning systems, and nets and mooring systems under the Polarcirkel, Wavemaster, and Akvasmart hardware brands. This segment also supplies polyethylene work boats, pipes, ROV's, and subsea solutions to aquaculture, oil service, and maritime industries. The Software segment provides production control, planning, traceability, and ERP software for the aquaculture and fishing industries under the Fishtalk brand. This segment also operates AKVAconnect, a process control platform that enables real-time control of various mission critical equipment, such as feeding systems, environmental sensors, barges, and cameras installed on-site at the farmer's locations. The Land Based Technology segment designs and delivers recirculation systems for land based fish farming, as well as provides water quality conditions for fresh and seawater operations. The company also offers PRISMA, a cloud-based data platform for the aquaculture eco-system. AKVA group ASA operates in Norway, Chile, Canada, Scotland, Denmark, and internationally. The company is based in Klepp Stasjon, Norway. AKVA Group ASA is a subsidiary of Egersund Group AS.",Klepp Stasjon,Norway,[],http://www.akvagroup.com,1,Plogfabrikkvegen 11,Farm & Heavy Construction Machinery,63,64.2,60.700718,0.031746034,,,64.2,,3161,,63,62.288235,2,64.2,,3161,,,,2,1582502400,0.655052,,,62.4,2,NOK,5172,,,,2068959360,,,5656,0.6949881,62.4,62.4,,49600,5172,83,10.890053,,,41.3,62.2,False,0.0324,34200,64.2,OSL,AKVA GROUP ASA,AKVA Group ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKVA.OL,finmb_162314,no_market,,1.107,,-0.00014,25.432,-0.18897635,,5.73,,33156400,,,31.171,,,,1577750400,0.13203,-422000,-0.014,,0.1678102,2.0018609,0.7511,1640908800,1585612800,,,8065299,3294914560,,,,,,-0.417,,,,,,,,https://logo.clearbit.com/akvagroup.com,47 51 77 85 00,,,,,,,
