ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,trailingPE,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,err
ADE,0159,Communication Services,3564,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1,Grensen 5,Internet Content & Information,155,160.5,106.041664,,0,,162,,595827,,155,128.74706,,160.5,,595827,,,,,,,,,153.7,2,NOK,304636,,,,106084810752,,,443023,,153.7,154.9,,,304636,168.2,,,,66.7,154.7,False,,,162,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.47619045,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.15364361,,0.66005,1640908800,1593475200,,,227972750,101524996096,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,,,
ADSC-ME,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1,OSM House,Marine Shipping,17.95,17.9,21.760145,,0.4088,,18.3,,48833,,17.95,18.541176,,17.9,,48833,,,,4.21,1591228800,,,,17.8,2,NOK,3282,,,,428042464,,,76990,,17.8,18.1,,,3282,33.4,,,,16.1,18,False,0.2332,,18.3,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.093434274,,,,23390300,,,,,,,,0.09734,,,,0.15364361,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,22 Amathountos Agios Tychonas,,,,,,,
2020,HM11,Industrials,4,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,Marine Shipping,60,61,54.688404,0.0027500002,2.2674,,62.4,,37289,,60,55.32353,0.165,61,,37289,,,,1.07,1597622400,1.121996,,,61,2,NOK,8000,,,,1374595840,,,31806,49.624397,61,62,,,8000,93.8,,,,39,61.6,False,0.0315,,62.4,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,56.63,,0.16968,,-0.24802607,,,,22170900,,,6.22,,,,1577750400,0.19871001,4700000,0.208,,0.15364361,9.967846,0.57717997,1640908800,1593475200,,,6990487,1568654336,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,2nd Floor 9 Par-la-Ville Road,298.0769,,,,,,
AFG,0663,Industrials,5526,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1,Innspurten 15,Engineering & Construction,179,179,167.37173,0.053072624,1.0266,,179,,10602,,179,177.62941,9.5,179,,10602,,,,12,1589760000,0.439024,,,177.6,2,NOK,1030,,,,18691602432,,,18604,0.7801821,177.6,178,,178000,1030,185,21.215733,,5.43,124.5,177.6,False,0.067,52100,179,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AFG.OL,finmb_6174594,no_market,,0.82,,0.03506,15.084,0.08484852,,8.39,,105009000,,,22.213,,,,1577750400,0.14407,840000000,8.257,,0.15364361,8.013326,0.60915,1640908800,1585612800,,,40215335,19639955456,,1263772800,5:1,,,-0.1,,,,,,,,https://logo.clearbit.com/afgruppen.com,,21.557467,,,,,,
ASC,0250,Financial Services,275,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1,Munkedamsveien 45 East,Capital Markets,4.625,4.625,3.8345652,0.04756757,0.8062,,4.625,,277372,,4.625,4.3663235,0.22,4.625,,277372,,,,0.22,1588118400,0.958768,,,4.54,4,NOK,19173,,,,2017478912,,,433771,1.4274447,4.54,4.575,,185000,19173,4.625,10.639534,,10.54,2.69,4.54,False,0.0476,340000,4.625,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ASC.OL,finmb_2972520,no_market,,1.127,,0.17288,,0.43188858,,0.43,,440979008,,,1.493,,,,1577750400,0.19143,244343008,0.459,,0.15364361,3.0642998,0.18238,1640908800,1593475200,,,342568196,1593444480,,,,,,0.229,,,,,,,,https://logo.clearbit.com/abgsc.com,7th floor,9.96732,,,,,,
AQUA,0161,Energy,431,"AqualisBraemar ASA, an investment holding company, provides marine and engineering consultancy services to the offshore oil and gas industry and offshore renewables market worldwide. It offers marine and offshore engineering services, such as deep and shallow water installation engineering; marine operations and surveying, including rig moving and tow master, as well as engineering support services; owns and supervises vessel construction; engineering and project management services; concept, FEED, and basic design services for new-build and vessel upgrades; and rig inspection services. The company also provides marine warranty and consultancy, risk consulting, transportation and installation, dynamic positioning and critical systems, and technical due diligence services. The company was formerly known as Aqualis ASA and changed its name to AqualisBraemar ASA in June 2019. AqualisBraemar ASA was incorporated in 2014 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://aqualisbraemar.com,1,Olav Vs gate 6,Oil & Gas Equipment & Services,5.4,5.6,3.7469566,0.0009259259,0,,5.65,,43009,,5.4,4.4738235,0.005,5.6,,43009,,,,0.2,1591833600,1.076655,,,5.4,2,NOK,417,,,,397287680,,,43986,5.9835186,5.4,5.45,,385400,417,5.85,40.357143,,,2.15,5.4,False,0.037,402100,5.65,OSL,AQUALISBRAEMAR ASA,AqualisBraemar ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AQUA.OL,finmb_266259656,no_market,,5.643,,0.18611999,223.434,0.43617022,,0.14,,70316400,,,0.686,,,,1577750400,0.07898,12358000,0.201,,0.15364361,8.236152,0.58599,1640908800,1585612800,,,20787638,374697984,,,,,,,,,,,,,,https://logo.clearbit.com/aqualisbraemar.com,,28.109453,,,,,,
ANDF-ME,8400,Consumer Defensive,,"Andfjord Salmon AS operates a fish farm. It operates a closed sea facility for organic salmon farming. The company was founded in 2014 and is headquartered in Sortland, Norway.",Sortland,,Norway,[],http://www.andfjordsalmon.com,1,Havnegata 19,Farm Products,55.5,55.1,54.920525,,0,,56,,14632,,55.5,54.710884,,55.1,,14632,,,,,,,,,55.1,2,NOK,8975,,,,,,,46802,,55.1,56,,,8975,65,,,,46.5,55.25,False,,,56,OSL,ANDFJORD SALMON AS,Andfjord Salmon AS,Europe/Oslo,CEST,False,7200000,EQUITY,ANDF-ME.OL,finmb_570862527,no_market,,1006.983,,0,-206.983,-0.060913682,,,,,,,4.914,,,,1577750400,,-6394534,-0.214,,0.15364361,11.396011,,1640908800,,,,,1658029184,,,,,,,,,,,,,,https://logo.clearbit.com/andfjordsalmon.com,8402 Sortland,,,,,,,
AKSO,1366,Energy,13000,"Aker Solutions ASA provides products, systems, and services to the oil and gas industry worldwide. The company operates through Projects and Services segments. It offers field planning, feasibility, and concept studies; floater designs; digital solutions; offshore wind solutions; and deep water risers. The company also provides engineering, project management, and procurement services, such as design of offshore oil and gas production facilities, and onshore receiving and processing facilities; jacket designs; subsea production systems; subsea trees; and control systems. In addition, it offers subsea wellheads engineering, manufacturing, installation, and life-of-field support services, including umbilical systems, subsea structures, tie-in systems, subsea compression and pump systems, subsea power distribution and processing systems, and intervention and workover systems; lifecycle, hook-up and completion, maintenance, modification, asset integrity management, and yards and fabrication services, as well as carbon capture, utilization, and storage services. Aker Solutions ASA was founded in 1841 and is headquartered in Fornebu, Norway.",Fornebu,47 67 51 30 00,Norway,[],http://akersolutions.com,1,OksenÃ¸yveien 8,Oil & Gas Equipment & Services,18.75,13.7,9.98828,0.07733334,0,,14.68,,7650934,,18.75,13.281143,1.45,13.7,,7650934,,,,,1428624000,2.095818,,,12.56,2,NOK,4119813,,,,3535259136,,,5859029,0.13415016,12.56,13.03,,58500,4119813,30.2,5.579399,,,4.362,13,False,,156700,14.68,OSL,AKER SOLUTIONS ASA,Aker Solutions ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKSO.OL,finmb_262890984,no_market,,0.491,,-0.03779,20.419,-0.27606177,,2.33,,271943008,,,24.02,,,,1577750400,0.26966998,-996000000,-3.667,,0.15364361,0.54121566,0.46942002,1640908800,1593475200,,,130227946,12945926144,,1175212800,1:5,,,,,,,,,,,https://logo.clearbit.com/akersolutions.com,,,47 67 82 69 50,,,,,
AMSC,1366,Industrials,3,"American Shipping Company ASA, through its subsidiaries, operates as a ship owning and lease finance company in the United States. It is involved in the purchase and bareboat chartering of product tankers, shuttle tankers, and other vessels to operators and end users in the Jones Act market. The company operates a fleet of nine product tankers and one shuttle tanker. The company was formerly known as Aker American Shipping ASA and changed its name to American Shipping Company ASA in June 2008. American Shipping Company ASA was founded in 2005 and is headquartered in Lysaker, Norway.",Lysaker,,Norway,[],http://www.americanshippingco.com,1,Building B,Marine Shipping,29.9,29.8,25.766521,0.010702341,1.9914999,,29.8,,49953,,29.9,27.32206,0.32,29.8,,49953,,,,3.21,1590451200,0.957026,,,29.5,2,NOK,20711,,,,1797279232,,,75670,20.399519,29.5,29.7,,114600,20711,37.5,80.13513,,11.42,15.06,29.65,False,0.1073,172600,29.8,OSL,AMER SHIPPING COMP,American Shipping Company ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AMSC.OL,finmb_22594564,no_market,,26.477,,0.10217,27.451,-0.110119045,,0.37,,60616500,,,2.669,,,,1577750400,0.19708,9002000,0.149,,0.15364361,11.10903,0.28123,1640908800,1585612800,,,44026980,2332733440,,,,,,0.778,,,,,,,,https://logo.clearbit.com/americanshippingco.com,OksenOeyveien 10,198.99329,,,,,,
AKER,1366,Energy,21865,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1,OksenOeyveien 10,Oil & Gas Equipment & Services,418,418,344.2058,0.028110048,0,,420,,99560,,418,385.02942,11.75,418,,99560,,,,11.75,1595289600,1.71777,,,410,2,NOK,24708,,,,30481557504,,,193778,0.6470707,410,410.8,,111700,24708,566,15.634286,,,182.2,410.2,False,0.0279,108400,420,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKER.OL,finmb_12074458,no_market,,1.909,,-0.08871,35.189,-0.007125914,,26.25,,74272800,,,251.432,,,,1577750400,0.19775999,-4124000000,-56.266,,0.15364361,1.6322504,0.70268,1640908800,1593475200,,,67696448,89942835200,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,,,47 24 13 01 01,,,,,
