ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,err
2020,2020 Bulkers,Industrials,61.8,62.0,62.0,0,,1370.16,,,0.0935,-0.2878,-0.1555,HM11,Industrials,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,,Marine Shipping,60.0,61.0,54.51679,0.0027500002000000003,2.2674,,62.4,,43994.0,,60.0,55.323530000000005,0.165,61.0,,43994.0,,,,1.07,1597622400.0,1.121996,,,61.0,2.0,NOK,297.1154,24671.0,,,,1370161664.0,,,31806.0,49.46432,61.0,62.0,,,24671.0,93.8,,,,39.0,61.2,False,0.0315,,62.4,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,56.63,,0.16968,,-0.19999999,,,,22170900.0,,,6.22,,,,1577750400.0,0.19871001,4700000.0,0.20800000000000002,,0.15364361,9.935692,0.57717997,1640908800.0,1593475200.0,,,6990487.0,1568654336.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,4.0,2nd Floor 9 Par-la-Ville Road,,,,,
FIVEPG,5th Planet Games,Communication services,1.69,1.69,1.69,0,LP,179.68,,,0.2426,4.7857,2.0069,1123,Communication Services,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,,Electronic Gaming & Multimedia,1.82,1.83,1.2962221,,0.0,,1.855,,3610016.0,,1.82,1.7433011999999999,,1.83,,3610016.0,,,,,,2.714866,,,1.68,4.0,NOK,,3051915.0,,,,179677424.0,,,4250138.0,,1.68,1.69,,0.0,3051915.0,3.8,,,,0.25,1.68,False,,0.0,1.855,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.5706215000000001,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.15364361,9.712645,0.50402,1640908800.0,1577750400.0,,,46533235.0,97799536.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,16.0,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,114.0,113.0,120.0,0,LP,115.59,,,,,,7630,Financial Services,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,47 74 08 63 01,Banks—Regional,114.0,114.0,119.40146000000001,0.07017544,1.0156,,114.0,,3.0,,114.0,113.02941000000001,8.0,114.0,,3.0,,,,8.0,1583798400.0,,,,114.0,2.0,NOK,2.8498576,0.0,,,,115585744.0,,,37.0,1.0540278,114.0,0.0,,,0.0,153.0,,,,105.0,111.0,False,0.070199996,,114.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.372000000000001,,0.38217998,,-0.025641024,,,,1013910.0,,,433.17800000000005,,,,1577750400.0,0.0,41910000.0,40.001999999999995,,0.15364361,0.26317126,0.0,1640908800.0,1593475200.0,,,553343.0,808410112.0,,,,,,0.341,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.55,4.5,4.5,0,,2006.45,,,0.0111,0.2093,0.5783,0250,Financial Services,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,,Capital Markets,4.625,4.625,3.8334308,0.04756757,0.8062,,4.625,,251525.0,,4.625,4.3663235,0.22,4.625,,251525.0,,,,0.22,1588118400.0,0.9587680000000001,,,4.53,4.0,NOK,9.912854,140284.0,,,,2006454528.0,,,433771.0,1.4196445,4.53,4.55,,185000.0,140284.0,4.625,10.581395,,10.54,2.69,4.515,False,0.0476,340000.0,4.625,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.127,,0.17288,,0.41437304,,0.43,,440979008.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.15364361,3.0475552,0.18238,1640908800.0,1593475200.0,,,342568196.0,1593444480.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,275.0,7th floor,,,,,
ADE,Adevinta,Communication services,154.4,155.0,155.0,0,,105742.31,,,0.3426,0.4846,0.5108,0159,Communication Services,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,,Internet Content & Information,155.0,160.5,106.00401000000001,,0.0,,162.0,,603930.0,,155.0,128.74706,,160.5,,603930.0,,,,,,,,,153.7,2.0,NOK,,1050018.0,,,,105742385152.0,,,443023.0,,153.7,150.4,,,1050018.0,168.2,,,,66.7,154.8,False,,,162.0,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.46226418,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.15364361,,0.66005,1640908800.0,1593475200.0,,,227972750.0,101524996096.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,3564.0,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,18.15,17.95,18.2,0,,424.53,,,-0.032,-0.2541,0.1471,4532,Industrials,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,,Marine Shipping,17.95,17.9,21.736496,,0.4088,,18.35,,54321.0,,17.95,18.541176,,17.9,,54321.0,,,,4.21,1591228800.0,,,,17.8,2.0,NOK,,8777.0,,,,424533952.0,,,76990.0,,17.8,18.25,,,8777.0,33.4,,,,16.1,18.0,False,0.2339,,18.35,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.09798992,,,,23390300.0,,,,,,,,0.09734,,,,0.15364361,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,22 Amathountos Agios Tychonas,,,,,
AEGA,Aega,Utilities,1.2,1.4,1.4,0,,57.66,,,-0.04,0.0345,0.0034,274,Utilities,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,,Utilities—Renewable,1.36,1.28,1.2385402,0.0029411765000000004,,,1.36,,49623.0,,1.36,1.2547058999999998,0.004,1.28,,49623.0,,,,0.04,1591142400.0,-0.700348,,,1.2,4.0,NOK,,104905.0,,,,57660964.0,,,50902.0,,1.2,1.34,,394100.0,104905.0,1.85,,,,1.05,1.21,False,0.0301,60000.0,1.36,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.04895103,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.15364361,7.272727499999999,0.46798,1640908800.0,1585612800.0,,,24350240.0,65349132.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,2.0,,,,,,
AFG,AF Gruppen,Industrials,175.0,176.0,176.0,0,,18376.58,,,-0.0331,0.0313,0.15039999999999998,0663,Industrials,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,,Engineering & Construction,179.0,179.0,167.33066000000002,0.053072624000000006,1.0266,,179.0,,11290.0,,179.0,177.62941,9.5,179.0,,11290.0,,,,12.0,1589760000.0,0.43902399999999997,,,175.0,2.0,NOK,21.194138,2750.0,,,,18376574976.0,,,18604.0,0.7670329,175.0,176.6,,178000.0,2750.0,185.0,20.858164000000002,,5.43,124.5,176.2,False,0.067,52100.0,179.0,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.82,,0.03506,15.084000000000001,0.049853325,,8.39,,105009000.0,,,22.213,,,,1577750400.0,0.14407,840000000.0,8.257,,0.15364361,7.8782697,0.60915,1640908800.0,1585612800.0,,,40215335.0,19639955456.0,,1263772800.0,5:1,,,-0.1,,,,,,,,https://logo.clearbit.com/afgruppen.com,5526.0,,,,,,
AKA,Akastor,Energy,6.2,6.17,6.17,0,,1683.98,,,0.1273,-0.3763,-0.3763,1366,Energy,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,47 21 52 58 00,Norway,[],http://akastor.com,1.0,Building B,,Oil & Gas Equipment & Services,6.37,6.39,5.4921169999999995,,0.0,,6.59,,476723.0,,6.37,5.540441,,6.39,,476723.0,,,,,1397174400.0,1.36353,,,6.12,2.0,NOK,,139602.0,,,,1683981824.0,,,493792.0,0.29736567,6.12,6.24,,52200.0,139602.0,12.4,15.499998999999999,,,3.52,6.17,False,,227000.0,6.59,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.701,,-0.0498,12.767999999999999,-0.4209090999999999,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.15364361,0.41736788,0.51141,1640908800.0,1593475200.0,,,136612714.0,3970857216.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,2112.0,OksenÃ¸yveien 10 Lysaker,,,,,
AKER,Aker,Financials,410.0,411.0,411.0,0,,30451.83,,,0.0128,-0.2229,0.0387,1366,Energy,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1.0,OksenOeyveien 10,47 24 13 01 01,Oil & Gas Equipment & Services,418.0,418.0,342.92264,0.028110048,0.0,,420.0,,99538.0,,418.0,385.02942,11.75,418.0,,99538.0,,,,11.75,1595289600.0,1.71777,,,410.0,2.0,NOK,,70409.0,,,,30451847168.0,,,193778.0,0.64643997,410.0,411.8,,111700.0,70409.0,566.0,15.619047,,,182.2,411.4,False,0.0279,108400.0,420.0,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.909,,-0.08871,35.189,-0.011820316,,26.25,,74272800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.15364361,1.6306596000000002,0.70268,1640908800.0,1593475200.0,,,67696448.0,89942835200.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,21865.0,,,,,,
