ticker,zip,sector,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,err
AASB-ME,7630,Financial Services,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,47 74 08 63 01,Banks—Regional,114,114,119.40146,0.07017544,1.0156,,114,,3,,114,113.02941,8,114,,3,,,,8,1583798400,,,,114,2,NOK,2.8498576,0,,,,115585744,,,37,1.0540278,114,0,,,0,153,,,,105,111,False,0.070199996,,114,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.372,,0.38217998,,-0.025641024,,,,1013910,,,433.178,,,,1577750400,0,41910000,40.002,,0.15364361,0.26317126,0,1640908800,1593475200,,,553343,808410112,,,,,,0.341,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,,,,,,
2020,HM11,Industrials,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,,Marine Shipping,60,61,54.51679,0.0027500002,2.2674,,62.4,,43994,,60,55.32353,0.165,61,,43994,,,,1.07,1597622400,1.121996,,,61,2,NOK,297.1154,24671,,,,1370161664,,,31806,49.46432,61,62,,,24671,93.8,,,,39,61.2,False,0.0315,,62.4,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,56.63,,0.16968,,-0.19999999,,,,22170900,,,6.22,,,,1577750400,0.19871001,4700000,0.208,,0.15364361,9.935692,0.57717997,1640908800,1593475200,,,6990487,1568654336,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,4,2nd Floor 9 Par-la-Ville Road,,,,,
FIVEPG,1123,Communication Services,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,,Electronic Gaming & Multimedia,1.82,1.83,1.2962221,,0,,1.855,,3610016,,1.82,1.7433012,,1.83,,3610016,,,,,,2.714866,,,1.68,4,NOK,,3051915,,,,179677424,,,4250138,,1.68,1.69,,0,3051915,3.8,,,,0.25,1.68,False,,0,1.855,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.5706215,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,0.15364361,9.712645,0.50402,1640908800,1577750400,,,46533235,97799536,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,16,,,,,,
ADSC-ME,4532,Industrials,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1,OSM House,,Marine Shipping,17.95,17.9,21.736496,,0.4088,,18.35,,54321,,17.95,18.541176,,17.9,,54321,,,,4.21,1591228800,,,,17.8,2,NOK,,8777,,,,424533952,,,76990,,17.8,18.25,,,8777,33.4,,,,16.1,18,False,0.2339,,18.35,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.09798992,,,,23390300,,,,,,,,0.09734,,,,0.15364361,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,22 Amathountos Agios Tychonas,,,,,
ADE,0159,Communication Services,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1,Grensen 5,,Internet Content & Information,155,160.5,106.00401,,0,,162,,603930,,155,128.74706,,160.5,,603930,,,,,,,,,153.7,2,NOK,,1050018,,,,105742385152,,,443023,,153.7,150.4,,,1050018,168.2,,,,66.7,154.8,False,,,162,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.46226418,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.15364361,,0.66005,1640908800,1593475200,,,227972750,101524996096,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,3564,,,,,,
AEGA,274,Utilities,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,,Utilities—Renewable,1.36,1.28,1.2385402,0.0029411765,,,1.36,,49623,,1.36,1.2547059,0.004,1.28,,49623,,,,0.04,1591142400,-0.700348,,,1.2,4,NOK,,104905,,,,57660964,,,50902,,1.2,1.34,,394100,104905,1.85,,,,1.05,1.21,False,0.0301,60000,1.36,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.04895103,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.15364361,7.2727275,0.46798,1640908800,1585612800,,,24350240,65349132,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,2,,,,,,
AKBM-ME,1327,Healthcare,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerbiomarine.com,1,OksenOeyveien 10,,Drug Manufacturers—Specialty & Generic,95.31,95,96.43207,,,,97,,175101,,95.31,96.43207,,95,,175101,,,,,,,,,94.3,2,NOK,,24397,,,,,,,161193,,94.3,94.91,,,24397,114,,,,87,94.31,False,,,97,OSL,AKER BIOMARINE AS,Aker BioMarine AS,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,42.37,,-0.00658,199.228,-0.089684784,,,,,,,2.589,,,,1546214400,,-1022000,-0.015,,0.15364361,36.693703,,1609372800,1514678400,,,14611039,6581493248,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,,PO Box 496,,,,,
AKERBP,1366,Energy,"Aker BP ASA engages in the exploration, development, and production of oil and gas on the Norwegian Continental Shelf. The company has working interests in 42 fields/projects. As of December 31, 2019, its total net proven reserves were 666 million barrels of oil equivalents; and estimated total net proven plus probable reserves were 906 million barrels of oil equivalents. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",Fornebu,47 51 35 30 00,Norway,[],http://www.akerbp.com,1,Building B,,Oil & Gas E&P,181.85,181.85,178.73138,0.01005224,,,183.2,,625656,,181.85,181.81177,1.828,181.85,,625656,,,,7.41,1596153600,1.664343,,,180.85,2,NOK,,283063,,,,65233981440,,,1343151,21.292229,180.85,181.35,,,283063,297.9,,,,89.42,181.35,False,0.0401,,183.2,OSL,AKER BP ASA,Aker BP ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKERBP.OL,finmb_9048461,no_market,,22.606,,-0.031630002,31.61,-0.22352684,,,,359614016,,,5.317,,,,1577750400,0.16023001,-96917000,-0.269,,0.15364361,34.11698,0.70299006,1640908800,1593475200,,,106384610,69259272192,,1261526400,1:1,,,1.715,,,,,,,,https://logo.clearbit.com/akerbp.com,1703,Fornebuporten OksenOeyveien 10 Lysaker,,,,,
ANDF-ME,8400,Consumer Defensive,"Andfjord Salmon AS operates a fish farm. It operates a closed sea facility for organic salmon farming. The company was founded in 2014 and is headquartered in Sortland, Norway.",Sortland,,Norway,[],http://www.andfjordsalmon.com,1,Havnegata 19,,Farm Products,55.5,55.1,54.920525,,0,,56,,15361,,55.5,54.710884,,55.1,,15361,,,,,,,,,55.1,2,NOK,,10338,,,,,,,46802,,55.1,55.5,,,10338,65,,,,46.5,55.04,False,,,56,OSL,ANDFJORD SALMON AS,Andfjord Salmon AS,Europe/Oslo,CEST,False,7200000,EQUITY,ANDF-ME.OL,finmb_570862527,no_market,,1006.983,,0,-206.983,-0.060913682,,,,,,,4.914,,,,1577750400,,-6394534,-0.214,,0.15364361,11.243386,,1640908800,,,,,1658029184,,,,,,,,,,,,,,https://logo.clearbit.com/andfjordsalmon.com,,8402 Sortland,,,,,
AZT,9294,Healthcare,"ArcticZymes Technologies ASA develops, manufactures, and markets immunomodulating beta-glucans and recombinant enzymes in Norway, Europe, Asia, Australia, Africa, and the Americas. It operates through two segments, Enzymes and Beta-Glucans. The company provides recombinant enzymes that are primarily derived from cold-water marine species and organisms from other relevant environments for use in molecular research, in vitro diagnostics, and therapeutics. It offers shrimp alkaline phosphatase and derived kits for cleanup prior to Sanger sequencing and next generation sequencing (NGS) processes; cod UNG for use in viral and other molecular diagnostic assays; double-strand specific DNases and derived kits for the removal of DNA from RNA samples; polymerases for technology development for life science, molecular diagnostics, NGS, and synthetic biology; proteinase for microbiological diagnostics and liquid biopsies; salt active nuclease for the removal of nucleic acids during manufacturing of vaccines, viruses, recombinant proteins, and other reagents; and ligases for joining DNA fragments. The company also provides immunomodulating beta-glucans products for the wound care, animal and consumer health, and adjuvants markets. It offers Woulgan wound gel; M-Glucan, a natural immune-stimulating product for fish and animal feed; and M-Gard, a natural immune-stimulating ingredients to enhance physical health. The company was formerly known as Biotec Pharmacon ASA and changed its name to ArcticZymes Technologies ASA in June 2020. ArcticZymes Technologies ASA was founded in 1990 and is headquartered in TromsÃ¸, Norway.",TromsÃ¸,47 77 64 89 00,Norway,[],http://arcticzymes.com,1,Sykehusveien 23,47 77 64 89 01,Biotechnology,48.5,49,,,0,,50.2,,,,48.5,,,49,,,,,,,,1.34727,,,48.2,2,NOK,186.15385,140483,,,,2339399680,,,,22.480825,48.2,48.8,,,140483,50.2,,,,48.2,48.4,False,,,50.2,OSL,ARCTICZYMES TECH,ArcticZymes Technologies ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AZT.OL,finmb_13529463,no_market,,22.337,,0.121549994,171.106,,,,,48334700,,,1.21,,,,1577750400,0.0896,12649000,0.26,,0.15364361,40,0.3134,1640908800,1585612800,,,23883612,2324476672,,,,,,,,,,,,,,https://logo.clearbit.com/arcticzymes.com,36,PO Box 6463,,,,,
