ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,trailingPE,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
2020,2020 Bulkers,Industrials,61.6,61.6,61.6,0,,1365.73,,,0.09,-0.2901,-0.1582,HM11,Industrials,4.0,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,Marine Shipping,61.8,62.0,54.398540000000004,0.002669903,2.2674,,63.4,,40773.0,,61.8,55.59411600000001,0.165,62.0,,40773.0,,,,1.07,1597622400.0,1.121996,,,61.2,2.0,NOK,20562.0,,,,1365727360.0,,,30162.0,49.304237,61.2,61.8,,,20562.0,93.8,,,,39.0,61.2,False,0.0174,,63.4,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,57.911,,0.16968,,-0.20769233,,,,22170900.0,,,6.22,,,,1577750400.0,0.19871001,4700000.0,0.20800000000000002,,0.16599834,9.903537,0.57717997,1640908800.0,1593475200.0,,,6990487.0,1604127872.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,2nd Floor 9 Par-la-Ville Road,296.15384,,,,,,
FIVEPG,5th Planet Games,Communication services,1.83,1.91,1.91,0,LP,194.03,,,0.3419,5.2479,2.2471,1123,Communication Services,16.0,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,Electronic Gaming & Multimedia,1.69,1.69,1.3054119,,0.0,,2.03,,3516999.0,,1.69,1.7450074,,1.69,,3516999.0,,,,,,2.714866,,,1.615,4.0,NOK,13101325.0,,,,194030352.0,,,4212026.0,,1.615,1.86,,0.0,13101325.0,3.8,,,,0.25,1.825,False,,0.0,2.03,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.1948054,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.16599834,10.488506,0.50402,1640908800.0,1577750400.0,,,46798691.0,90813856.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,114.0,114.0,119.0,0,LP,115.59,,,,,,7630,Financial Services,,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,Banks—Regional,114.0,114.0,119.25548,0.07017544,1.0156,,114.0,,2.0,,114.0,113.0,8.0,114.0,,2.0,,,,8.0,1583798400.0,,,,114.0,2.0,NOK,0.0,,,,115585744.0,,,37.0,1.0540278,114.0,0.0,,,0.0,153.0,,,,105.0,111.0,False,0.070199996,,114.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.372000000000001,,0.38217998,,-0.025641024,,,,1013910.0,,,433.17800000000005,,,,1577750400.0,0.0,41910000.0,40.001999999999995,,0.16599834,0.26317126,0.0,1640908800.0,1593475200.0,,,553343.0,808410112.0,,,,,,0.341,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,2.8498576,47 74 08 63 01,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.53,4.48,4.54,0,,1997.63,,,0.0067,0.204,0.5713,0250,Financial Services,275.0,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,Capital Markets,4.55,4.5,3.8375546999999997,0.048351645,0.8062,,4.53,,232985.0,,4.55,4.382206,0.22,4.5,,232985.0,,,,0.22,1588118400.0,0.9587680000000001,,,4.48,4.0,NOK,87326.0,,,,1997634944.0,,,420775.0,1.4134042,4.48,4.505,,185000.0,87326.0,4.625,10.534884,,10.54,2.69,4.49,False,0.0484,340000.0,4.53,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.0979999999999999,,0.17288,,0.378788,,0.43,,440979008.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.16599834,3.0341593999999996,0.18238,1640908800.0,1593475200.0,,,342568196.0,1551594240.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,7th floor,9.869282,,,,,,
ADE,Adevinta,Communication services,158.4,158.4,158.4,0,,108481.75,,,0.3774,0.5231,0.5499,0159,Communication Services,3564.0,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,Internet Content & Information,154.4,154.7,106.31204,,0.0,,159.5,,642611.0,,154.4,130.4897,,154.7,,642611.0,,,,,,,,,152.7,2.0,NOK,548834.0,,,,108481822720.0,,,448939.0,,152.7,159.2,,,548834.0,168.2,,,,66.7,158.7,False,,,159.5,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.39099097,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.16599834,,0.66005,1640908800.0,1593475200.0,,,227972750.0,103751999488.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,18.15,18.15,18.45,0,,424.53,,,-0.032,-0.2541,0.1471,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,Marine Shipping,18.15,17.95,21.682117,,0.4088,,18.4,,46730.0,,18.15,18.510294000000002,,17.95,,46730.0,,,,4.21,1591228800.0,,,,17.95,2.0,NOK,65831.0,,,,424533952.0,,,72827.0,,17.95,18.15,,,65831.0,33.4,,,,16.1,18.0,False,0.23200001,,18.4,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.069230795,,,,23390300.0,,,,,,,,0.09734,,,,0.16599834,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,22 Amathountos Agios Tychonas,,,,,,,
AEGA,Aega,Utilities,1.28,1.24,1.24,0,,61.51,,,0.024,0.1034,0.0703,274,Utilities,2.0,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,Utilities—Renewable,1.2,1.4,1.2384671999999999,0.0033333334,,,1.4,,58837.0,,1.2,1.2541176,0.004,1.4,,58837.0,,,,0.04,1591142400.0,-0.700348,,,1.23,4.0,NOK,76742.0,,,,61505024.0,,,52516.0,,1.23,1.29,,394100.0,76742.0,1.85,,,,1.05,1.28,False,0.0294,60000.0,1.4,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.24050629,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.16599834,7.757575500000001,0.46798,1640908800.0,1585612800.0,,,24350240.0,61505068.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,,
AFG,AF Gruppen,Industrials,175.6,176.0,176.0,0,,18439.58,,,-0.0298,0.0348,0.15439999999999998,0663,Industrials,5526.0,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,Engineering & Construction,175.0,176.0,167.35255,0.054285713,1.0266,,176.2,,9866.0,,175.0,177.62941,9.5,176.0,,9866.0,,,,12.0,1589760000.0,0.43902399999999997,,,175.0,2.0,NOK,4382.0,,,,18439581696.0,,,17965.0,0.7696628000000001,175.0,176.6,,178000.0,4382.0,185.0,20.929678,,5.43,124.5,176.0,False,0.0686,52100.0,176.2,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.805,,0.03506,14.815999999999999,0.044776082,,8.39,,105009000.0,,,22.213,,,,1577750400.0,0.14407,840000000.0,8.257,,0.16599834,7.905281,0.60915,1640908800.0,1585612800.0,,,40215335.0,19290212352.0,,1263772800.0,5:1,,,-0.1,,,,,,,,https://logo.clearbit.com/afgruppen.com,,21.266806,,,,,,
AKA,Akastor,Energy,6.12,6.09,6.34,0,,1662.25,,,0.1127,-0.3843,-0.3843,1366,Energy,2112.0,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,47 21 52 58 00,Norway,[],http://akastor.com,1.0,Building B,Oil & Gas Equipment & Services,6.2,6.18,5.470292,,0.0,,6.29,,420536.0,,6.2,5.579853,,6.18,,420536.0,,,,,1397174400.0,1.36353,,,6.1,2.0,NOK,95523.0,,,,1662253056.0,,,494458.0,0.29352870000000003,6.1,6.16,,52200.0,95523.0,12.4,15.299999,,,3.52,6.1,False,,227000.0,6.29,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.6970000000000001,,-0.0498,12.698,-0.42698705,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.16599834,0.4119825,0.51141,1640908800.0,1593475200.0,,,136612714.0,3949142784.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,OksenÃ¸yveien 10 Lysaker,,,,,,,
AKER,Aker,Financials,409.6,409.6,409.6,0,,30422.12,,,0.0118,-0.2237,0.0377,1366,Energy,21865.0,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1.0,OksenOeyveien 10,Oil & Gas Equipment & Services,410.0,407.6,342.18176,0.028658537,0.0,,416.2,,94683.0,,410.0,386.79413,11.75,407.6,,94683.0,,,,11.75,1595289600.0,1.71777,,,406.0,2.0,NOK,79156.0,,,,30422138880.0,,,191280.0,0.64580935,406.0,410.4,,111700.0,79156.0,566.0,15.603809,,,182.2,409.8,False,0.0287,108400.0,416.2,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.8969999999999998,,-0.08871,34.955999999999996,-0.053991675,,26.25,,74272800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.16599834,1.6290687,0.70268,1640908800.0,1593475200.0,,,67696448.0,89348734976.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,,,47 24 13 01 01,,,,,
