ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
2020,2020 Bulkers,Industrials,60.2,60.2,60.4,26,,1334.69,0.0033,-0.0195,0.1418,-0.3062,-0.2191,HM11,Industrials,4.0,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,,Marine Shipping,60.0,60.4,53.846714,0.0027500002000000003,0.8163,,60.4,,21623.0,,60.0,56.59411600000001,0.165,60.4,,21623.0,,,,1.06,1597622400.0,1.121996,,,59.6,2.0,NOK,289.42307,4838.0,,,,1334688256.0,,,29198.0,48.183693,59.6,60.4,,,4838.0,93.8,,,,39.0,60.2,False,0.0177,,60.4,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,56.63,,0.16968,,-0.2311688,,,,22170900.0,,,6.22,,,,1577750400.0,0.19871001,4700000.0,0.20800000000000002,,0.19241405,9.678457,0.57717997,1640908800.0,1593475200.0,,,6990487.0,1568654336.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,2nd Floor 9 Par-la-Ville Road,,,,,
FIVEPG,5th Planet Games,Communication services,1.81,1.8,1.81,961,LP,192.44,0.0405,0.0496,-0.0816,5.1623,2.0238,1123,Communication Services,16.0,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,,Electronic Gaming & Multimedia,1.73,1.86,1.3551928999999998,,0.0,,1.92,,6554842.0,,1.73,1.7710293999999998,,1.86,,6554842.0,,,,,,2.714866,,,1.75,4.0,NOK,,4921153.0,,,,191372400.0,,,4301856.0,,1.75,1.81,,0.0,4921153.0,3.8,,,,0.25,1.8,False,,0.0,1.92,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.0803783000000002,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.19241405,10.344828,0.50402,1640908800.0,1577750400.0,,,46798691.0,92963296.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,117.0,116.0,117.0,0,LP,118.63,,,0.0263,-0.0265,0.07339999999999999,7630,Financial Services,29.0,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,47 74 08 63 01,Banks—Regional,117.0,119.0,118.28466999999999,0.06837607,0.67620003,,119.0,,10.0,,117.0,113.26471000000001,8.0,119.0,,10.0,,,,8.0,1583798400.0,0.40223000000000003,,,117.0,2.0,NOK,2.8305995,60.0,,,,118627472.0,,,23.0,1.0807798000000002,117.0,117.0,,,60.0,153.0,,,,105.0,116.0,False,0.070199996,,119.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.446000000000001,,0.38182,,0.0,,,,1013910.0,,,501.01,,,,1577750400.0,0.0,41909000.0,41.333999999999996,,0.19241405,0.23352827,0.0,1640908800.0,1593475200.0,,,553343.0,707542848.0,,,,,,0.34299999999999997,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.51,4.51,4.53,73,,1988.81,-0.0044,-0.0153,0.0297,0.1986,0.5767,0250,Financial Services,275.0,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,,Capital Markets,4.53,4.5,3.8585765,0.04856512,0.8062,,4.55,,164469.0,,4.53,4.4325,0.22,4.5,,164469.0,,,,0.22,1588118400.0,0.9587680000000001,,,4.5,4.0,NOK,9.825708,105488.0,,,,1988815488.0,,,399036.0,1.4071642,4.5,4.525,,185000.0,105488.0,4.625,10.488373,,10.54,2.69,4.51,False,0.048600002999999996,340000.0,4.55,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.0979999999999999,,0.17288,,0.41121495,,0.43,,440979008.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.19241405,3.0207636000000004,0.18238,1640908800.0,1593475200.0,,,342568196.0,1551594240.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,7th floor,,,,,
ADE,Adevinta,Communication services,162.4,162.3,162.6,3344,,111221.18,0.0037,0.0195,0.1919,0.5587,0.4872,0159,Communication Services,3564.0,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,,Internet Content & Information,161.5,162.0,107.78868999999999,,0.0,,168.6,,585517.0,,161.5,139.575,,162.0,,585517.0,,,,,,,,,160.8,2.0,NOK,,477265.0,,,,111221268480.0,,,468534.0,,160.8,162.3,,,477265.0,168.6,,,,66.7,162.3,False,,,168.6,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.51228726,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.19241405,,0.66005,1640908800.0,1593475200.0,,,227972750.0,104800002048.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,17.6,17.5,17.65,136,,411.67,-0.0195,-0.0303,-0.0512,-0.2767,0.0512,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,,Marine Shipping,17.95,17.9,21.453285,,0.4088,,18.1,,44971.0,,17.95,18.37353,,17.9,,44971.0,,,,4.21,1591228800.0,,,,16.6,2.0,NOK,,215140.0,,,,411669280.0,,,70100.0,,16.6,17.65,,,215140.0,33.4,,,,16.1,17.5,False,0.2359,,18.1,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.10749996,,,,23390300.0,,,,,,,,0.09734,,,,0.19241405,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,22 Amathountos Agios Tychonas,,,,,
AEGA,Aega,Utilities,1.2,1.2,1.21,8,,57.66,0.0,-0.0551,-0.0476,0.0345,-0.1069,274,Utilities,2.0,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,,Utilities—Renewable,1.2,1.22,1.2374452,0.0033333334,,,1.22,,65160.0,,1.2,1.2658824,0.004,1.22,,65160.0,,,,0.04,1591142400.0,-0.700348,,,1.18,4.0,NOK,,27562.0,,,,57660964.0,,,55032.0,,1.18,1.21,,394100.0,27562.0,1.85,,,,1.05,1.2,False,0.0313,60000.0,1.22,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.16339868,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.19241405,7.272727499999999,0.46798,1640908800.0,1585612800.0,,,24350240.0,57661000.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,
AFG,AF Gruppen,Industrials,164.4,164.4,164.8,157,,17263.48,-0.0144,-0.0764,-0.08259999999999999,-0.0312,0.0235,0663,Industrials,5524.0,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,,Engineering & Construction,166.8,165.0,167.43211000000002,0.03597122,1.2996001,,165.0,,11755.0,,166.8,177.65883,6.0,165.0,,11755.0,,,,12.0,1589760000.0,0.43902399999999997,,,163.0,2.0,NOK,22.548347,13314.0,,,,17263478784.0,,,16380.0,0.69997483,163.0,164.8,,178000.0,13314.0,185.0,19.594753,,5.43,124.5,164.4,False,0.0719,52100.0,165.0,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.765,,0.030369998999999998,15.415,-0.026966333,,8.39,,105009000.0,,,20.408,,,,1577750400.0,0.14407,749000000.0,7.291,,0.19241405,8.055664,0.60915,1640908800.0,1593475200.0,,,41049068.0,18868500480.0,,1263772800.0,5:1,,,-0.36,,,,,,,,https://logo.clearbit.com/afgruppen.com,,,,,,
AKA,Akastor,Energy,7.0,6.98,7.0,187,,1901.27,-0.0463,0.1401,0.259,-0.2958,-0.3716,1366,Energy,2112.0,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,47 21 52 58 00,Norway,[],http://akastor.com,1.0,Building B,,Oil & Gas Equipment & Services,7.34,7.34,5.378321,,0.0,,7.34,,384167.0,,7.34,5.8235292,,7.34,,384167.0,,,,,1397174400.0,1.36353,,,6.7,2.0,NOK,,311589.0,,,,1901269888.0,,,505635.0,0.33573544,6.7,7.03,,52200.0,311589.0,12.4,17.5,,,3.52,6.99,False,,227000.0,7.34,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.7559999999999999,,-0.0498,13.763,-0.33577979999999996,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.19241405,0.47122183,0.51141,1640908800.0,1593475200.0,,,159931143.0,4280285696.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,OksenÃ¸yveien 10 Lysaker,,,,,
AKER,Aker,Financials,414.4,414.4,414.6,985,,30778.63,-0.0043,0.0242,0.07139999999999999,-0.2146,-0.016399999999999998,1366,Energy,21865.0,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1.0,OksenOeyveien 10,47 24 13 01 01,Oil & Gas Equipment & Services,416.2,416.4,338.1489,0.028231619,0.0,,418.4,,86897.0,,416.2,393.58822999999995,11.75,416.4,,86897.0,,,,11.75,1595289600.0,1.71777,,,410.2,2.0,NOK,,100015.0,,,,30793502720.0,,,185835.0,0.6536927,410.2,414.6,,111700.0,100015.0,566.0,15.794285999999998,,,182.2,414.2,False,0.028199999,108400.0,418.4,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.906,,-0.08871,35.137,-0.058823525999999994,,26.25,,74272800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.19241405,1.6489546999999998,0.70268,1640908800.0,1593475200.0,,,67696448.0,89809158144.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,,,,,,
