ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,state
2020,2020 Bulkers,Industrials,59.8,59.6,59.8,5,,1325.82,0.0,-0.0033,0.1343,-0.3108,-0.2041,HM11,Industrials,4.0,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,,Marine Shipping,59.8,59.6,53.891304000000005,0.0027591975,0.8163,,59.8,,20974.0,,59.8,56.75294,0.165,59.6,20974.0,,,,1.06,1597622400.0,1.121996,,,59.6,2.0,NOK,287.5,701.0,,,,1325819776.0,,,28986.0,47.86353,59.6,59.8,,,701.0,93.8,,,,39.0,59.8,False,0.0177,,59.8,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,,EQUITY,2020.OL,,,finmb_544117951,c7b9db4a-4bdb-3163-a947-4867af712eaa,no_market,,56.47,,0.16968,,-0.22337663,,,,22170900.0,,,6.22,,,,1577750400.0,0.19871001,4700000.0,0.20800000000000002,,,9.614148,0.57717997,1640908800.0,1593475200.0,,,6990487.0,1564220160.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,2nd Floor 9 Par-la-Ville Road,
FIVEPG,5th Planet Games,Communication services,1.81,1.8,1.81,180,LP,192.44,0.0169,0.014,-0.0765,5.1965,1.9695,1123,Communication Services,16.0,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,,Electronic Gaming & Multimedia,1.78,1.84,1.357909,,0.0,,1.84,,5972083.0,,1.78,1.7819116999999998,,1.84,5972083.0,,,,,,2.714866,,,1.785,4.0,NOK,,730995.0,,,,192435568.0,,,4055348.0,,1.785,1.805,,0.0,730995.0,3.8,,,,0.25,1.8,False,,0.0,1.84,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,,EQUITY,FIVEPG.OL,,,finmb_301559974,53e5be53-94a5-3c82-85e0-f8245ad7859f,no_market,,,,0.0,,1.2879176,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,,10.402299000000001,0.50402,1640908800.0,1577750400.0,,,46798691.0,92963296.0,,,,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,
AASB-ME,Aasen Sparebank,Equity certificates,117.0,116.0,117.0,0,LP,118.63,,,0.0263,-0.0265,0.07339999999999999,7630,Financial Services,29.0,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,47 74 08 63 01,Banks—Regional,117.0,117.0,118.27536,0.06837607,0.67620003,,117.0,,8.0,,117.0,113.41176599999999,8.0,117.0,8.0,,,,8.0,1583798400.0,0.40223000000000003,,,117.0,2.0,NOK,2.8305995,57.0,,,,118627472.0,,,23.0,1.0807798000000002,117.0,117.0,,,57.0,153.0,,,,105.0,115.0,False,0.0684,,117.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,,EQUITY,AASB-ME.OL,,,finmb_32425209,ac63565c-a88d-3125-bfaa-b5821f2bed2a,no_market,,6.446000000000001,,0.38182,,,,,,1013910.0,,,501.01,,,,1577750400.0,0.0,41909000.0,41.333999999999996,,,0.23352827,0.0,1640908800.0,1593475200.0,,,553343.0,707542848.0,,,,,,0.34299999999999997,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,
ASC,ABG Sundal Collier Holding,Financials,4.51,4.5,4.51,15,,1988.81,0.0022,-0.0088,0.0297,0.1986,0.5693,0250,Financial Services,275.0,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,,Capital Markets,4.5,4.5,3.863442,0.04888889,0.8062,,4.51,,180934.0,,4.5,4.4416175,0.22,4.5,180934.0,,,,0.22,1588118400.0,0.9587680000000001,,,4.43,4.0,NOK,9.803922,392489.0,,,,1984405504.0,,,397958.0,1.4040438999999998,4.43,4.5,,185000.0,392489.0,4.625,10.465116499999999,,10.54,2.69,4.485,False,0.048899997,340000.0,4.51,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,,EQUITY,ASC.OL,,,finmb_2972520,2847ca13-8931-320e-ba3f-a32d9f9ffefe,no_market,,1.088,,0.17288,,0.40625,,0.43,,440979008.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,,3.0140655,0.18238,1640908800.0,1593475200.0,,,342568196.0,1538378368.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,7th floor,
ADE,Adevinta,Communication services,161.2,161.2,161.4,595,,110399.35,-0.0049,0.0138,0.1853,0.55,0.4981,0159,Communication Services,3564.0,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,,Internet Content & Information,162.0,162.4,108.1779,,0.0,,164.8,,596497.0,,162.0,141.43677,,162.4,596497.0,,,,,,,,,161.0,2.0,NOK,,71271.0,,,,110330953728.0,,,475165.0,,161.0,161.3,,,71271.0,168.2,,,,66.7,161.0,False,,,164.8,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,,EQUITY,ADE.OL,,,finmb_599544498,a314ae4b-c38e-30b8-8218-a690324c2074,no_market,,,,-0.02301,,0.5225564,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,,,0.66005,1640908800.0,1593475200.0,,,227972750.0,105782501376.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,
ADSC-ME,ADS Crude Carriers,Energy,17.8,17.6,17.8,30,,416.35,0.0114,-0.0193,-0.0404,-0.2685,0.1191,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,,Marine Shipping,17.6,17.8,21.427898000000003,,0.4088,,17.8,,42347.0,,17.6,18.351470000000003,,17.8,42347.0,,,,4.21,1591228800.0,,,,17.55,2.0,NOK,,21584.0,,,,416347328.0,,,69285.0,,17.55,17.8,,,21584.0,33.4,,,,16.1,17.6,False,0.2345,,17.8,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,,EQUITY,ADSC-ME.OL,,,finmb_574633826,12a324e9-4445-318b-a27e-b9c991319e35,no_market,,,,0.0,,-0.120000005,,,,23390300.0,,,,,,,,0.09734,,,,,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,22 Amathountos Agios Tychonas,
AEGA,Aega,Utilities,1.24,1.21,1.24,7,,59.58,0.016399999999999998,-0.0388,-0.0159,0.069,-0.07719999999999999,274,Utilities,2.0,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,,Utilities—Renewable,1.22,1.19,1.2371739,0.0032786885,,,1.24,,94565.0,,1.22,1.2673529,0.004,1.19,94565.0,,,,0.04,1591142400.0,-0.700348,,,1.15,4.0,NOK,,9030.0,,,,59582992.0,,,59301.0,,1.15,1.24,,394100.0,9030.0,1.85,,,,1.05,1.21,False,0.0313,60000.0,1.24,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,,EQUITY,AEGA.OL,,,finmb_140002839,76cff989-a482-3ec4-9cf9-8dd6b44e2ced,no_market,,,,0.0,,,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,,7.5151515,0.46798,1640908800.0,1585612800.0,,,24350240.0,57661000.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,
AFG,AF Gruppen,Industrials,166.4,166.2,166.4,10,,17473.5,0.0122,-0.0704,-0.07139999999999999,-0.0194,0.036000000000000004,0663,Industrials,5524.0,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,,Engineering & Construction,164.4,170.8,167.42754,0.036496352,1.2996001,,170.8,,16779.0,,164.4,177.3,6.0,170.8,16779.0,,,,12.0,1589760000.0,0.43902399999999997,,,164.6,2.0,NOK,22.822657,384.0,,,,17473497088.0,,,16619.0,0.7084904000000001,164.6,166.4,,178000.0,384.0,185.0,19.833134,,5.43,124.5,166.2,False,0.073,52100.0,170.8,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,,EQUITY,AFG.OL,,,finmb_6174594,19be6d86-e036-307c-84b4-3f52d8406448,no_market,,0.755,,0.030369998999999998,15.21,-0.04971099,,8.39,,105009000.0,,,20.408,,,,1577750400.0,0.14407,749000000.0,7.291,,,8.153665,0.60915,1640908800.0,1593475200.0,,,41049068.0,18616479744.0,,,,,,-0.36,,,,,,,,https://logo.clearbit.com/afgruppen.com,,
AKA,Akastor,Energy,7.05,7.01,7.05,52,,1914.85,-0.0154,0.1576,0.268,-0.2907,-0.3671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKER,Aker,Financials,412.2,411.8,412.0,356,,30615.23,-0.0053,0.0352,0.06570000000000001,-0.2188,-0.0028000000000000004,1366,Energy,21865.0,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1.0,OksenOeyveien 10,47 24 13 01 01,Oil & Gas Equipment & Services,414.4,415.0,338.7145,0.028354248,0.0,,415.6,,89815.0,,414.4,395.25882,11.75,415.0,89815.0,,,,11.75,1595289600.0,1.71777,,,408.6,2.0,NOK,,29282.0,,,,30600392704.0,,,182646.0,0.64959335,408.6,411.8,,111700.0,29282.0,566.0,15.695238,,,182.2,411.4,False,0.028199999,108400.0,415.6,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,,EQUITY,AKER.OL,,,finmb_12074458,22b00f81-384b-31fd-8ac8-f4b36178b436,no_market,,1.9040000000000001,,-0.08871,35.084,-0.047794163,,26.25,,74272800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,,1.6386139,0.70268,1640908800.0,1593475200.0,,,67696448.0,89675489280.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,,
