ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,state
AASB-ME,7630,Financial Services,29,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,47 74 08 63 01,Banks—Regional,117,117,118.27536,0.06837607,0.67620003,,117,,8,,117,113.411766,8,117,8,,,,8,1583798400,0.40223,,,117,2,NOK,2.8305995,57,,,,118627472,,,23,1.0807798,117,117,,,57,153,,,,105,115,False,0.0684,,117,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,,EQUITY,AASB-ME.OL,,,finmb_32425209,ac63565c-a88d-3125-bfaa-b5821f2bed2a,no_market,,6.446,,0.38182,,,,,,1013910,,,501.01,,,,1577750400,0,41909000,41.334,,,0.23352827,0,1640908800,1593475200,,,553343,707542848,,,,,,0.343,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,
FIVEPG,1123,Communication Services,16,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,,Electronic Gaming & Multimedia,1.78,1.84,1.357909,,0,,1.84,,5972083,,1.78,1.7819117,,1.84,5972083,,,,,,2.714866,,,1.785,4,NOK,,730995,,,,192435568,,,4055348,,1.785,1.805,,0,730995,3.8,,,,0.25,1.8,False,,0,1.84,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,,EQUITY,FIVEPG.OL,,,finmb_301559974,53e5be53-94a5-3c82-85e0-f8245ad7859f,no_market,,,,0,,1.2879176,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,,10.402299,0.50402,1640908800,1577750400,,,46798691,92963296,,,,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,
ADE,0159,Communication Services,3564,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1,Grensen 5,,Internet Content & Information,162,162.4,108.1779,,0,,164.8,,596497,,162,141.43677,,162.4,596497,,,,,,,,,161,2,NOK,,71271,,,,110330953728,,,475165,,161,161.3,,,71271,168.2,,,,66.7,161,False,,,164.8,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,ADE.OL,,,finmb_599544498,a314ae4b-c38e-30b8-8218-a690324c2074,no_market,,,,-0.02301,,0.5225564,,,,684860032,,,,,,,1577750400,0.20231001,,,,,,0.66005,1640908800,1593475200,,,227972750,105782501376,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,
ADSC-ME,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1,OSM House,,Marine Shipping,17.6,17.8,21.427898,,0.4088,,17.8,,42347,,17.6,18.35147,,17.8,42347,,,,4.21,1591228800,,,,17.55,2,NOK,,21584,,,,416347328,,,69285,,17.55,17.8,,,21584,33.4,,,,16.1,17.6,False,0.2345,,17.8,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,,EQUITY,ADSC-ME.OL,,,finmb_574633826,12a324e9-4445-318b-a27e-b9c991319e35,no_market,,,,0,,-0.120000005,,,,23390300,,,,,,,,0.09734,,,,,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,22 Amathountos Agios Tychonas,
2020,HM11,Industrials,4,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,,Marine Shipping,59.8,59.6,53.891304,0.0027591975,0.8163,,59.8,,20974,,59.8,56.75294,0.165,59.6,20974,,,,1.06,1597622400,1.121996,,,59.6,2,NOK,287.5,701,,,,1325819776,,,28986,47.86353,59.6,59.8,,,701,93.8,,,,39,59.8,False,0.0177,,59.8,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,,EQUITY,2020.OL,,,finmb_544117951,c7b9db4a-4bdb-3163-a947-4867af712eaa,no_market,,56.47,,0.16968,,-0.22337663,,,,22170900,,,6.22,,,,1577750400,0.19871001,4700000,0.208,,,9.614148,0.57717997,1640908800,1593475200,,,6990487,1564220160,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,2nd Floor 9 Par-la-Ville Road,
AKBM-ME,1327,Healthcare,,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerbiomarine.com,1,OksenOeyveien 10,,Drug Manufacturers—Specialty & Generic,91.16,91.12,95.64667,,,,92,,92368,,91.16,95.25235,,91.12,92368,,,,,,,,,90.25,2,NOK,,4753,,,,,,,147810,,90.25,91.4,,,4753,114,,,,87,91.11,False,,,92,OSL,AKER BIOMARINE AS,Aker BioMarine AS,Europe/Oslo,CEST,False,7200000,,EQUITY,AKBM-ME.OL,,,finmb_884321,2be5cc19-d0dc-300a-b136-89014cc2fdb2,no_market,,43.684,,-0.00658,205.409,Infinity,,,,,,,2.051,,,,1546214400,,-1022000,-0.015,,,44.42223,,1609372800,1593475200,,,14751544,6785678848,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,PO Box 496,
AEGA,274,Utilities,2,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,,Utilities—Renewable,1.22,1.19,1.2371739,0.0032786885,,,1.24,,94565,,1.22,1.2673529,0.004,1.19,94565,,,,0.04,1591142400,-0.700348,,,1.15,4,NOK,,9030,,,,59582992,,,59301,,1.15,1.24,,394100,9030,1.85,,,,1.05,1.21,False,0.0313,60000,1.24,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,AEGA.OL,,,finmb_140002839,76cff989-a482-3ec4-9cf9-8dd6b44e2ced,no_market,,,,0,,,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,,7.5151515,0.46798,1640908800,1585612800,,,24350240,57661000,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,
AKERBP,1366,Energy,1703,"Aker BP ASA engages in the exploration, development, and production of oil and gas on the Norwegian Continental Shelf. The company has working interests in 42 fields/projects. As of December 31, 2019, its total net proven reserves were 666 million barrels of oil equivalents; and estimated total net proven plus probable reserves were 906 million barrels of oil equivalents. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",Fornebu,47 51 35 30 00,Norway,[],http://www.akerbp.com,1,Building B,,Oil & Gas E&P,174.05,174.1,174.9587,0.010502729,,,174.25,,568192,,174.05,180.91176,1.828,174.1,568192,,,,7.41,1596153600,1.664343,,,171.5,2,NOK,,152107,,,,61979475968,,,1234753,20.229965,171.5,172.4,,,152107,297.9,,,,89.42,172.3,False,0.0419,,174.25,OSL,AKER BP ASA,Aker BP ASA,Europe/Oslo,CEST,True,7200000,,EQUITY,AKERBP.OL,,,finmb_9048461,b2df1cee-3893-359b-b226-97dcf0c14eee,no_market,,21.691,,-0.031630002,30.329,-0.23122787,,,,359614016,,,5.317,,,,1577750400,0.16023001,-96917000,-0.269,,,32.414898,0.70299006,1640908800,1593475200,,,106384610,66454282240,,1261526400,1:1,,,1.715,,,,,,,,https://logo.clearbit.com/akerbp.com,Fornebuporten OksenOeyveien 10 Lysaker,
ASC,0250,Financial Services,275,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1,Munkedamsveien 45 East,,Capital Markets,4.5,4.5,3.863442,0.04888889,0.8062,,4.51,,180934,,4.5,4.4416175,0.22,4.5,180934,,,,0.22,1588118400,0.958768,,,4.43,4,NOK,9.803922,392489,,,,1984405504,,,397958,1.4040439,4.43,4.5,,185000,392489,4.625,10.4651165,,10.54,2.69,4.485,False,0.048899997,340000,4.51,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,ASC.OL,,,finmb_2972520,2847ca13-8931-320e-ba3f-a32d9f9ffefe,no_market,,1.088,,0.17288,,0.40625,,0.43,,440979008,,,1.493,,,,1577750400,0.19143,244343008,0.459,,,3.0140655,0.18238,1640908800,1593475200,,,342568196,1538378368,,,,,,0.229,,,,,,,,https://logo.clearbit.com/abgsc.com,7th floor,
AQUA,0161,Energy,431,"AqualisBraemar ASA, an investment holding company, provides marine and engineering consultancy services to the offshore oil and gas industry and offshore renewables market worldwide. It offers marine and offshore engineering services, such as deep and shallow water installation engineering; marine operations and surveying, including rig moving and tow master, as well as engineering support services; owns and supervises vessel construction; engineering and project management services; concept, FEED, and basic design services for new-build and vessel upgrades; and rig inspection services. The company also provides marine warranty and consultancy, risk consulting, transportation and installation, dynamic positioning and critical systems, and technical due diligence services. The company was formerly known as Aqualis ASA and changed its name to AqualisBraemar ASA in June 2019. AqualisBraemar ASA was incorporated in 2014 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://aqualisbraemar.com,1,Olav Vs gate 6,,Oil & Gas Equipment & Services,5.5,5.5,3.797319,0.0009090909,0,,5.6,,21047,,5.5,4.7455883,0.005,5.5,21047,,,,0.2,1591833600,1.076655,,,5.35,2,NOK,26.616915,1108241,,,,376192736,,,44068,5.665809,5.35,5.5,,385400,1108241,5.85,38.214283,,,2.15,5.4,False,0.0374,402100,5.6,OSL,AQUALISBRAEMAR ASA,AqualisBraemar ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,AQUA.OL,,,finmb_266259656,dded3b9d-bf81-3318-91af-bb723732d611,no_market,,5.75,,0.18611999,227.66,,,0.14,,70316400,,,0.686,,,,1577750400,0.07898,12358000,0.201,,,7.798834,0.58599,1640908800,1585612800,,,20787638,381785504,,,,,,,,,,,,,,https://logo.clearbit.com/aqualisbraemar.com,,
