ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,phone,fax,trailingPE,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
FIVEPG,1123,Communication Services,16,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,Electronic Gaming & Multimedia,1.85,1.855,1.3956016,,0,,1.855,,4485429,,1.85,1.8154411,,1.855,,4485429,,,,,,2.714866,,,1.55,4,NOK,3089736,,,,177551056,,,3413560,,1.55,1.71,,0,3089736,3.8,,,,0.25,1.69,False,,0,1.855,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.5706215,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,0.2070489,9.597701,0.50402,1640908800,1577750400,,,46798691,97799536,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,,,
ADE,0159,Communication Services,3564,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,Norway,[],http://www.adevinta.com,1,Grensen 5,Internet Content & Information,163,164.8,109.070435,,0,,164.8,,740697,,163,147.11177,,164.8,,740697,,,,,,,,,160.5,2,NOK,135864,,,,110193975296,,,495311,,160.5,160.9,,,135864,169.5,,,,66.7,161.3,False,,,164.8,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.5037383,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.2070489,,0.66005,1640908800,1593475200,,,227972750,105389498368,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,47 23 10 66 00,,,,,,,,
AASB-ME,7630,Financial Services,29,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,Banks—Regional,121,121,117.48905,0.0661157,0.67620003,,121,,220,,121,113.94118,8,121,,220,,,,8,1583798400,0.40223,,,121,2,NOK,5,,,,122683112,,,40,1.1177295,121,126,,,5,153,,,,105,119,False,0.066700004,,121,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.474,,0.38182,,0.025641084,,,,1013910,,,501.01,,,,1577750400,0,41909000,41.334,,0.2070489,0.24151213,0,1640908800,1593475200,,,553343,710584576,,,,,,0.343,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 00,47 74 08 63 01,2.9273722,,,,,,
AEGA,274,Utilities,2,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.aega.no,1,Thunes vei 2,Utilities—Renewable,1.18,1.18,1.2333577,0.003389831,,,1.18,,92961,,1.18,1.267647,0.004,1.18,,92961,,,,0.04,1591142400,,,,1.16,4,NOK,2460,,,,55738928,,,60309,,1.16,1.24,,394100,2460,1.85,,,,1.05,1.15,False,0.033299997,60000,1.18,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.054263532,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.2070489,7.0303025,0.46798,1640908800,1593475200,,,24514996,57083620,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,,,
AKER,1366,Energy,21865,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,Norway,[],http://www.akerasa.com,1,OksenOeyveien 10,Oil & Gas Equipment & Services,406.2,405.4,335.26788,0.028926637,0,,406.2,,98606,,406.2,400.02353,11.75,405.4,,98606,,,,11.75,1595289600,1.71777,,,401.2,2,NOK,25357,,,,29961646080,,,178238,0.6360339,401.2,403,,111700,25357,566,15.367619,,,182.2,402.2,False,0.029000001,108400,406.2,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKER.OL,finmb_12074458,no_market,,1.89,,-0.08871,34.834,-0.11242348,,26.25,,74272800,,,251.432,,,,1577750400,0.19775999,-4124000000,-56.266,,0.2070489,1.6044098,0.70268,1640908800,1593475200,,,67696448,89036824576,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,47 24 13 00 00,47 24 13 01 01,,,,,,,
ASC,0250,Financial Services,275,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.abgsc.com,1,Munkedamsveien 45 East,Capital Markets,4.41,4.44,3.868978,0.04988662,0.8062,,4.445,,237714,,4.41,4.447794,0.22,4.44,,237714,,,,0.22,1588118400,0.958768,,,4.41,4,NOK,965921,,,,1946370944,,,306300,1.377133,4.41,4.41,,185000,965921,4.625,10.255814,,10.56,2.69,4.4,False,0.0499,340000,4.445,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ASC.OL,finmb_2972520,no_market,,1.06,,0.17288,,0.35159814,,0.43,,441353984,,,1.493,,,,1577750400,0.19143,244343008,0.459,,0.2070489,2.9537842,0.18238,1640908800,1593475200,,,342651897,1498730752,,,,,,0.229,,,,,,,,https://logo.clearbit.com/abgsc.com,47 22 01 60 00,,9.607843,7th floor,,,,,
AOW-ME,1366,Energy,30,"Aker Offshore Wind Holding AS engages in the development of deep-water wind power production. It has a portfolio of development projects and prospects in Europe, North America, and Asia. The company is based in Lysaker, Norway.",Lysaker,Norway,[],http://www.akeroffshorewind.com,1,OksenÃ¸yveien 8,Oil & Gas Equipment & Services,3.3,3.4,3.7066667,,,,3.4295,,24589297,,3.3,3.7066667,,3.4,,24589297,,,,,,,,,2.8605,4,NOK,4044991,,,,1846948224,,,24589297,,2.8605,3.02,,,4044991,4.5,,,,1.99,3.0175,False,,,3.4295,OSL,AKER OFFSHORE WIND,Aker Offshore Wind Holding AS,Europe/Oslo,CEST,False,7200000,EQUITY,AOW-ME.OL,finmb_677430128,no_market,,,,0,,0.04105568,,,,612078976,,,0.494,,,,,,,,,0.2070489,6.1082997,,,1596153600,,,,2172879872,,,,,,,,,,,,,,https://logo.clearbit.com/akeroffshorewind.com,47 67 51 30 00,,,,,,,,
2020,HM11,Industrials,4,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,Marine Shipping,59.2,58.4,53.465694,0.0027871623,0.8163,,60,,18069,,59.2,57.17059,0.165,58.4,,18069,,,,1.06,1597622400,1.121996,,,58.4,2,NOK,2933,,,,1299214720,,,27658,46.903057,58.4,59,,,2933,93.8,,,,39,58.8,False,0.0179,,60,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,55.99,,0.16968,,-0.2372449,,,,22170900,,,6.22,,,,1577750400,0.19871001,4700000,0.208,,0.2070489,9.421222,0.57717997,1640908800,1593475200,,,6990487,1550917632,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,441 542 9329,,281.73074,2nd Floor 9 Par-la-Ville Road,,,,,
AKBM-ME,1327,Healthcare,,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,Norway,[],http://www.akerbiomarine.com,1,OksenOeyveien 10,Drug Manufacturers—Specialty & Generic,96.2,96.2,95.32205,,,,97.2,,92574,,96.2,93.92294,,96.2,,92574,,,,,,,,,96.2,2,NOK,133075,,,,,,,143529,,96.2,96.95,,,133075,114,,,,87,96.25,False,,,97.2,OSL,AKER BIOMARINE AS,Aker BioMarine AS,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,43.864,,-0.00658,206.253,-0.121107936,,,,,,,2.051,,,,1546214400,,-1022000,-0.015,,0.2070489,47.050217,,1609372800,1593475200,,,14751544,6813571584,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,47 24 13 00 00,,,PO Box 496,,,,,
AKERBP,1366,Energy,1703,"Aker BP ASA engages in the exploration, development, and production of oil and gas on the Norwegian Continental Shelf. The company has working interests in 42 fields/projects. As of December 31, 2019, its total net proven reserves were 666 million barrels of oil equivalents; and estimated total net proven plus probable reserves were 906 million barrels of oil equivalents. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",Fornebu,Norway,[],http://www.akerbp.com,1,Building B,Oil & Gas E&P,173.8,174,172.37263,0.010517837,,,175,,578213,,173.8,180.18971,1.828,174,,578213,,,,7.41,1596153600,1.664343,,,172.2,2,NOK,109613,,,,62285148160,,,1026204,20.329737,172.2,173.15,,0,109613,297.9,101.88235,,,89.42,173.05,False,0.043,0,175,OSL,AKER BP ASA,Aker BP ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKERBP.OL,finmb_9048461,no_market,,21.385,,-0.031630002,29.903,-0.26321447,,1.7,,359614016,,,5.317,,,,1577750400,0.16023001,-96917000,-0.269,,0.2070489,32.57476,0.70299006,1640908800,1593475200,,,106384610,65519284224,,1261526400,1:1,,,1.715,,,,,,,,https://logo.clearbit.com/akerbp.com,47 51 35 30 00,,,Fornebuporten OksenOeyveien 10 Lysaker,,,,,
AQUA,0161,Energy,439,"AqualisBraemar ASA, an investment holding company, provides marine and engineering consultancy services to the offshore oil and gas industry and offshore renewables market worldwide. It offers marine and offshore engineering services, such as deep and shallow water installation engineering; marine operations and surveying, including rig moving and tow master, as well as engineering support services; owns and supervises vessel construction; engineering and project management services; concept, FEED, and basic design services for new-build and vessel upgrades; and rig inspection services. The company also provides marine warranty and consultancy, risk consulting, transportation and installation, dynamic positioning and critical systems, and technical due diligence services. The company was formerly known as Aqualis ASA and changed its name to AqualisBraemar ASA in June 2019. AqualisBraemar ASA was incorporated in 2014 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://aqualisbraemar.com,1,Olav Vs gate 6,Oil & Gas Equipment & Services,5.6,5.7,3.820146,0.004107143,0,,5.7,,83728,,5.6,4.8764706,0.023,5.7,,83728,,,,0.2,1591833600,1.076655,,,5.55,2,NOK,18421,,,,393771968,,,45341,5.1976237,5.55,5.6,,385400,18421,5.85,39.642857,,,2.15,5.55,False,0.036,402100,5.7,OSL,AQUALISBRAEMAR ASA,AqualisBraemar ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AQUA.OL,finmb_266259656,no_market,,5.076,,0.03333,132.935,0.56338036,,0.14,,70316400,,,0.696,,,,1577750400,0.07898,2525000,0.036,,0.2070489,7.9741383,0.58599,1640908800,1593475200,,,20623810,384581024,,1468368000,25:1,,,-0.894,,,,,,,,https://logo.clearbit.com/aqualisbraemar.com,,,154.16667,,,,,,
AKA,1366,Energy,2112,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,Norway,[],http://akastor.com,1,Building B,Oil & Gas Equipment & Services,6.75,6.75,5.328759,,0,,6.78,,562348,,6.75,6.0717645,,6.75,,562348,,,,,1397174400,1.36353,,,6.29,2,NOK,218974,,,,1754600448,,,493661,0.30983585,6.29,6.43,,52200,218974,12.4,16.15,,,3.52,6.36,False,,227000,6.78,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKA.OL,finmb_874402,no_market,,0.728,,-0.0498,13.248,-0.37168145,,0.4,,271609984,,,14.855,,,,1577750400,0.25563,-152000000,-0.981,,0.2070489,0.43487042,0.51141,1640908800,1593475200,,,159931143,4120142848,,1175212800,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,47 21 52 58 00,,,OksenÃ¸yveien 10 Lysaker,,,,,
ACC-ME,1366,Industrials,,"Aker Carbon Capture AS provides carbon capture technologies. Its technologies mitigate the environmental cost of industry. The company's carbon capture process uses a mixture of water and organic amine solvents to absorb the CO2 that can be applied on emissions from various sources, such as gas, coal, cement, refineries, and waste-to-energy through to hydrogen and other process industries. Its portfolio of products include Just Catch, Big Catch, and Offshore Just Catch, as well as mobile test unit. The company is based in Lysaker, Norway.",Lysaker,Norway,[],http://www.akercarboncapture.com,1,OksenÃ¸yveien 8,Pollution & Treatment Controls,5.1,5.16,5.2436666,,,,5.3,,14667637,,5.1,5.2436666,,5.16,,14667637,,,,,,,,,4.6,4,NOK,2106208,,,,2671520256,,,14667637,,4.6,4.703,,,2106208,5.8,,,,3.85,4.7,False,,,5.3,OSL,AKER CARBON CAPTUR,Aker Carbon Capture AS,Europe/Oslo,CEST,False,7200000,EQUITY,ACC-ME.OL,finmb_677426400,no_market,,,,0,,0.00019800663,,,,566060032,,,0.031,,,,,,,,,0.2070489,152.24194,,,1596153600,,,,2859171072,,,,,,,,,,,,,,https://logo.clearbit.com/akercarboncapture.com,47 67 51 30 00,47 67 82 69 50,,,,,,,
ADSC-ME,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,Cyprus,[],http://www.adscrude.com,1,OSM House,Marine Shipping,15.5,15.7,21.25438,,0.4088,,15.7,,128585,,15.5,18.25,,15.7,,128585,,,,5.44,1598918400,,,,15.45,2,NOK,61272,,,,363719168,,,68242,,15.45,15.65,,,61272,33.4,,,,15.45,15.55,False,0.2365,,15.7,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.13567835,,,,23390300,,,,,,,,0.09734,,,,0.2070489,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,357 2 5335501,,,22 Amathountos Agios Tychonas,,,,,
