ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,fullTimeEmployees,longBusinessSummary,city,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,phone,address2,trailingPE,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
2020,2020 Bulkers,Industrials,58.0,57.6,58.0,38,,1285.91,-0.0365,-0.0301,0.0191,-0.3315,-0.2429,HM11,Industrials,4.0,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,Marine Shipping,60.2,59.8,53.407245999999994,0.0027408640000000004,0.8163,,59.8,,15585.0,,60.2,57.377143999999994,0.165,59.8,,15585.0,,,,1.06,1597622400.0,1.121996,,,57.8,2.0,NOK,4824.0,,,,1285912192.0,,,27096.0,46.42282,57.8,58.0,,,4824.0,93.8,,,,39.0,57.6,False,0.0176,,59.8,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,56.79,,0.16968,,-0.23506987,,,,22170900.0,,,6.22,,,,1577750400.0,0.19871001,4700000.0,0.20800000000000002,,0.20044720000000002,9.3247595,0.57717997,1640908800.0,1593475200.0,,,6990487.0,1573088512.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,441 542 9329,2nd Floor 9 Par-la-Ville Road,278.84616,,,,,,
FIVEPG,5th Planet Games,Communication services,1.66,1.65,1.66,528,LP,176.49,-0.0405,-0.0674,-0.2095,4.683,1.6885,1123,Communication Services,16.0,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,Electronic Gaming & Multimedia,1.73,1.75,1.4089234,,0.0,,1.755,,4517396.0,,1.73,1.825,,1.75,,4517396.0,,,,,,2.714866,,,1.635,4.0,NOK,2321454.0,,,,176487872.0,,,3449983.0,,1.635,1.66,,0.0,2321454.0,3.8,,,,0.25,1.65,False,,0.0,1.755,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.6615386000000003,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.20044720000000002,9.540230000000001,0.50402,1640908800.0,1577750400.0,,,46798691.0,92963296.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,121.0,119.0,126.0,0,LP,122.68,,,0.0614,0.0068000000000000005,0.1101,7630,Financial Services,29.0,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,Banks—Regional,121.0,121.0,117.340576,0.0661157,0.67620003,,121.0,,158.0,,121.0,114.4,8.0,121.0,,158.0,,,,8.0,1583798400.0,0.40223000000000003,,,121.0,2.0,NOK,5.0,,,,122683112.0,,,39.0,1.1177295,121.0,126.0,,,5.0,153.0,,,,105.0,119.0,False,0.06670000400000001,,121.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.483,,0.38182,,0.034188032,,,,1013910.0,,,501.01,,,,1577750400.0,0.0,41909000.0,41.333999999999996,,0.20044720000000002,0.24151213,0.0,1640908800.0,1593475200.0,,,553343.0,711598464.0,,,,,,0.34299999999999997,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 00,,2.9273722,47 74 08 63 01,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.58,4.57,4.58,99,,2021.4,0.0166,0.0178,0.0944,0.2172,0.5595,0250,Financial Services,275.0,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,Capital Markets,4.505,4.505,3.8766305,0.048834626,0.8062,,4.61,,251406.0,,4.505,4.4482856,0.22,4.505,,251406.0,,,,0.22,1588118400.0,0.9587680000000001,,,4.505,4.0,NOK,452626.0,,,,2021401216.0,,,305665.0,1.4302198,4.505,4.58,,185000.0,452626.0,4.625,10.651162,,10.56,2.69,4.565,False,0.048800003,340000.0,4.61,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.09,,0.17288,,0.36722302,,0.43,,441353984.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.20044720000000002,3.0676490000000003,0.18238,1640908800.0,1593475200.0,,,342202557.0,1540580992.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,47 22 01 60 00,7th floor,9.978213,,,,,,
ADE,Adevinta,Communication services,160.2,159.9,160.1,1610,,109714.49,0.0019,-0.0111,0.0913,0.5404,0.4102,0159,Communication Services,3564.0,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,Norway,[],http://www.adevinta.com,1.0,Grensen 5,Internet Content & Information,159.9,163.5,109.79383999999999,,0.0,,163.5,,2449796.0,,159.9,149.27715,,163.5,,2449796.0,,,,,,,,,159.1,2.0,NOK,187128.0,,,,109714571264.0,,,686918.0,,159.1,160.1,,,187128.0,169.5,,,,66.7,159.9,False,,,163.5,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.49160445,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.20044720000000002,,0.66005,1640908800.0,1593475200.0,,,227972750.0,106765000704.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,47 23 10 66 00,,,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,14.3,14.3,14.4,153,,334.48,-0.07440000000000001,-0.1052,-0.1441,-0.3528,-0.0594,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,Cyprus,[],http://www.adscrude.com,1.0,OSM House,Marine Shipping,15.45,15.35,21.155073,,0.4088,,15.35,,148821.0,,15.45,18.124287,,15.35,,148821.0,,,,5.44,1598918400.0,,,,14.3,2.0,NOK,167831.0,,,,334481280.0,,,72278.0,,14.3,14.4,,,167831.0,33.4,,,,14.3,14.3,False,0.3181,,15.35,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.22361809,,,,23390300.0,,,,,,,,0.09734,,,,0.20044720000000002,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,357 2 5335501,22 Amathountos Agios Tychonas,,,,,,,
AEGA,Aega,Utilities,1.21,1.2,1.21,8,,58.14,-0.0163,-0.008199999999999999,-0.0692,0.0431,-0.1485,274,Utilities,2.0,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.aega.no,1.0,Thunes vei 2,Utilities—Renewable,1.23,1.23,1.2322464,0.0032520327,,,1.23,,76144.0,,1.23,1.2662857,0.004,1.23,,76144.0,,,,0.04,1591142400.0,,,,1.2,4.0,NOK,28431.0,,,,58141468.0,,,59503.0,,1.2,1.21,,394100.0,28431.0,1.85,,,,1.05,1.2,False,0.0339,60000.0,1.23,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.023809492999999998,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.20044720000000002,7.333333500000001,0.46798,1640908800.0,1593475200.0,,,24514996.0,59502416.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,,,
AFG,AF Gruppen,Industrials,168.4,168.2,168.8,58,,17683.52,0.0169,0.0243,-0.0377,-0.0076,-0.026,0663,Industrials,5524.0,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,Engineering & Construction,165.6,166.2,166.93044,0.036231883,1.2996001,,169.0,,19372.0,,165.6,175.34857,6.0,166.2,,19372.0,,,,12.0,1589760000.0,0.43902399999999997,,,166.2,2.0,NOK,3428.0,,,,17683515392.0,,,16072.0,0.7170059,166.2,168.8,,178000.0,3428.0,185.0,20.071512,,5.45,124.5,168.2,False,0.0725,52100.0,169.0,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.76,,0.030369998999999998,15.312000000000001,-0.07226884,,8.39,,105009000.0,,,20.408,,,,1577750400.0,0.14407,749000000.0,7.291,,0.20044720000000002,8.251665,0.60915,1640908800.0,1593475200.0,,,41049068.0,18742491136.0,,1263772800.0,5:1,,,-0.36,,,,,,,,https://logo.clearbit.com/afgruppen.com,47 22 89 11 00,,23.096968,,,,,,
AKA,Akastor,Energy,6.6,6.58,6.6,54,,1792.62,0.003,-0.0782,0.1074,-0.336,-0.419,1366,Energy,2112.0,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,Norway,[],http://akastor.com,1.0,Building B,Oil & Gas Equipment & Services,6.58,6.67,5.319348000000001,,0.0,,6.9,,533414.0,,6.58,6.130571400000001,,6.67,,533414.0,,,,,1397174400.0,1.36353,,,6.44,2.0,NOK,44302.0,,,,1792625920.0,,,492658.0,0.31655058,6.44,6.58,,52200.0,44302.0,12.4,16.5,,,3.52,6.54,False,,227000.0,6.9,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.7190000000000001,,-0.0498,13.1,-0.42782609999999993,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.20044720000000002,0.44429487,0.51141,1640908800.0,1593475200.0,,,159931143.0,4073999872.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,47 21 52 58 00,OksenÃ¸yveien 10 Lysaker,,,,,,,
AKER,Aker,Financials,403.6,403.4,403.8,735,,29976.49,0.0151,-0.0261,0.0549,-0.2351,-0.1098,1366,Energy,21865.0,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,Norway,[],http://www.akerasa.com,1.0,OksenOeyveien 10,Oil & Gas Equipment & Services,397.6,403.0,334.9855,0.029552312999999997,0.0,,405.8,,96435.0,,397.6,400.8743,11.75,403.0,,96435.0,,,,11.75,1595289600.0,1.71777,,,399.4,2.0,NOK,50374.0,,,,29976502272.0,,,175554.0,0.63634926,399.4,403.6,,111700.0,50374.0,566.0,15.375238000000001,,,182.2,403.4,False,0.0296,108400.0,405.8,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.8769999999999998,,-0.08871,34.596,-0.14013839,,26.25,,74272800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.20044720000000002,1.6052053999999998,0.70268,1640908800.0,1593475200.0,,,67696448.0,88427872256.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,47 24 13 00 00,,,47 24 13 01 01,,,,,
