ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
2020,HM11,Industrials,4,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,Marine Shipping,2nd Floor 9 Par-la-Ville Road,55.6,55.6,53.433094,0.002967626,0.8163,,55.8,,10012,,55.6,57.541176,0.165,55.6,,10012,,,,1.06,1597622400,1.095959,,,53.8,2,NOK,264.42307,4761,,,,1219399552,,,25312,44.021645,53.8,55,,,4761,93.8,,,,39,54.8,False,0.0176,,55.8,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,53.108,,0.16968,,-0.278481,,,,22170900,,,6.22,,,,1577750400,0.19871001,4700000,0.208,,0.15991831,8.842444,0.57717997,1640908800,1593475200,,,6990487,1471102336,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,,,,,,
FIVEPG,1123,Communication Services,16,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,Electronic Gaming & Multimedia,,1.65,1.595,1.4106938,,0,,1.63,,3642446,,1.65,1.845,,1.595,,3642446,,,,,,2.759638,,,1.51,4,NOK,,4713315,,,,164261312,,,3439981,,1.51,1.545,,0,4713315,3.8,,,,0.25,1.535,False,,0,1.63,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.3114524,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,0.15991831,8.879311,0.50402,1640908800,1577750400,,,46798691,88933096,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,
AASB-ME,7630,Financial Services,29,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,Banks—Regional,,121,121,117.366905,0.0661157,0.67620003,,121,,149,,121,114.67647,8,121,,149,,,,8,1583798400,0.424755,,,121,2,NOK,2.9273722,5,,,,122683112,,,38,1.1177295,121,126,,,5,153,,,,105,120,False,0.0661,,121,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.483,,0.38182,,0.016806722,,,,1013910,,,501.01,,,,1577750400,0,41909000,41.334,,0.15991831,0.24151213,0,1640908800,1593475200,,,553343,711598464,,,,,,0.343,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 01,,,,,
ASC,0250,Financial Services,275,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1,Munkedamsveien 45 East,Capital Markets,7th floor,4.595,4.58,3.8820503,0.04787813,0.8062,,4.58,,338532,,4.595,4.4508824,0.22,4.58,,338532,,,,0.22,1588118400,0.935542,,,4.54,4,NOK,9.912854,681413,,,,2008297344,,,304672,1.4209484,4.54,4.555,,185000,681413,4.63,10.581395,,10.56,2.69,4.545,False,0.0475,340000,4.58,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ASC.OL,finmb_2972520,no_market,,1.118,,0.17288,,0.42461538,,0.43,,441384000,,,1.493,,,,1577750400,0.19143,244343008,0.459,,0.15991831,3.0475552,0.18238,1640908800,1593475200,,,342700355,1580228608,,,,,,0.229,,,,,,,,https://logo.clearbit.com/abgsc.com,,,,,,
AKBM-ME,1327,Healthcare,,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerbiomarine.com,1,OksenOeyveien 10,Drug Manufacturers—Specialty & Generic,PO Box 496,92.7,90,95.347855,,,,92.5,,88602,,92.7,93.01265,,90,,88602,,,,,,,,,89.2,2,NOK,,94099,,,,,,,137938,,89.2,92.15,,,94099,114,,,,87,92.01,False,,,92.5,OSL,AKER BIOMARINE AS,Aker BioMarine AS,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,45.224,,-0.00658,212.649,-0.09216803,,,,,,,2.051,,,,1546214400,,-1022000,-0.015,,0.15991831,44.861042,,1609372800,1593475200,,,14751544,7024855552,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,,,,,,
AEGA,274,Utilities,2,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,Utilities—Renewable,,1.24,1.2,1.2320863,0.0032258066,,,1.24,,75777,,1.24,1.2688235,0.004,1.2,,75777,,,,0.04,1591142400,,,,1.2,4,NOK,,23159,,,,59582992,,,59421,,1.2,1.23,,394100,23159,1.85,,,,1.05,1.21,False,0.0325,60000,1.24,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.05468744,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.15991831,7.5151515,0.46798,1640908800,1593475200,,,24514996,59986176,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,
ADSC-ME,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1,OSM House,Marine Shipping,22 Amathountos Agios Tychonas,13.5,13.5,21.106834,,0.4088,,14.8,,173328,,13.5,17.983824,,13.5,,173328,,,,5.44,1598918400,,,,13.1,2,NOK,,45582,,,,316938560,,,66283,,13.1,13.7,,,45582,33.4,,,,13.1,13.55,False,0.35209998,,14.8,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.27750003,,,,23390300,,,,,,,,0.09734,,,,0.15991831,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,,,,,
AKA,1366,Energy,2112,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,47 21 52 58 00,Norway,[],http://akastor.com,1,Building B,Oil & Gas Equipment & Services,OksenÃ¸yveien 10 Lysaker,6.41,5.9,5.3282013,,0,,6.36,,386882,,6.41,6.203235,,5.9,,386882,,,,,1397174400,1.53253,,,5.9,2,NOK,,169863,,,,1724723328,,,482004,0.30456,5.9,6.36,,52200,169863,12.4,15.875,,,3.52,6.3,False,,227000,6.36,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKA.OL,finmb_874402,no_market,,0.711,,-0.0498,12.951,-0.43339103,,0.4,,271609984,,,14.855,,,,1577750400,0.25563,-152000000,-0.981,,0.15991831,0.4274655,0.51141,1640908800,1593475200,,,159931143,4027857152,,1175212800,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,,,,,,
AFG,0663,Industrials,5524,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1,Innspurten 15,Engineering & Construction,,168.6,168,166.94244,0.035587188,1.2996001,,168,,17861,,168.6,174.78824,6,168,,17861,,,,12,1589760000,0.439156,,,165,2,NOK,22.932383,3540,,,,17557504000,,,15533,0.71189654,165,167.6,,178000,3540,185,19.928486,,5.45,124.5,167.2,False,0.0712,52100,168,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AFG.OL,finmb_6174594,no_market,,0.773,,0.030369999,15.57,-0.08369559,,8.39,,105009000,,,20.408,,,,1577750400,0.14407,749000000,7.291,,0.15991831,8.192865,0.60915,1640908800,1593475200,,,41049068,19057516544,,1263772800,5:1,,,-0.36,,,,,,,,https://logo.clearbit.com/afgruppen.com,,,,,,
AQUA,0161,Energy,439,"AqualisBraemar ASA, an investment holding company, provides marine and engineering consultancy services to the offshore oil and gas industry and offshore renewables market worldwide. It offers marine and offshore engineering services, such as deep and shallow water installation engineering; marine operations and surveying, including rig moving and tow master, as well as engineering support services; owns and supervises vessel construction; engineering and project management services; concept, FEED, and basic design services for new-build and vessel upgrades; and rig inspection services. The company also provides marine warranty and consultancy, risk consulting, transportation and installation, dynamic positioning and critical systems, and technical due diligence services. The company was formerly known as Aqualis ASA and changed its name to AqualisBraemar ASA in June 2019. AqualisBraemar ASA was incorporated in 2014 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://aqualisbraemar.com,1,Olav Vs gate 6,Oil & Gas Equipment & Services,,5.5,5.45,3.853957,0.004181818,,,5.5,,96010,,5.5,4.992647,0.023,5.45,,96010,,,,0.2,1591833600,1.156626,,,5.3,2,NOK,152.77779,31668,,,,386740192,,,45823,5.1048074,5.3,5.55,,385400,31668,5.9,39.285713,,,2.15,5.5,False,0.0364,402100,5.5,OSL,AQUALISBRAEMAR ASA,AqualisBraemar ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AQUA.OL,finmb_266259656,no_market,,4.983,,0.03333,130.504,0.58571434,,0.14,,70316400,,,0.696,,,,1577750400,0.07898,2525000,0.036,,0.15991831,7.902299,0.58599,1640908800,1593475200,,,20623810,377549408,,1468368000,25:1,,,-0.894,,,,,,,,https://logo.clearbit.com/aqualisbraemar.com,,,,,,
