ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,fullTimeEmployees,longBusinessSummary,city,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,phone,fax,trailingPE,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
2020,2020 Bulkers,Industrials,58.0,57.6,58.0,27,,1285.91,0.0211,-0.0203,0.0155,-0.3315,-0.2477,HM11,Industrials,4.0,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,Marine Shipping,56.8,57.0,53.01739,0.0029049297,0.8163,,58.8,,12606.0,,56.8,57.541176,0.165,57.0,,12606.0,,,,1.06,1597622400.0,1.095959,,,57.0,2.0,NOK,3514.0,,,,1285912192.0,,,24377.0,46.42282,57.0,58.0,,,3514.0,93.8,,,,39.0,57.6,False,0.0191,,58.8,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,54.068999999999996,,0.16968,,-0.28101265,,,,22170900.0,,,6.22,,,,1577750400.0,0.19871001,4700000.0,0.20800000000000002,,0.16002727,9.3247595,0.57717997,1640908800.0,1593475200.0,,,6990487.0,1497707520.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,441 542 9329,,278.84616,2nd Floor 9 Par-la-Ville Road,,,,,
FIVEPG,5th Planet Games,Communication services,1.48,1.48,1.5,497,LP,156.82,-0.0264,-0.2027,-0.2277,4.0497000000000005,1.6024,1123,Communication Services,16.0,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,Electronic Gaming & Multimedia,1.515,1.55,1.4351408,,0.0,,1.555,,3839046.0,,1.515,1.8572058999999999,,1.55,,3839046.0,,,,,,2.7596380000000003,,,1.455,4.0,NOK,2769799.0,,,,156819056.0,,,3481345.0,,1.455,1.485,,0.0,2769799.0,3.8,,,,0.25,1.475,False,,0.0,1.555,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.3307693,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.16002727,8.477012,0.50402,1640908800.0,1577750400.0,,,46798691.0,81410056.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,121.0,125.0,129.0,0,LP,122.68,,,,0.0068000000000000005,0.0914,7630,Financial Services,29.0,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,Banks—Regional,121.0,121.0,117.03623,0.0661157,0.67620003,,121.0,,165.0,,121.0,115.20588000000001,8.0,121.0,,165.0,,,,8.0,1583798400.0,0.424755,,,121.0,2.0,NOK,0.0,,,,122683112.0,,,38.0,1.1177295,121.0,129.0,,,0.0,153.0,,,,105.0,125.0,False,0.0661,,121.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.483,,0.38182,,0.034188032,,,,1013910.0,,,501.01,,,,1577750400.0,0.0,41909000.0,41.333999999999996,,0.16002727,0.24151213,0.0,1640908800.0,1593475200.0,,,553343.0,711598464.0,,,,,,0.34299999999999997,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 00,47 74 08 63 01,2.9273722,,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.65,4.65,4.67,113,,2050.09,0.0186,0.0533,0.069,0.2345,0.5914,0250,Financial Services,275.0,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,Capital Markets,4.56,4.5,3.8910146,0.048245613,0.8062,,4.68,,489541.0,,4.56,4.4536767,0.22,4.5,,489541.0,,,,0.22,1588118400.0,0.935542,,,4.47,4.0,NOK,1017268.0,,,,2050228608.0,,,310982.0,1.4506164,4.47,4.68,,185000.0,1017268.0,4.68,10.802325,,10.56,2.69,4.645,False,0.0482,340000.0,4.68,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.107,,0.17288,,0.37349403,,0.43,,441384000.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.16002727,3.1111855999999998,0.18238,1640908800.0,1593475200.0,,,343158504.0,1564810112.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,47 22 01 60 00,,10.119826,7th floor,,,,,
ADE,Adevinta,Communication services,153.0,153.0,153.6,2413,,104783.5,0.0159,-0.0613,-0.0567,0.4712,0.4299,0159,Communication Services,3564.0,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,Norway,[],http://www.adevinta.com,1.0,Grensen 5,Internet Content & Information,150.6,147.6,110.833694,,0.0,,153.9,,2772587.0,,150.6,154.78824,,147.6,,2772587.0,,,,,,,,,147.6,2.0,NOK,594922.0,,,,104783585280.0,,,716796.0,,147.6,153.9,,,594922.0,169.5,,,,66.7,153.6,False,,,153.9,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.4261365,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.16002727,,0.66005,1640908800.0,1593475200.0,,,227972750.0,98643001344.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,47 23 10 66 00,,,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,13.85,13.85,13.95,83,,323.96,0.0259,-0.108,-0.16649999999999998,-0.3732,-0.0973,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,Cyprus,[],http://www.adscrude.com,1.0,OSM House,Marine Shipping,13.5,13.65,20.920652,,0.4088,,14.15,,186738.0,,13.5,17.676470000000002,,13.65,,186738.0,,,,5.44,1598918400.0,,,,13.6,2.0,NOK,79600.0,,,,323955648.0,,,64928.0,,13.6,13.85,,,79600.0,33.4,,,,13.1,13.8,False,0.3765,,14.15,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.321608,,,,23390300.0,,,,,,,,0.09734,,,,0.16002727,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,357 2 5335501,,,22 Amathountos Agios Tychonas,,,,,
AEGA,Aega,Utilities,1.22,1.21,1.28,23,,58.62,0.0167,0.0339,-0.0758,0.0517,-0.014,274,Utilities,2.0,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.aega.no,1.0,Thunes vei 2,Utilities—Renewable,1.2,1.21,1.2286232,0.0033333334,,,1.3,,32373.0,,1.2,1.2691176000000002,0.004,1.21,,32373.0,,,,0.04,1591142400.0,-0.593975,,,1.21,4.0,NOK,67788.0,,,,57203728.0,,,59990.0,,1.21,1.24,,394100.0,67788.0,1.85,,,,1.05,1.21,False,0.0323,60000.0,1.3,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.06249994,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.16002727,7.3939395,0.46798,1640908800.0,1593475200.0,,,24350240.0,57661000.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,,,
AFG,AF Gruppen,Industrials,174.2,172.0,174.2,170,,18292.57,0.0381,0.0456,-0.0068000000000000005,0.0266,0.002,0663,Industrials,5524.0,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,Engineering & Construction,167.8,167.8,166.63696000000002,0.035756852,1.2996001,,174.2,,10457.0,,167.8,174.04118,6.0,167.8,,10457.0,,,,12.0,1589760000.0,0.43915600000000005,,,167.2,2.0,NOK,19674.0,,,,18292568064.0,,,14822.0,0.7417009,167.2,173.8,,178000.0,19674.0,185.0,20.762812,,5.45,124.5,171.8,False,0.0715,52100.0,174.2,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.769,,0.030369998999999998,15.501,-0.06777775,,8.39,,105009000.0,,,20.408,,,,1577750400.0,0.14407,749000000.0,7.291,,0.16002727,8.535867999999999,0.60915,1640908800.0,1593475200.0,,,41049068.0,18973509632.0,,1263772800.0,5:1,,,-0.36,,,,,,,,https://logo.clearbit.com/afgruppen.com,47 22 89 11 00,,23.89247,,,,,,
AKA,Akastor,Energy,6.07,6.0,6.07,206,,1648.67,-0.0146,-0.1007,0.0134,-0.3893,-0.4749,1366,Energy,2112.0,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,Norway,[],http://akastor.com,1.0,Building B,Oil & Gas Equipment & Services,6.16,6.1,5.256232,,0.0,,6.36,,346480.0,,6.16,6.2464705,,6.1,,346480.0,,,,,1397174400.0,1.53253,,,5.78,2.0,NOK,365306.0,,,,1684680064.0,,,462537.0,0.29748896,5.78,6.02,,52200.0,365306.0,12.4,15.175,,,3.52,5.96,False,,227000.0,6.36,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.6990000000000001,,-0.0498,12.732999999999999,-0.4735043,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.16002727,0.40861666,0.51141,1640908800.0,1593475200.0,,,136612714.0,3960000000.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,47 21 52 58 00,,,OksenÃ¸yveien 10 Lysaker,,,,,
AKER,Aker,Financials,400.2,400.0,400.4,1016,,29723.96,0.031400000000000004,-0.0148,-0.0286,-0.2415,-0.13390000000000002,1366,Energy,21865.0,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,Norway,[],http://www.akerasa.com,1.0,OksenOeyveien 10,Oil & Gas Equipment & Services,388.0,388.0,332.76813,0.030283505,0.0,,400.2,,99661.0,,388.0,402.31177,11.75,388.0,,99661.0,,,,11.75,1595289600.0,1.6867459999999999,,,387.8,2.0,NOK,66973.0,,,,29977862144.0,,,154099.0,0.6363781,387.8,399.2,,111700.0,66973.0,566.0,15.245714999999999,,,182.2,398.6,False,0.030299998999999998,108400.0,400.2,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.8619999999999999,,-0.08871,34.317,-0.19999999,,26.25,,74272800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.16002727,1.5916828,0.70268,1640908800.0,1593475200.0,,,67696448.0,87714955264.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,47 24 13 00 00,47 24 13 01 01,,,,,,,
