ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,phone,address2,trailingPE,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
FIVEPG,1123,Communication Services,16,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,Electronic Gaming & Multimedia,1.42,1.45,1.4992045,,0,,1.45,,2194876,,1.42,1.737,,1.45,,2194876,,,,,,2.759638,,,1.305,4,NOK,3505540,,,,142466128,,,3222964,,1.305,1.34,,0,3505540,3.8,,,,0.25,1.325,False,,0,1.45,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.4825172,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,0.10953009,7.70115,0.50402,1640908800,1577750400,,,46798691,86514976,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,,,
ADE,0159,Communication Services,3564,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,Norway,[],http://www.adevinta.com,1,Grensen 5,Internet Content & Information,163.4,161.2,114.05863,,0,,162,,491337,,163.4,157.48857,,161.2,,491337,,,,,,,,,157.8,2,NOK,822723,,,,110810357760,,,749412,,157.8,162,,,822723,169.5,,,,66.7,161.8,False,,,162,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.57115376,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.10953009,,0.66005,1640908800,1593475200,,,227972750,99953000448,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,47 23 10 66 00,,,,,,,,
2020,HM11,Industrials,4,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,Marine Shipping,58.8,59.4,52.565468,0.0028061226,0.8163,,59.4,,7133,,58.8,58.228573,0.165,59.4,,7133,,,,3.25,1599782400,1.095959,,,57.2,2,NOK,19816,,,,1308083072,,,20854,47.223217,57.2,59,,,19816,93.8,,,,39,58.4,False,0.056900002,,59.4,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,55.029,,0.16968,,-0.26965594,,,,22170900,,,6.22,,,,1577750400,0.19871001,4700000,0.208,,0.10953009,9.485531,0.57717997,1640908800,1593475200,,,6990487,1524312576,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,441 542 9329,2nd Floor 9 Par-la-Ville Road,283.65384,,,,,,
AASB-ME,7630,Financial Services,29,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,Banks—Regional,122,122,116.05036,0.06557377,0.67620003,,129,,93,,122,117.685715,8,122,,93,,,,8,1583798400,0.424755,,,122,2,NOK,716,,,,130794392,,,48,1.191629,122,129,,,716,153,,,,105,122,False,0.0656,,129,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.548,,0.38182,,0.051724195,,,,1013910,,,501.01,,,,1577750400,0,41909000,41.334,,0.10953009,0.25747988,0,1640908800,1593475200,,,553343,718695872,,,,,,0.343,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 00,,3.1209173,47 74 08 63 01,,,,,
ADSC-ME,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,Cyprus,[],http://www.adscrude.com,1,OSM House,Marine Shipping,16,16,20.547482,,0.56060004,,16,,291486,,16,17.034286,,16,,291486,,,,5.44,1598918400,,,,15.75,2,NOK,105594,,,,370736256,,,88632,,15.75,15.95,,,105594,33.4,,,,13.1,15.8,False,0.3337,,16,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.223301,,,,23390300,,,,,,,,0.09734,,,,0.10953009,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,357 2 5335501,22 Amathountos Agios Tychonas,,,,,,,
AEGA,274,Utilities,2,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.aega.no,1,Thunes vei 2,Utilities—Renewable,1.26,1.2,1.2238129,0.0031746035,,,1.44,,109333,,1.26,1.2605715,0.004,1.2,,109333,,,,0.04,1591142400,-0.593975,,,1.2,4,NOK,668626,,,,67519152,,,65382,,1.2,1.39,,394100,668626,1.85,,,,1.05,1.33,False,0.0317,60000,1.44,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,0.06779671,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.10953009,8.727273,0.46798,1640908800,1593475200,,,24350240,59102524,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,,,
ASC,0250,Financial Services,275,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.abgsc.com,1,Munkedamsveien 45 East,Capital Markets,4.925,5,3.9659352,0.04467005,0.8062,,5,,183452,,4.925,4.576143,0.22,5,,183452,,,,0.22,1588118400,0.935542,,,4.7,4,NOK,588251,,,,2206919936,,,286084,1.5614815,4.7,4.93,,185000,588251,5.1,11.627907,,10.56,2.69,4.865,False,0.044699997,340000,5,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ASC.OL,finmb_2972520,no_market,,1.243,,0.17288,,0.38732398,,0.43,,441384000,,,1.493,,,,1577750400,0.19143,244343008,0.459,,0.10953009,3.3489618,0.18238,1640908800,1593475200,,,343158504,1756439936,,,,,,0.229,,,,,,,,https://logo.clearbit.com/abgsc.com,47 22 01 60 00,7th floor,10.893247,,,,,,
ACC-ME,1366,Industrials,21,"Aker Carbon Capture AS provides carbon capture technologies. Its technologies mitigate the environmental cost of industry. The company's carbon capture process uses a mixture of water and organic amine solvents to absorb the CO2 that can be applied on emissions from various sources, such as gas, coal, cement, refineries, and waste-to-energy through to hydrogen and other process industries. Its portfolio of products include Just Catch, Big Catch, and Offshore Just Catch, as well as mobile test unit. The company is based in Lysaker, Norway. Aker Carbon Capture AS(OB:ACC-ME) operates independently of Aker Solutions ASA as of August 26, 2020.",Lysaker,Norway,[],http://www.akercarboncapture.com,1,OksenÃ¸yveien 8,Pollution & Treatment Controls,6.09,6.158,4.8373237,,,,6.518,,3519789,,6.09,4.8373237,,6.158,,3519789,,,,,,,,,5.8,2,NOK,8066391,,,,3339754240,,,5978219,,5.8,5.936,,,8066391,6.518,,,,3.85,5.9,False,,,6.518,OSL,AKER CARBON CAPTUR,Aker Carbon Capture AS,Europe/Oslo,CEST,False,7200000,EQUITY,ACC-ME.OL,finmb_677426400,no_market,,,,0,,0.2059406,,,,566060032,,,0.031,,,,,,,,,0.10953009,190.32259,,,1596153600,,,,2595952896,,,,,,,,,,,,,,https://logo.clearbit.com/akercarboncapture.com,47 67 51 30 00,,,47 67 82 69 50,,,,,
AFG,0663,Industrials,5524,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.afgruppen.com,1,Innspurten 15,Engineering & Construction,171.8,171,166.42734,0.03492433,1.2996001,,171.8,,14029,,171.8,172.52571,6,171,,14029,,,,12,1589760000,0.439156,,,170,2,NOK,6539,,,,17893533696,,,13617,0.7255214,170,170.6,,178000,6539,185,20.30989,,5.45,124.5,170,False,0.0698,52100,171.8,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AFG.OL,finmb_6174594,no_market,,0.779,,0.030369999,15.69,-0.056043923,,8.39,,105009000,,,20.408,,,,1577750400,0.14407,749000000,7.291,,0.10953009,8.349666,0.60915,1640908800,1593475200,,,41049068,19204530176,,1263772800,5:1,,,-0.36,,,,,,,,https://logo.clearbit.com/afgruppen.com,47 22 89 11 00,,23.371279,,,,,,
AMSC,1366,Industrials,3,"American Shipping Company ASA, through its subsidiaries, operates as a ship owning and lease finance company in the United States. It is involved in the purchase and bareboat chartering of product tankers, shuttle tankers, and other vessels to operators and end users in the Jones Act market. The company operates a fleet of nine product tankers and one shuttle tanker. The company was formerly known as Aker American Shipping ASA and changed its name to American Shipping Company ASA in June 2008. American Shipping Company ASA was founded in 2005 and is headquartered in Lysaker, Norway.",Lysaker,Norway,[],http://www.americanshippingco.com,1,Building B,Marine Shipping,28.7,28,25.383308,0.0118466895,2.1353,,28.9,,49015,,28.7,28.898571,0.34,28,,49015,,,,3.58,1598486400,0.966867,,,27.95,2,NOK,90947,,,,1736662656,,,56878,19.711508,27.95,28.9,,114600,90947,37.5,77.432434,,11.47,15.06,28.55,False,0.1249,172600,28.9,OSL,AMER SHIPPING COMP,American Shipping Company ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AMSC.OL,finmb_22594564,no_market,,25.145,,0.106709994,26.009,-0.12633175,,0.37,,60616500,,,2.607,,,,1577750400,0.19708,9402000,0.155,,0.10953009,10.989643,0.28123,1640908800,1593475200,,,43989211,2215390720,,,,,,0.571,,,,,,,,https://logo.clearbit.com/americanshippingco.com,,OksenOeyveien 10,184.8387,,,,,,
