ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fax,trailingPE,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
2020,2020 Bulkers,Industrials,59.4,58.0,59.4,62,,1316.95,0.0385,0.0206,-0.0019,-0.3121,-0.2449,HM11,Industrials,4.0,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,Marine Shipping,2nd Floor 9 Par-la-Ville Road,57.2,59.4,52.44412,0.0028846154,0.8163,,60.0,,5888.0,,57.2,58.264706000000004,0.165,59.4,,5888.0,,,,3.25,1599782400.0,1.095959,,,57.4,2.0,NOK,9460.0,,,,1316951552.0,,,20818.0,47.543377,57.4,58.2,,,9460.0,93.8,,,,39.0,58.0,False,0.0553,,60.0,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,55.028999999999996,,0.16968,,-0.27407408,,,,22170900.0,,,6.22,,,,1577750400.0,0.19871001,4700000.0,0.20800000000000002,,0.10600006599999999,9.54984,0.57717997,1640908800.0,1593475200.0,,,6990487.0,1524312576.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,,285.57693,,,,,
FIVEPG,5th Planet Games,Communication services,1.29,1.29,1.3,337,LP,137.15,0.015700000000000002,-0.1103,-0.2629,3.4163,1.62,1123,Communication Services,16.0,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,Electronic Gaming & Multimedia,,1.27,1.265,1.5243708,,0.0,,1.33,,2791476.0,,1.27,1.7263235000000001,,1.265,,2791476.0,,,,,,2.7596380000000003,,,1.255,4.0,NOK,1504349.0,,,,137150208.0,,,3264922.0,,1.255,1.295,,0.0,1504349.0,3.8,,,,0.25,1.29,False,,0.0,1.33,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.3666666,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.10600006599999999,7.413792999999999,0.50402,1640908800.0,1593475200.0,,,49610003.0,75958704.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,129.0,122.0,129.0,0,LP,130.79,,,,0.07339999999999999,0.1937,7630,Financial Services,29.0,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,Banks—Regional,,129.0,122.0,115.52941000000001,0.062015504000000006,0.67620003,,129.0,,53.0,,129.0,117.79411999999999,8.0,122.0,,53.0,,,,8.0,1583798400.0,0.424755,,,122.0,2.0,NOK,716.0,,,,138299616.0,,,49.0,1.2600069,122.0,142.0,,,716.0,153.0,,,,105.0,111.0,False,0.0656,,129.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.547999999999999,,0.38182,,0.051724195,,,,1013910.0,,,501.01,,,,1577750400.0,0.0,41909000.0,41.333999999999996,,0.10600006599999999,0.25747988,0.0,1640908800.0,1593475200.0,,,553343.0,718695872.0,,,,,,0.34299999999999997,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 01,3.1209173,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.8,4.8,4.82,104,,2118.64,-0.0123,-0.04,0.0503,0.2757,0.4785,0250,Financial Services,275.0,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,Capital Markets,7th floor,4.86,4.715,3.9751837,0.04526749,0.8062,,4.85,,144235.0,,4.86,4.5876470000000005,0.22,4.715,,144235.0,,,,0.22,1588118400.0,0.935542,,,4.715,4.0,NOK,288907.0,,,,2118643328.0,,,286716.0,1.4990223999999999,4.715,4.81,,185000.0,288907.0,5.1,11.162791,,10.56,2.69,4.8,False,0.045300003,340000.0,4.85,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.2429999999999999,,0.17288,,0.39124298,,0.43,,441384000.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.10600006599999999,3.2150035,0.18238,1640908800.0,1593475200.0,,,343255421.0,1756439936.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,,10.457517,,,,,
ADE,Adevinta,Communication services,154.5,154.5,154.6,1720,,105810.79,0.0198,-0.0374,-0.0362,0.4856,0.4575,0159,Communication Services,3564.0,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,Internet Content & Information,,151.5,155.8,114.18638999999999,,0.0,,161.8,,395262.0,,151.5,157.80295,,155.8,,395262.0,,,,,,,,,153.6,2.0,NOK,458566.0,,,,104774639616.0,,,734156.0,,153.6,154.4,,,458566.0,169.5,,,,66.7,153.9,False,,,161.8,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.57115376,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.10600006599999999,,0.66005,1640908800.0,1593475200.0,,,227972750.0,99953000448.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,15.9,15.9,15.95,47,,371.91,0.0192,-0.0393,-0.0245,-0.2804,0.0061,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,Marine Shipping,22 Amathountos Agios Tychonas,15.6,16.4,20.559559,,0.56060004,,16.4,,72497.0,,15.6,16.994118,,16.4,,72497.0,,,,5.44,1598918400.0,,,,15.35,2.0,NOK,39608.0,,,,368418880.0,,,89722.0,,15.35,15.9,,,39608.0,33.4,,,,13.1,15.9,False,0.3337,,16.4,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.19999999,,,,23390300.0,,,,,,,,0.09734,,,,0.10600006599999999,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,,,,,,
AEGA,Aega,Utilities,1.9,1.86,1.9,297,,91.3,0.1176,0.5079,0.52,0.6379,0.5851,274,Utilities,2.0,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,Utilities—Renewable,,1.7,1.77,1.2219853,0.0023529413,,,1.99,,162297.0,,1.7,1.2594118,0.004,1.77,,162297.0,,,,0.04,1591142400.0,-0.593975,,,1.71,4.0,NOK,1366735.0,,,,91296520.0,,,64743.0,,1.71,1.88,,394100.0,1366735.0,1.99,,,,1.05,1.86,False,0.0278,60000.0,1.99,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,0.058823466,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.10600006599999999,11.515151,0.46798,1640908800.0,1593475200.0,,,24310358.0,59102524.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,
AFG,AF Gruppen,Industrials,166.6,166.6,167.0,88,,17494.5,-0.0012,-0.0188,-0.0566,-0.0182,-0.0417,0663,Industrials,5524.0,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,Engineering & Construction,,166.8,166.8,166.3228,0.03597122,1.2996001,,167.6,,12984.0,,166.8,172.45293999999998,6.0,166.8,,12984.0,,,,12.0,1589760000.0,0.43915600000000005,,,166.0,2.0,NOK,17834.0,,,,17494499328.0,,,13548.0,0.70934194,166.0,166.8,,178000.0,17834.0,185.0,19.856972,,5.45,124.5,166.2,False,0.0719,52100.0,167.6,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.765,,0.030369998999999998,15.415,-0.06120217,,8.39,,105009000.0,,,20.408,,,,1577750400.0,0.14407,749000000.0,7.291,,0.10600006599999999,8.1634655,0.60915,1640908800.0,1593475200.0,,,41049068.0,18868500480.0,,1263772800.0,5:1,,,-0.36,,,,,,,,https://logo.clearbit.com/afgruppen.com,,22.850089999999998,,,,,
AKA,Akastor,Energy,6.34,6.07,6.34,90,,1722.01,0.0567,0.0393,-0.0231,-0.3622,-0.4319,1366,Energy,2112.0,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,47 21 52 58 00,Norway,[],http://akastor.com,1.0,Building B,Oil & Gas Equipment & Services,OksenÃ¸yveien 10 Lysaker,6.0,5.84,5.049706,,0.0,,6.44,,248827.0,,6.0,6.315,,5.84,,248827.0,,,,,1397174400.0,1.53253,,,5.84,2.0,NOK,155624.0,,,,1722007296.0,,,407099.0,0.30408040000000003,5.84,6.44,,52200.0,155624.0,12.0,15.85,,,3.52,6.22,False,,227000.0,6.44,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.684,,-0.0498,12.463,-0.40992647,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.10600006599999999,0.42679235,0.51141,1640908800.0,1593475200.0,,,136612714.0,3875857152.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,,,,,,,
AKER,Aker,Financials,408.6,408.4,408.6,1055,,30347.85,0.0241,0.0159,0.0099,-0.2256,-0.16899999999999998,1366,Energy,21865.0,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1.0,OksenOeyveien 10,Oil & Gas Equipment & Services,,399.0,402.0,328.35294,0.029448621,0.0,,415.2,,118328.0,,399.0,404.9412,11.75,402.0,,118328.0,,,,11.75,1595289600.0,1.6867459999999999,,,401.8,2.0,NOK,97632.0,,,,30607081472.0,,,124147.0,0.64973533,401.8,408.2,,111700.0,97632.0,566.0,15.565714999999999,,,182.2,407.6,False,0.0294,108400.0,415.2,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.879,,-0.08871,34.637,-0.15069616,,26.25,,74272800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.10600006599999999,1.6250913999999999,0.70268,1640908800.0,1593475200.0,,,67696448.0,88531845120.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,47 24 13 01 01,,,,,,
