ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fax,trailingPE,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
AKA,1366,Energy,2112,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,47 21 52 58 00,Norway,[],http://akastor.com,1,Building B,Oil & Gas Equipment & Services,OksenÃ¸yveien 10 Lysaker,6,5.84,5.049706,,0,,6.44,,248827,,6,6.315,,5.84,,248827,,,,,1397174400,1.53253,,,5.84,2,NOK,155624,,,,1722007296,,,407099,0.3040804,5.84,6.44,,52200,155624,12,15.85,,,3.52,6.22,False,,227000,6.44,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKA.OL,finmb_874402,no_market,,0.684,,-0.0498,12.463,-0.40992647,,0.4,,271609984,,,14.855,,,,1577750400,0.25563,-152000000,-0.981,,0.106000066,0.42679235,0.51141,1640908800,1593475200,,,136612714,3875857152,,1175212800,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,,,,,,,
FIVEPG,1123,Communication Services,16,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,Electronic Gaming & Multimedia,,1.27,1.265,1.5243708,,0,,1.33,,2791476,,1.27,1.7263235,,1.265,,2791476,,,,,,2.759638,,,1.255,4,NOK,1504349,,,,137150208,,,3264922,,1.255,1.295,,0,1504349,3.8,,,,0.25,1.29,False,,0,1.33,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.3666666,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,0.106000066,7.413793,0.50402,1640908800,1593475200,,,49610003,75958704,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,
AKBM-ME,1327,Healthcare,,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerbiomarine.com,1,OksenOeyveien 10,Drug Manufacturers—Specialty & Generic,PO Box 496,94.01,94.01,95.34358,,,,95.49,,53187,,94.01,93.71853,,94.01,,53187,,,,,,,,,93.5,2,NOK,33343,,,,,,,127809,,93.5,93.84,,,33343,114,,,,87,93.52,False,,,95.49,OSL,AKER BIOMARINE AS,Aker BioMarine AS,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,46.324,,-0.00658,217.82,-0.07354343,,,,,,,2.051,,,,1546214400,,-1022000,-0.015,,0.106000066,45.597267,,1609372800,1593475200,,,14751544,7195696128,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,,,,,,,
AKSO,1366,Energy,13000,"Aker Solutions ASA provides products, systems, and services to the oil and gas industry worldwide. The company operates through Projects and Services segments. It offers field planning, feasibility, and concept studies; floater designs; digital solutions; and deep water risers. The company also provides engineering, project management, and procurement services, such as design of offshore oil and gas production facilities, and onshore receiving and processing facilities; jacket designs; subsea production systems; subsea trees; and control systems. In addition, it offers subsea wellheads engineering, manufacturing, installation, and life-of-field support services, including umbilical systems, subsea structures, tie-in systems, subsea compression and pump systems, subsea power distribution and processing systems, and intervention and workover systems; and lifecycle, hook-up and completion, maintenance, modification, asset integrity management, and yards and fabrication services. Aker Solutions ASA was founded in 1841 and is headquartered in Fornebu, Norway.",Fornebu,47 67 51 30 00,Norway,[],http://akersolutions.com,1,OksenÃ¸yveien 8,Oil & Gas Equipment & Services,,8.86,8.86,8.952015,0.16365689,0,,9.04,,2759995,,8.86,11.863235,1.45,8.86,,2759995,,,,,1428624000,2.065662,,,8.66,2,NOK,3523679,,,,2378141696,,,5252540,0.09024178,8.66,8.77,,58500,3523679,27.28,3.753219,,,4.362,8.745,False,,156700,9.04,OSL,AKER SOLUTIONS ASA,Aker Solutions ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKSO.OL,finmb_262890984,no_market,,0.395,,-0.03779,16.435,-0.65462756,,2.33,,271943008,,,24.02,,,,1577750400,0.26966998,-996000000,-3.667,,0.106000066,0.3640716,0.46942002,1640908800,1593475200,,,130222507,10419578880,,1175212800,1:5,,,,,,,,,,,https://logo.clearbit.com/akersolutions.com,47 67 82 69 50,,,,,,
AKERBP,1366,Energy,1703,"Aker BP ASA engages in the exploration, development, and production of oil and gas on the Norwegian Continental Shelf. The company has working interests in 42 fields/projects. As of December 31, 2019, its total net proven reserves were 666 million barrels of oil equivalents; and estimated total net proven plus probable reserves were 906 million barrels of oil equivalents. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",Fornebu,47 51 35 30 00,Norway,[],http://www.akerbp.com,1,Building B,Oil & Gas E&P,Fornebuporten OksenOeyveien 10 Lysaker,153.95,153.95,164.15515,0.011873985,,,158.45,,738206,,153.95,172.225,1.828,153.95,,738206,,,,7.41,1596153600,1.674096,,,153.55,2,NOK,957071,,,,56234434560,,,782545,18.354795,153.55,156.9,,0,957071,297.9,92.117645,,,89.42,156.9,False,0.0461,0,158.45,OSL,AKER BP ASA,Aker BP ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKERBP.OL,finmb_9048461,no_market,,19.331,,-0.031630002,27.03,-0.36619717,,1.7,,359096000,,,5.317,,,,1577750400,0.16023001,-96917000,-0.269,,0.106000066,29.4527,0.70299006,1640908800,1593475200,,,105960265,59226038272,,1261526400,1:1,,,1.715,,,,,,,,https://logo.clearbit.com/akerbp.com,,,,,,,
AKVA,4353,Industrials,1431,"AKVA Group ASA develops, designs, manufactures, assembles, sells, and installs technology products; and provides rental and consulting services for the aquaculture industry. The company operates through three segments: Cage Based Technology, Software, and Land Based Technology. The Cage Based Technology segment offers plastic cages, steel cages, feed barges, feed systems, sensor and camera systems, biomass estimation systems, underwater lights, net cleaning systems, and nets and mooring systems under the Polarcirkel, Wavemaster, and Akvasmart hardware brands. This segment also supplies polyethylene work boats, pipes, ROV's, and subsea solutions to aquaculture, oil service, and maritime industries. The Software segment provides production control, planning, traceability, and ERP software for the aquaculture and fishing industries under the Fishtalk brand. This segment also operates AKVAconnect, a process control platform that enables real-time control of various mission critical equipment, such as feeding systems, environmental sensors, barges, and cameras installed on-site at the farmer's locations. The Land Based Technology segment designs and delivers recirculation systems for land based fish farming, as well as provides water quality conditions for fresh and seawater operations. The company also offers PRISMA, a cloud-based data platform for the aquaculture eco-system. AKVA group ASA operates in Norway, Chile, Canada, Scotland, Denmark, and internationally. The company is based in Klepp Stasjon, Norway. AKVA Group ASA is a subsidiary of Egersund Group AS.",Klepp Stasjon,47 51 77 85 00,Norway,[],http://www.akvagroup.com,1,Plogfabrikkvegen 11,Farm & Heavy Construction Machinery,,68.6,68.4,59.02647,0.01457726,15.3846,,68.4,,1628,,68.6,63.6,1,68.4,,1628,,,,2,1582502400,0.719879,,,66.6,2,NOK,8452,,,,2254635264,,,3689,0.74148834,66.6,67.6,,49600,8452,79,11.867365,,,41.3,67,False,0.0308,34200,68.4,OSL,AKVA GROUP ASA,AKVA Group ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKVA.OL,finmb_162314,no_market,,1.117,,0.0013400001,29.944,-0.17179489,,5.73,,33156400,,,31.016,,,,1577750400,0.13203,4087000,0.123,,0.106000066,2.1924167,0.7511,1640908800,1593475200,,,8066625,3397530368,,,,,,-0.095,,,,,,,,https://logo.clearbit.com/akvagroup.com,,552.8455,,,,,
AOW-ME,1366,Energy,30,"Aker Offshore Wind Holding AS engages in the development of deep-water wind power production. It has a portfolio of development projects and prospects in Europe, North America, and Asia. The company is based in Lysaker, Norway. Aker Offshore Wind Holding AS(OB:AOW-ME) operates independently of Aker Solutions ASA as of August 26, 2020.",Lysaker,47 67 51 30 00,Norway,[],http://www.akeroffshorewind.com,1,OksenÃ¸yveien 8,Oil & Gas Equipment & Services,,4.89,4.99,3.2372646,,,,5.939,,8564954,,4.89,3.2372646,,4.99,,8564954,,,,,,,,,4.986,2,NOK,18617384,,,,3538428672,,,10961497,,4.986,5.79,,,18617384,5.939,,,,1.99,5.774,False,,,5.939,OSL,AKER OFFSHORE WIND,Aker Offshore Wind Holding AS,Europe/Oslo,CEST,False,7200000,EQUITY,AOW-ME.OL,finmb_677430128,no_market,,,,0,,0.2752198,,,,612078976,,,0.494,,,,,,,,,0.106000066,11.70243,,,1596153600,,,,2993065472,,,,,,,,,,,,,,https://logo.clearbit.com/akeroffshorewind.com,,,,,,,
AFG,0663,Industrials,5524,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1,Innspurten 15,Engineering & Construction,,166.8,166.8,166.3228,0.03597122,1.2996001,,167.6,,12984,,166.8,172.45294,6,166.8,,12984,,,,12,1589760000,0.439156,,,166,2,NOK,17834,,,,17494499328,,,13548,0.70934194,166,166.8,,178000,17834,185,19.856972,,5.45,124.5,166.2,False,0.0719,52100,167.6,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AFG.OL,finmb_6174594,no_market,,0.765,,0.030369999,15.415,-0.06120217,,8.39,,105009000,,,20.408,,,,1577750400,0.14407,749000000,7.291,,0.106000066,8.1634655,0.60915,1640908800,1593475200,,,41049068,18868500480,,1263772800,5:1,,,-0.36,,,,,,,,https://logo.clearbit.com/afgruppen.com,,22.85009,,,,,
AEGA,274,Utilities,2,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,Utilities—Renewable,,1.7,1.77,1.2219853,0.0023529413,,,1.99,,162297,,1.7,1.2594118,0.004,1.77,,162297,,,,0.04,1591142400,-0.593975,,,1.71,4,NOK,1366735,,,,91296520,,,64743,,1.71,1.88,,394100,1366735,1.99,,,,1.05,1.86,False,0.0278,60000,1.99,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,0.058823466,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.106000066,11.515151,0.46798,1640908800,1593475200,,,24310358,59102524,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,
AMSC,1366,Industrials,3,"American Shipping Company ASA, through its subsidiaries, operates as a ship owning and lease finance company in the United States. It is involved in the purchase and bareboat chartering of product tankers, shuttle tankers, and other vessels to operators and end users in the Jones Act market. The company operates a fleet of nine product tankers and one shuttle tanker. The company was formerly known as Aker American Shipping ASA and changed its name to American Shipping Company ASA in June 2008. American Shipping Company ASA was founded in 2005 and is headquartered in Lysaker, Norway.",Lysaker,,Norway,[],http://www.americanshippingco.com,1,Building B,Marine Shipping,OksenOeyveien 10,28,27.95,25.29066,0.012142858,2.1353,,28.5,,52306,,28,28.970589,0.34,27.95,,52306,,,,3.58,1598486400,0.966867,,,27.95,2,NOK,101211,,,,1718477824,,,56587,19.505106,27.95,28.45,,114600,101211,37.5,76.62162,,11.47,15.06,28.3,False,0.128,172600,28.5,OSL,AMER SHIPPING COMP,American Shipping Company ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AMSC.OL,finmb_22594564,no_market,,25.145,,0.106709994,26.009,-0.12366408,,0.37,,60616500,,,2.607,,,,1577750400,0.19708,9402000,0.155,,0.106000066,10.874568,0.28123,1640908800,1593475200,,,43989211,2215390720,,,,,,0.571,,,,,,,,https://logo.clearbit.com/americanshippingco.com,,182.90323,,,,,
