ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,fax,trailingPE,state,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
2020,2020 Bulkers,Industrials,59.4,59.4,59.6,79,,1316.95,0.0034,0.0206,0.0291,-0.3121,-0.2523,HM11,Industrials,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,Marine Shipping,2nd Floor 9 Par-la-Ville Road,59.2,61.4,53.186863,0.0027871623,0.8163,,61.4,,20204.0,,59.2,58.558823,0.165,61.4,,20204.0,,,,3.25,1599782400.0,1.09372,,,59.2,2.0,NOK,29253.0,,,,1316951552.0,,,17863.0,47.543377,59.2,59.4,,,29253.0,93.8,,,,39.0,59.4,False,0.0542,,61.4,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,55.99,,0.16968,,-0.2647059,,,,22170900.0,,,6.22,,,,1577750400.0,0.19871001,4700000.0,0.20800000000000002,0.03,0.16381514,9.54984,0.57717997,1640908800.0,1593475200.0,,,6990487.0,1550917632.0,,,,,1599782400.0,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,4.0,,285.57693,,,,,
FIVEPG,5th Planet Games,Communication services,1.08,1.07,1.09,684,LP,114.82,-0.0609,-0.1496,-0.26780000000000004,2.6974,1.3281999999999998,1123,Communication Services,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,Electronic Gaming & Multimedia,,1.15,1.12,1.6002368,,0.0,,1.14,,3618687.0,,1.15,1.5172058000000002,,1.12,,3618687.0,,,,,,2.667487,,,1.05,4.0,NOK,4629550.0,,,,113760264.0,,,3431019.0,,1.05,1.07,,0.0,4629550.0,3.8,,,,0.25,1.07,False,,0.0,1.14,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.201365,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.16381514,6.149426,0.50402,1640908800.0,1593475200.0,,,49610003.0,77154896.0,,1511913600.0,1:5,,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,16.0,,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,128.0,127.0,128.0,1,LP,129.78,0.0,,,0.06509999999999999,0.145,7630,Financial Services,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,Banks—Regional,,128.0,128.0,116.83211499999999,0.0625,0.67620003,,128.0,,23.0,,128.0,122.882355,8.0,128.0,,23.0,,,,8.0,1583798400.0,0.39816599999999996,,,128.0,2.0,NOK,50.0,,,,129780480.0,,,42.0,1.1823915,128.0,128.0,,,50.0,153.0,,,,105.0,127.0,False,0.0625,,128.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.547999999999999,,0.38182,,0.06666672,,,,1013910.0,,,501.01,,,,1577750400.0,0.0,41909000.0,41.333999999999996,8.0,0.16381514,0.25548393,0.0,1640908800.0,1593475200.0,,,553343.0,718695872.0,,,,,1583798400.0,,0.34299999999999997,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,29.0,47 74 08 63 01,3.0967243,,,,,
ASC,ABG Sundal Collier Holding,Financials,5.84,5.83,5.84,260,,2577.68,0.0318,0.104,0.25730000000000003,0.5521,0.9411,0250,Financial Services,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,Capital Markets,7th floor,5.66,5.66,4.148467,0.038869258,0.8062,,5.85,,568558.0,,5.66,4.834118,0.22,5.66,,568558.0,,,,0.22,1588118400.0,0.905172,,,5.66,2.0,NOK,1174721.0,,,,2577682688.0,,,305364.0,1.8238106,5.66,5.84,,185000.0,1174721.0,5.85,13.581395,,10.56,2.69,5.83,False,0.038900002999999996,340000.0,5.85,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.45,,0.17288,,0.6656717,,0.43,,441384000.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,0.22,0.16381514,3.9115875,0.18238,1640908800.0,1593475200.0,,,343255421.0,2049391488.0,,,,,1588118400.0,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,275.0,,12.723312,,,,,
ADE,Adevinta,Communication services,170.6,170.6,170.9,1317,,116837.03,0.0155,0.0434,0.115,0.6404000000000001,0.5738,0159,Communication Services,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,Internet Content & Information,,168.0,174.7,120.47408999999999,,0.0,,175.0,,483284.0,,168.0,159.82058999999998,,174.7,,483284.0,,,,,,,,,168.0,2.0,NOK,908834.0,,,,116837122048.0,,,784512.0,,168.0,170.9,,,908834.0,183.0,,,,66.7,170.6,False,,,175.0,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.6168225,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.16381514,,0.66005,1640908800.0,1593475200.0,,,227972750.0,113314996224.0,,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,3564.0,,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,16.3,16.15,16.3,19,,381.26,0.0,0.0284,0.1769,-0.2623,-0.092,4532,Industrials,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,Marine Shipping,22 Amathountos Agios Tychonas,16.3,16.3,20.26241,,0.56060004,,16.4,,83270.0,,16.3,16.069118,,16.3,,83270.0,,,,5.44,1598918400.0,,,,16.1,2.0,NOK,11650.0,,,,381261888.0,,,91271.0,,16.1,16.3,,,11650.0,33.4,,,,13.1,16.15,False,0.33580002,,16.4,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.37692302,,,,23390300.0,,,,,,,,0.09734,,,1.6,0.16381514,,0.0,,,,,,,,,,,1598918400.0,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,,,,,,,
AEGA,Aega,Utilities,1.6,1.58,1.6,44,,76.88,-0.0303,-0.0184,0.3115,0.3793,0.3679,274,Utilities,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,Utilities—Renewable,,1.65,1.65,1.2602919,0.0024242427,,,1.65,,123543.0,,1.65,1.3852941,0.004,1.65,,123543.0,,,,0.04,1591142400.0,-0.725985,,,1.6,4.0,NOK,297471.0,,,,76881280.0,,,134037.0,,1.6,1.6,,394100.0,297471.0,2.0,,,,1.05,1.6,False,0.025,60000.0,1.65,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,0.3114754,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,0.04,0.16381514,9.696969000000001,0.46798,1640908800.0,1593475200.0,,,24310358.0,79283872.0,,,,,1591142400.0,,,,,,,,,,https://logo.clearbit.com/aega.no,2.0,,,,,,,
AFG,AF Gruppen,Industrials,164.0,163.6,164.0,55,,17219.75,-0.0097,-0.0353,-0.05860000000000001,-0.0335,-0.0303,0663,Industrials,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,Engineering & Construction,,165.6,166.0,168.38103,0.036231883,1.2996001,,166.0,,10720.0,,165.6,169.7,6.0,166.0,,10720.0,,,,12.0,1589760000.0,0.44766000000000006,,,164.0,2.0,NOK,7757.0,,,,17219672064.0,,,12600.0,0.6981986,164.0,164.2,,178000.0,7757.0,185.0,19.547079999999998,,5.46,124.5,163.4,False,0.0725,52100.0,166.0,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.76,,0.030369998999999998,15.312000000000001,-0.07821226,,8.39,,104998000.0,,,20.408,,,,1577750400.0,0.14407,749000000.0,7.291,6.0,0.16381514,8.036064,0.60915,1640908800.0,1593475200.0,,,44989006.0,18742491136.0,,1263772800.0,5:1,,1589760000.0,,-0.36,,,,,,,,https://logo.clearbit.com/afgruppen.com,5524.0,,22.493485999999997,,,,,
AGLX-ME,Agilyx,Industrials,29.2,28.71,29.2,180,,2107.27,0.024,-0.0989,,,,97223,Industrials,"Agilyx AS engages in the chemical recycling of post-use plastics back into plastics, chemical intermediates, and low carbon fuels. The company develops systems and technologies to transform non-recyclable plastics into a range of valuable products, including a liquid from styrofoam recycling that is used in pharmaceutical, agricultural, safety, construction, food packaging, durable goods, composites, insulation, and shipping industry products; and a drop-in replacement for fossil crude oil used by refineries. It serves waste and recycling companies, municipalities, and industrial waste plastics generators. The company was founded in 2004 and is headquartered in Tigard, Oregon.",Tigard,503 217 3160,United States,[],http://www.agilyx.com,1.0,13240 SW Wall Street,Waste Management,,28.51,28.995,31.64,,,,29.745,,1008494.0,,28.51,31.64,,28.995,,1008494.0,,,,,,,,,28.5,2.0,NOK,107994.0,,,,2122637184.0,,,1008494.0,,28.5,29.2,,,107994.0,40.0,,,,28.1,28.705,False,,,29.745,OSL,AGILYX AS,Agilyx AS,Europe/Oslo,CEST,False,7200000.0,EQUITY,AGLX-ME.OL,finmb_54209123,no_market,,,,0.0,,-0.043613612999999996,,,,72705504.0,,,,,,,,,,,,0.16381514,,,,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/agilyx.com,,503 217 3161,,OR,,,,
AKA,Akastor,Energy,6.59,6.59,6.66,93,,1789.91,0.0394,0.0803,0.0857,-0.337,-0.3488,1366,Energy,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,47 21 52 58 00,Norway,[],http://akastor.com,1.0,Building B,Oil & Gas Equipment & Services,OksenÃ¸yveien 10 Lysaker,6.34,6.34,5.1462045,,0.0,,6.87,,107594.0,,6.34,6.317941,,6.34,,107594.0,,,,,1397174400.0,1.5609600000000001,,,6.32,2.0,NOK,195117.0,,,,1789909888.0,,,391231.0,0.31607097,6.32,6.66,,52200.0,195117.0,12.0,16.475,,,3.52,6.59,False,,227000.0,6.87,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.708,,-0.0498,12.89,-0.38109165,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,4.1,0.16381514,0.44362170000000006,0.51141,1640908800.0,1593475200.0,,,136612714.0,4008857088.0,,1175212800.0,5:1,,1397174400.0,,,,,,,,,,https://logo.clearbit.com/akastor.com,2112.0,,,,,,,
