ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
2020,2020 Bulkers,Industrials,56.0,55.0,56.0,14,,1241.57,-0.0106,0.0182,-0.021,-0.3556,-0.2747
FIVEPG,5th Planet Games,Communication services,1.61,1.61,1.63,995,LP,170.64,0.1801,0.12240000000000001,-0.0699,4.4947,1.3305
AASB-ME,Aasen Sparebank,Equity certificates,110.0,108.0,112.0,0,LP,111.53,,,-0.051699999999999996,-0.08470000000000001,-0.0078000000000000005
ASC,ABG Sundal Collier Holding,Financials,4.47,4.47,4.49,35,,1970.84,-0.0044,0.0067,0.0667,0.1907,0.3518
ADE,Adevinta,Communication services,115.0,115.0,,0,,78758.84,,,0.1741,0.1058,0.2778
ADSC-ME,ADS Crude Carriers,Energy,18.7,18.65,18.7,26,,437.40,-0.0027,0.0,-0.053200000000000004,-0.23149999999999998,0.1058
AEGA,Aega,Utilities,1.22,1.18,1.22,8,,58.62,-0.024,0.0252,0.0,0.051699999999999996,-0.039900000000000005
AFG,AF Gruppen,Industrials,181.0,180.6,181.0,60,,19006.63,0.0,0.0033,0.028399999999999998,0.0666,0.1369
AKA,Akastor,Energy,5.41,5.36,5.4,143,,1469.41,-0.016399999999999998,0.0404,0.0713,-0.4557,-0.5296
AKER,Aker,Financials,406.6,406.2,406.6,1487,,30197.56,-0.024900000000000002,0.0872,0.0825,-0.2519,-0.17629999999999998
AKBM-ME,Aker BioMarine,Consumer staples,96.0,96.0,96.49,108,,8408.26,0.0052,-0.1273,,,
AKERBP,Aker BP,Energy,183.5,183.45,183.55,1647,,65989.08,-0.0034999999999999996,-0.0163,-0.0062,-0.34149999999999997,-0.21309999999999998
AKSO,Aker Solutions,Energy,15.43,15.41,15.44,5342,,4196.08,0.1234,0.6718999999999999,0.6728000000000001,-0.3774,-0.46130000000000004
AKVA,AKVA Group,Industrials,64.4,64.6,65.0,14,LP,2132.05,0.0063,0.0288,0.0063,-0.1175,-0.1456
AMSC,American Shipping Company,Industrials,27.75,27.7,27.8,50,,1682.11,0.0128,0.0109,0.0756,-0.10619999999999999,-0.11689999999999999
ANDF-ME,Andfjord Salmon,Consumer staples,58.65,58.8,59.49,46,,1976.54,0.006,0.11710000000000001,,,
ABT,Aqua Bio Technology,Materials,4.98,4.98,5.0,28,LP,76.47,0.0331,-0.009899999999999999,-0.09910000000000001,1.1368,1.0492
AQUA,AqualisBraemar,Energy,4.7,4.7,4.8,19,,330.49,0.078,0.1137,0.175,0.2718,0.21559999999999999
