ticker,zip,sector,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,fullTimeEmployees,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
AASB-ME,7630,Financial Services,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Asen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,47 74 08 63 01,Banks—Regional,110,110,121.50714,0.07272727,1.0156,,114,,78,,110,113.828575,8,110,,78,,,,8,1583798400,0.401681,,,108,2,NOK,3.0497591,71,,,,115585744,,,39,1.1200169,108,114,,,71,153,,,,105,108,False,0.0727,,114,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.033,,0.36725,,-0.07563025,,,,1013910,,,485.692,,,,1577750400,0,37900000,37.38,,0.06933558,0.23471665,0,1640908800,1585612800,,,553343,725802432,,,,,,-0.328,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,,,,,,
ADSC-ME,4532,Industrials,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1,OSM House,,Marine Shipping,18.5,18.6,23.189285,,0.4088,,18.6,,20472,,18.5,19.471428,,18.6,,20472,,,,4.21,1591228800,,,,18.1,2,NOK,,46068,,,,433890048,,,139366,,18.1,18.55,,,46068,33.4,,,,16.1,18.2,False,0.2251,,18.6,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.101941764,,,,23390300,,,,,,,,0.09734,,,,0.06933558,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,22 Amathountos Agios Tychonas,,,,,,
ADE,0159,Communication Services,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1,Grensen 5,,Internet Content & Information,141,137.4,101.14321,,0,,140,,874783,,141,104.67143,,137.4,,874783,,,,,,,,,135.3,2,NOK,,505257,,,,93140967424,,,369295,,135.3,136.7,,,505257,160.2,,,,66.7,136.4,False,,,140,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.47489548,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.06933558,,0.66005,1640908800,1593475200,,,223708700,96678002688,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,3564,,,,,
2020,HM11,Industrials,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,,Marine Shipping,53.6,53,57.805714,0.0030783585,2.2674,,54.2,,11258,,53.6,54.311428,0.165,53,,11258,,,,1.86,1581552000,1.07216,,,52.6,2,NOK,865.5737,10091,,,,1170623488,,,30702,69.26766,52.6,53.4,,,10091,93.8,,,,39,52.8,False,0.0347,,54.2,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,81.086,,0.07692,,-0.30749357,,,,22170900,,,6.184,,,,1577750400,0.19871001,1300000,0.061,,0.06933558,8.538163,0.57717997,1640908800,1585612800,,,9024667,1370360576,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,2nd Floor 9 Par-la-Ville Road,4,,,,,
FIVEPG,1123,Communication Services,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,,Electronic Gaming & Multimedia,2.13,2.2,1.0971103,,0,,2.23,,2981092,,2.13,1.8760123,,2.2,,2981092,,,,,,2.679069,,,1.91,4,NOK,,4073806,,,,151825920,,,6783857,,1.91,1.98,,0,4073806,3.8,,,,0.25,1.96,False,,0,2.23,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.4204547,,,,77462200,,,0.174,,,,1577750400,0,,-0.118,,0.06933558,11.264368,0.50402,1640908800,1577750400,,,41707742,114457704,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,16,,,,,
AEGA,274,Utilities,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,,Utilities—Renewable,1.17,1.24,1.2209285,0.0034188037,,,1.85,,46556,,1.17,1.198,0.004,1.24,,46556,,,,0.04,1591142400,-0.703488,,,1.24,4,NOK,,590194,,,,60544008,,,42376,,1.24,1.3,,394100,590194,1.85,,,,1.05,1.26,False,0.0325,60000,1.85,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.19310349,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.06933558,7.6363635,0.46798,1640908800,1585612800,,,24350240,56219476,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,2,,,,,
AKBM-ME,1327,Healthcare,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerbiomarine.com,1,Oksenoyveien 10,47 24 13 01 10,Drug Manufacturers—Specialty & Generic,94.5,94.5,,,,,94.5,,,,94.5,,,94.5,,,,,,,,,,,90.05,2,NOK,,154729,,,,,,,,,90.05,92.36,,,154729,94.5,,,,90.05,92.4,False,,,94.5,OSL,AKER BIOMARINE AS,Aker BioMarine ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,42.766,,-0.00658,201.088,,,,,,,,2.589,,,,1546214400,,-1022000,-0.015,,0.06933558,34.95558,,1609372800,1514678400,,,14611039,6642951168,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,PO Box 496,,,,,,
AKVA,4353,Industrials,"AKVA Group ASA develops, designs, manufactures, assembles, sells, and installs technology products; and provides rental and consulting services for the aquaculture industry. The company operates through three segments: Cage Based Technology, Software, and Land Based Technology. The Cage Based Technology segment offers plastic cages, steel cages, feed barges, feed systems, sensor and camera systems, biomass estimation systems, underwater lights, net cleaning systems, and nets and mooring systems under the Polarcirkel, Wavemaster, and Akvasmart hardware brands. This segment also supplies polyethylene work boats, pipes, ROV's, and subsea solutions to aquaculture, oil service, and maritime industries. The Software segment provides production control, planning, traceability, and ERP software for the aquaculture and fishing industries under the Fishtalk brand. This segment also operates AKVAconnect, a process control platform that enables real-time control of various mission critical equipment, such as feeding systems, environmental sensors, barges, and cameras installed on-site at the farmer's locations. The Land Based Technology segment designs and delivers recirculation systems for land based fish farming, as well as provides water quality conditions for fresh and seawater operations. The company also offers PRISMA, a cloud-based data platform for the aquaculture eco-system. AKVA group ASA operates in Norway, Chile, Canada, Scotland, Denmark, and internationally. The company is based in Klepp Stasjon, Norway. AKVA Group ASA is a subsidiary of Egersund Group AS.",Klepp Stasjon,47 51 77 85 00,Norway,[],http://www.akvagroup.com,1,Plogfabrikkvegen 11,,Farm & Heavy Construction Machinery,64,63.2,61.97286,0.03125,,,64,,2327,,64,62.08,2,63.2,,2327,,,,2,1582502400,0.642441,,,62,2,NOK,,3663,,,,2115378304,,,6175,0.71058077,62,63,,49600,3663,83,11.13438,,,41.3,62.2,False,0.0308,34200,64,OSL,AKVA GROUP ASA,AKVA Group ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKVA.OL,finmb_162314,no_market,,1.118,,-0.00014,25.687,-0.17737794,,5.73,,33156400,,,31.171,,,,1577750400,0.13203,-422000,-0.014,,0.06933558,2.0467741,0.7511,1640908800,1585612800,,,8065299,3328070912,,,,,,-0.417,,,,,,,,https://logo.clearbit.com/akvagroup.com,,1444,,,,,
ASC,0250,Financial Services,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1,Munkedamsveien 45 East,,Capital Markets,4.495,4.495,3.8036427,0.04894327,0.8062,,4.495,,202482,,4.495,4.2564287,0.22,4.495,,202482,,,,0.22,1588118400,0.98372,,,4.365,4,NOK,9.542484,303500,,,,1931155200,,,501544,1.3663672,4.365,4.415,,185000,303500,4.58,10.186047,,10.49,2.69,4.38,False,0.048899997,340000,4.495,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ASC.OL,finmb_2972520,no_market,,1.087,,0.17288,,0.24687934,,0.43,,440903008,,,1.493,,,,1577750400,0.19143,244343008,0.459,,0.06933558,2.9336905,0.18238,1640908800,1593475200,,,348806080,1536175744,,,,,,0.229,,,,,,,,https://logo.clearbit.com/abgsc.com,7th floor,275,,,,,
ANDF-ME,8400,Consumer Defensive,"Andfjord Salmon AS operates a fish farm. It operates a closed sea facility for organic salmon farming. The company was founded in 2014 and is headquartered in Sortland, Norway.",Sortland,,Norway,[],http://www.andfjordsalmon.com,1,Havnegata 19,,Farm Products,59.7,59.7,,,0,,59.7,,,,59.7,,,59.7,,,,,,,,,,,57,2,NOK,,42930,,,,1970389760,,,,1196.6915,57,58.9,,,42930,59.7,,,,57,58.6,False,,,59.7,OSL,ANDFJORD SALMON AS,Andfjord Salmon AS,Europe/Oslo,CEST,False,7200000,EQUITY,ANDF-ME.OL,finmb_570862527,no_market,,1082.28,,0,-222.46,,,,,,,,4.914,,,,1577750400,,-6394534,-0.214,,0.06933558,11.925112,,1640908800,,,,,1782007936,,,,,,,,,,,,,,https://logo.clearbit.com/andfjordsalmon.com,8402 Sortland,,,,,,
