ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
2020,2020 Bulkers,Industrials,52.8,52.8,53.4,40,,1170.62,-0.0149,-0.06709999999999999,-0.102,-0.3924,-0.3074
FIVEPG,5th Planet Games,Communication services,1.96,1.96,1.96,1027,LP,208.38,-0.07980000000000001,0.4412,0.1791,5.7101,1.8525999999999998
AASB-ME,Aasen Sparebank,Equity certificates,114.0,108.0,114.0,4,LP,115.59,,0.0364,,-0.051399999999999994,0.028300000000000002
ASC,ABG Sundal Collier Holding,Financials,4.38,4.38,4.43,111,,1931.16,-0.0256,-0.026699999999999998,0.0429,0.1641,0.3362
ADE,Adevinta,Communication services,136.0,136.0,136.4,3834,,93140.89,-0.0355,0.1826,0.3668,0.3077,0.5028
ADSC-ME,ADS Crude Carriers,Energy,18.55,18.2,18.55,44,,433.89,0.0027,-0.010700000000000001,-0.0364,-0.2376,0.1079
AEGA,Aega,Utilities,1.26,1.26,1.31,224,,60.54,0.07690000000000001,0.008,0.05,0.0862,0.011399999999999999
AFG,AF Gruppen,Industrials,179.2,177.6,179.2,79,,18817.61,-0.0067,-0.009899999999999999,0.037000000000000005,0.055999999999999994,0.11900000000000001
AKA,Akastor,Energy,5.56,5.52,5.56,109,,1510.15,-0.0414,0.0109,0.1054,-0.44060000000000005,-0.5174
AKER,Aker,Financials,386.8,386.8,387.0,1206,,28727.05,-0.0208,-0.044500000000000005,0.0642,-0.2669,-0.1905
AKBM-ME,Aker BioMarine,Consumer staples,90.5,90.5,92.7,526,,7926.54,-0.042300000000000004,-0.0524,,,
AKERBP,Aker BP,Energy,184.0,183.6,184.0,3624,,66168.89,0.0,-0.0011,-0.0126,-0.33990000000000004,-0.2409
AKSO,Aker Solutions,Energy,14.54,14.54,14.61,3352,,3954.05,-0.026099999999999998,0.0613,0.4717,-0.4118,-0.5081
AKVA,AKVA Group,Industrials,63.8,62.2,63.8,10,LP,2112.19,-0.0031,-0.0031,0.022400000000000003,-0.1258,-0.1557
AMSC,American Shipping Company,Industrials,27.1,27.1,27.25,91,,1642.71,-0.0181,-0.0109,0.0711,-0.1272,-0.12240000000000001
ANDF-ME,Andfjord Salmon,Consumer staples,58.6,58.0,58.6,71,,1974.86,-0.0184,0.0051,-0.0085,,
ABT,Aqua Bio Technology,Materials,4.7,4.72,4.74,42,LP,72.17,-0.048600000000000004,-0.028900000000000002,-0.0562,1.0085,0.9582999999999999
AQUA,AqualisBraemar,Energy,4.5,4.4,4.48,10,,316.42,-0.0385,0.0321,0.18420000000000003,0.2177,0.2465
ARCHER,Archer,Energy,2.19,2.17,2.22,40,,323.98,0.0069,0.0046,-0.0641,-0.31129999999999997,-0.5229
AZT,ArcticZymes Technologies,Health care,41.9,41.8,41.9,515,,2025.22,-0.052000000000000005,0.022000000000000002,0.35600000000000004,7.8211,9.634500000000001
ARCUS,Arcus,Consumer staples,41.0,40.8,41.0,71,,2779.83,-0.0049,0.0276,0.048600000000000004,0.1707,0.1804
AFK,Arendals Fossekompani,Industrials,2900.0,2900.0,2960.0,12,,6349.32,-0.0068000000000000005,0.028399999999999998,0.09849999999999999,0.12689999999999999,0.1356
ASETEK,Asetek,Information technology,62.8,62.1,62.8,158,,1585.60,0.0048,-0.0655,0.1018,1.0258,1.4154
ATEA,Atea,Information technology,107.0,106.8,107.0,261,,11767.13,0.0,-0.009300000000000001,0.0711,-0.168,-0.048499999999999995
ATLA NOK,Atlantic Petroleum,Energy,6.94,6.96,7.26,3,,25.66,0.0358,,0.0146,-0.1159,
ASA,Atlantic Sapphire,Consumer staples,117.0,117.0,117.5,313,,8340.47,-0.028999999999999998,-0.064,-0.1613,-0.09300000000000001,0.1723
AURG,Aurskog Sparebank,Equity certificates,192.0,187.0,192.0,0,LP,617.12,,,0.0105,0.0738,0.1436
AUSS,Austevoll Seafood,Consumer staples,78.1,78.1,78.3,443,,15762.46,-0.013300000000000001,-0.024399999999999998,0.059699999999999996,-0.1045,-0.1703
AVANCE,Avance Gas Holding,Energy,19.75,19.74,19.81,515,,1257.21,0.0005,0.0384,0.157,-0.5587,-0.1902
AWDR,Awilco Drilling,Energy,3.3,3.23,3.35,17,,180.12,0.0154,-0.023700000000000002,-0.1646,-0.7870999999999999,-0.8711
ALNG,Awilco LNG,Energy,1.15,1.12,1.15,12,,152.43,-0.0254,0.0132,-0.11539999999999999,-0.6406000000000001,-0.6966
AXA,Axactor,Financials,7.02,7.02,7.04,976,,1301.48,-0.0317,0.0248,0.075,-0.6305,-0.6204999999999999
AGS,Axxis Geo Solutions,Energy,1.07,1.05,1.07,93,,62.94,0.019,0.009399999999999999,0.3932,-0.14400000000000002,-0.9405
AYFIE-ME,ayfie Group,Information technology,2.45,2.45,2.5,119,,260.21,-0.08529999999999999,-0.1402,,,
B2H,B2Holding,Financials,4.97,4.97,4.97,352,,2035.32,-0.034,0.10460000000000001,0.2666,-0.4804,-0.5262
BAKKA,Bakkafrost,Consumer staples,559.5,559.5,560.0,937,,33073.45,-0.0009,-0.0132,-0.0387,-0.1392,0.08539999999999999
BALT-ME,Baltic Sea Properties,Real estate,30.0,24.0,32.2,1,,200.03,,,,0.0345,-0.1176
BEL,Belships,Industrials,6.6,6.55,6.75,4,LP,1502.34,,-0.0075,-0.0704,-0.0897,-0.0297
BGBIO,BerGenBio,Health care,37.5,37.5,37.6,802,,3272.25,-0.036000000000000004,-0.0079,-0.1458,0.5481,1.8132
BSP-ME,Black Sea Property,Consumer discretionary,2.6,2.08,2.6,0,,43.27,,,0.015600000000000001,-0.5556,-0.9837
BON,Bonheur,Industrials,213.0,212.5,213.5,198,,9059.29,-0.004699999999999999,-0.004699999999999999,-0.0739,0.092,0.1747
BOR,Borgestad,Materials,17.95,17.3,17.8,11,LP,228.27,0.0316,0.0466,0.6544,-0.1025,0.2869
BDRILL,Borr Drilling,Energy,8.85,8.85,8.9,553,,1389.20,-0.042199999999999994,-0.0323,-0.3166,-0.8832,-0.897
BRG,Borregaard,Materials,121.2,121.2,121.6,375,,12070.69,-0.0066,0.0484,0.1456,0.3053,0.31920000000000004
BOUVET,Bouvet,Information technology,520.0,520.0,524.0,110,,5329.76,-0.0335,-0.0441,0.0766,0.3618,0.7267
BRA-ME,BRAbank,Financials,0.39,0.39,0.39,2,,245.36,-0.0051,0.0262,0.11359999999999999,-0.1515,-0.7387
BWE,BW Energy Limited,Energy,17.34,16.97,17.34,232,,4062.84,-0.0313,-0.021400000000000002,-0.0473,,
BWLPG,BW LPG,Energy,36.44,36.14,36.44,1903,,5032.24,-0.0044,0.0388,0.28850000000000003,-0.43729999999999997,0.0682
BWO,BW Offshore Limited,Energy,32.38,32.38,32.52,665,,5854.30,-0.0329,-0.0392,-0.0571,-0.4514,-0.26940000000000003
BMA,Byggma,Industrials,105.0,100.0,105.0,0,,733.10,,,0.12300000000000001,0.1413,0.129
CARA,Carasent,Health care,20.9,20.4,20.9,147,,849.25,-0.0048,0.0048,0.07730000000000001,1.1414,1.4704
CLOUD-ME,Cloudberry Clean Energy,Utilities,10.65,10.56,10.65,165,,408.04,-0.0405,-0.0405,-0.0885,,
COV,ContextVision,Health care,244.0,241.0,244.0,300,LP,1887.77,-0.0431,-0.0506,0.1193,1.3462,2.3197
CRAYON,Crayon Group Holding,Information technology,71.3,71.3,71.5,456,,5791.74,-0.0219,0.0259,0.12279999999999999,0.3712,1.0787
DNB,DNB,Financials,144.5,144.3,144.5,3671,,225498.52,0.0,-0.013999999999999999,0.1026,-0.1189,-0.0926
DNO,DNO,Energy,6.04,6.04,6.07,1188,,5893.56,-0.0233,-0.0345,-0.0302,-0.4778,-0.5811999999999999
DOF,DOF,Energy,0.58,0.57,0.58,26,,176.96,-0.0069,-0.0527,-0.0304,-0.6338,-0.8440000000000001
EAM,EAM Solar,Utilities,13.1,12.8,12.95,22,,89.76,-0.0187,-0.026000000000000002,-0.1267,0.1197,-0.5467
EIOF,Eidesvik Offshore,Energy,3.32,3.2,3.3,18,,206.34,0.012199999999999999,0.0,-0.0405,-0.3664,-0.4276
EMGS,Electromagnetic Geoservices,Energy,0.75,0.74,0.75,59,,97.57,-0.07339999999999999,-0.1024,-0.20739999999999997,-0.6435,-0.7612000000000001
ELE,Element,Materials,5.0,4.87,5.0,151,,94.49,-0.011899999999999999,-0.015700000000000002,-0.1625,-0.0958,2.127
ELK,Elkem,Materials,16.95,16.9,16.95,787,,9853.21,-0.009899999999999999,-0.1195,-0.19820000000000002,-0.2922,-0.2722
ELOP-ME,ELOP,Information technology,4.95,4.95,5.0,232,,348.00,-0.060700000000000004,-0.057300000000000004,,,
EMAS,EMAS Offshore,Energy,0.29,,,0,,127.15,,,,,
ENDUR,Endúr,Energy,1.41,1.41,1.43,87,LP,399.16,-0.006999999999999999,-0.0537,-0.1845,0.23550000000000001,-0.1115
ENTRA,Entra,Real estate,124.0,124.0,124.3,1486,,22571.29,-0.0236,-0.035,-0.026699999999999998,-0.1286,-0.0151
EPIC-ME,Epic Gas,Energy,13.4,13.1,13.8,0,LP,1428.66,,,-0.0429,-0.08220000000000001,-0.0759
EQNR,Equinor,Energy,144.5,144.5,144.65,14307,,465487.41,0.046,0.023700000000000002,0.0144,-0.1469,-0.0661
EPR,Europris,Consumer discretionary,44.72,44.5,44.72,1063,,7415.41,-0.0058,-0.027000000000000003,-0.0009,0.3649,0.8539
EXTX-ME,EXACT Therapeutics,Health care,8950.0,9100.0,9800.0,3,,268211.36,0.0287,0.052300000000000006,,,
FJORD,Fjord1,Industrials,45.3,45.0,45.3,38,,4525.16,0.0067,0.011200000000000002,0.0414,0.2377,0.1586
