ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
2020,HM11,Industrials,4,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,Marine Shipping,2nd Floor 9 Par-la-Ville Road,53.8,54.4,56.77664,0.0030669146,2.2674,,57.6,,10382,,53.8,54.52353,0.165,54.4,,10382,,,,1.86,1581552000,1.07216,,,54.4,2,NOK,914.7541,24845,,,,1237136256,,,30604,73.20333,54.4,56.8,,,24845,93.8,,,,39,56,False,0.0346,,57.6,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,81.349,,0.07692,,-0.2987013,,,,22170900,,,6.184,,,,1577750400,0.19871001,1300000,0.061,,0.07987571,9.023286,0.57717997,1640908800,1585612800,,,9024667,1374794752,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,,,,,,
AASB-ME,7630,Financial Services,,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Asen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,Banks—Regional,,114,114,121.11679,0.07017544,1.0156,,114,,18,,114,113.76471,8,114,,18,,,,8,1583798400,0.401681,,,114,2,NOK,3.0497591,100,,,,115585744,,,41,1.1200169,114,136,,,100,153,,,,105,0,False,0.070199996,,114,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.072,,0.36725,,-0.042016804,,,,1013910,,,485.692,,,,1577750400,0,37900000,37.38,,0.07987571,0.23471665,0,1640908800,1585612800,,,553343,729858112,,,,,,-0.328,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 01,,,,,
FIVEPG,1123,Communication Services,16,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,Electronic Gaming & Multimedia,,1.95,1.96,1.135098,,0,,2.07,,5120055,,1.95,1.8106009,,1.96,,5120055,,,,,,2.679069,,,1.96,4,NOK,,880530,,,,151825920,,,6460612,,1.96,1.99,,0,880530,3.8,,,,0.25,1.97,False,,0,2.07,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.2682927,,,,77462200,,,0.174,,,,1577750400,0,,-0.118,,0.07987571,11.264368,0.50402,1640908800,1577750400,,,41707742,99948976,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,
AEGA,274,Utilities,2,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,Utilities—Renewable,,1.3,1.3,1.2230657,0.0030769233,,,1.34,,177711,,1.3,1.2055882,0.004,1.3,,177711,,,,0.04,1591142400,-0.703488,,,1.29,4,NOK,,28388,,,,61985532,,,55052,,1.29,1.3,,394100,28388,1.85,,,,1.05,1.29,False,0.0308,60000,1.34,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.12162167,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.07987571,7.8181815,0.46798,1640908800,1585612800,,,24350240,62466084,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,
ADSC-ME,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1,OSM House,Marine Shipping,22 Amathountos Agios Tychonas,18.4,18.35,22.80657,,0.4088,,18.4,,24624,,18.4,19.241177,,18.35,,24624,,,,4.21,1591228800,,,,18,2,NOK,,53178,,,,428042464,,,117622,,18,18.3,,,53178,33.4,,,,16.1,18.2,False,0.2282,,18.4,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.11298072,,,,23390300,,,,,,,,0.09734,,,,0.07987571,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,,,,,
AKERBP,1366,Energy,1703,"Aker BP ASA engages in the exploration, development, and production of oil and gas on the Norwegian Continental Shelf. The company has working interests in 42 fields/projects. As of December 31, 2019, its total net proven reserves were 666 million barrels of oil equivalents; and estimated total net proven plus probable reserves were 906 million barrels of oil equivalents. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",Fornebu,47 51 35 30 00,Norway,[],http://www.akerbp.com,1,Building B,Oil & Gas E&P,Fornebuporten OksenOeyveien 10 Lysaker,180.9,180,189.2624,0.010105031,,,180,,830051,,180.9,182.23383,1.828,180,,830051,,,,7.41,1596153600,1.654069,,,175.7,2,NOK,,488609,,,,64298987520,,,1602985,20.98705,175.7,178.9,,,488609,297.9,,,,89.42,178.8,False,0.041100003,,180,OSL,AKER BP ASA,Aker BP ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKERBP.OL,finmb_9048461,no_market,,22.495,,-0.031630002,31.454,-0.28432536,,1.7,,359614016,,,5.317,,,,1577750400,0.16023001,-96917000,-0.269,,0.07987571,33.627987,0.70299006,1640908800,1593475200,,,106384610,68917633024,,1261526400,1:1,,,1.715,,,,,,,,https://logo.clearbit.com/akerbp.com,,,,,,
AKVA,4353,Industrials,1444,"AKVA Group ASA develops, designs, manufactures, assembles, sells, and installs technology products; and provides rental and consulting services for the aquaculture industry. The company operates through three segments: Cage Based Technology, Software, and Land Based Technology. The Cage Based Technology segment offers plastic cages, steel cages, feed barges, feed systems, sensor and camera systems, biomass estimation systems, underwater lights, net cleaning systems, and nets and mooring systems under the Polarcirkel, Wavemaster, and Akvasmart hardware brands. This segment also supplies polyethylene work boats, pipes, ROV's, and subsea solutions to aquaculture, oil service, and maritime industries. The Software segment provides production control, planning, traceability, and ERP software for the aquaculture and fishing industries under the Fishtalk brand. This segment also operates AKVAconnect, a process control platform that enables real-time control of various mission critical equipment, such as feeding systems, environmental sensors, barges, and cameras installed on-site at the farmer's locations. The Land Based Technology segment designs and delivers recirculation systems for land based fish farming, as well as provides water quality conditions for fresh and seawater operations. The company also offers PRISMA, a cloud-based data platform for the aquaculture eco-system. AKVA group ASA operates in Norway, Chile, Canada, Scotland, Denmark, and internationally. The company is based in Klepp Stasjon, Norway. AKVA Group ASA is a subsidiary of Egersund Group AS.",Klepp Stasjon,47 51 77 85 00,Norway,[],http://www.akvagroup.com,1,Plogfabrikkvegen 11,Farm & Heavy Construction Machinery,,63,62.2,61.548904,0.031746034,,,63,,2538,,63,62.382355,2,62.2,,2538,,,,2,1582502400,0.642441,,,62.2,2,NOK,,1488,,,,2068959360,,,6099,0.6949881,62.2,63,,49600,1488,83,10.890053,,,41.3,62.2,False,0.0317,34200,63,OSL,AKVA GROUP ASA,AKVA Group ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKVA.OL,finmb_162314,no_market,,1.107,,-0.00014,25.432,-0.18604654,,5.73,,33156400,,,31.171,,,,1577750400,0.13203,-422000,-0.014,,0.07987571,2.0018609,0.7511,1640908800,1585612800,,,8065299,3294914560,,,,,,-0.417,,,,,,,,https://logo.clearbit.com/akvagroup.com,,,,,,
ABT,1366,Healthcare,,"Aqua Bio Technology ASA engages in developing and commercializing active ingredients for use in skin care products in Norway. It offers Aquabeautine XL, a proprietary ingredient; and Spirulysat, an antioxidant for cosmetic use. The company also markets and distributes natural and skin care products to consumers, retailers, and professionals in Europe and the Middle East. It distributes its products through Internet, stores, and skin care clinics. The company markets and distributes organic skin care products under the Moana brand name in New Zealand and arctic skin care products under the Cuvget brand name in Norway. Aqua Bio Technology ASA was founded in 2000 and is based in Lysaker, Norway.",Lysaker,,Norway,[],http://www.aquabiotechnology.com,1,Fornebuveien 37,Biotechnology,,4.8,4.8,3.022117,0.20833333,0,,4.8,,35373,,4.8,4.922647,1,4.8,,35373,,,,,1496880000,1.24593,,,4.8,4,NOK,,3403,,,,73705920,,,156120,56.907417,4.8,4.8,,320000,3403,7.55,-8.888889,,,1.25,4.72,False,,330000,4.8,OSL,AQUA BIO TECHNOLOG,Aqua Bio Technology ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ABT.OL,finmb_39453852,no_market,,51.599,,0,-5.139,0.9411763,,-0.54,,15355400,,,0.477,,,,1577750400,0.02359,-13215518,-1.03,,0.07987571,10.062894,0.80484,1640908800,1577750400,,,1905450,66830220,,1309132800,1:20,,,,,,,,,,,https://logo.clearbit.com/aquabiotechnology.com,,,,,,
ADE,0159,Communication Services,3564,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1,Grensen 5,Internet Content & Information,,143.3,143,101.43248,,0,,150.3,,1090513,,143.3,106.391174,,143,,1090513,,,,,,,,,140.4,2,NOK,,158506,,,,101633220608,,,374614,,140.4,148,,,158506,160.2,,,,66.7,147.6,False,,,150.3,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.4700508,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.07987571,,0.66005,1640908800,1593475200,,,223708700,94844002304,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,
ANDF-ME,8400,Consumer Defensive,,"Andfjord Salmon AS operates a fish farm. It operates a closed sea facility for organic salmon farming. The company was founded in 2014 and is headquartered in Sortland, Norway.",Sortland,,Norway,[],http://www.andfjordsalmon.com,1,Havnegata 19,Farm Products,8402 Sortland,57.8,58.99,,,0,,58.99,,,,57.8,,,58.99,,,,,,,,,,,57.61,2,NOK,,15871,,,,,,,,,57.61,57.9,,,15871,58.99,,,,57.61,57.5,False,,,58.99,OSL,ANDFJORD SALMON AS,Andfjord Salmon AS,Europe/Oslo,CEST,False,7200000,EQUITY,ANDF-ME.OL,finmb_570862527,no_market,,1061.415,,0,-218.171,,,,,33624400,,,4.914,,,,1577750400,,-6394534,-0.214,,0.07987571,11.723647,,1640908800,,,,,1747652352,,,,,,,,,,,,,,https://logo.clearbit.com/andfjordsalmon.com,,,,,,
