ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fax,address2,trailingPE,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
2020,2020 Bulkers,Industrials,56.6,56.2,57.0,39,,1254.87,-0.006999999999999999,0.056,0.076,-0.34869999999999995,-0.2478,HM11,Industrials,4.0,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,Marine Shipping,57.0,57.0,56.755074,0.002894737,2.2674,,57.2,,9349.0,,57.0,54.588234,0.165,57.0,,9349.0,,,,1.86,1581552000.0,1.07216,,,56.0,2.0,NOK,9766.0,,,,1254872960.0,,,30411.0,74.25284,56.0,57.0,,,9766.0,93.8,,,,39.0,56.2,False,0.0346,,57.2,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,85.54700000000001,,0.07692,,-0.28266668,,,,22170900.0,,,6.184,,,,1577750400.0,0.19871001,1300000.0,0.061,,0.103224516,9.152652,0.57717997,1640908800.0,1585612800.0,,,9024667.0,1445741696.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,,2nd Floor 9 Par-la-Ville Road,927.8688400000001,,,,,
FIVEPG,5th Planet Games,Communication services,2.0,2.0,2.02,190,LP,212.64,-0.0196,-0.061,0.2265,5.847,1.9865,1123,Communication Services,16.0,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,Electronic Gaming & Multimedia,2.04,2.07,1.1410031,,0.0,,2.07,,4895323.0,,2.04,1.7994244,,2.07,,4895323.0,,,,,,2.6790689999999997,,,1.985,4.0,NOK,517446.0,,,,154924400.0,,,6272771.0,,1.985,2.02,,0.0,517446.0,3.8,,,,0.25,2.0,False,,0.0,2.07,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.2517321000000001,,,,77462200.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.103224516,11.494253,0.50402,1640908800.0,1577750400.0,,,41707742.0,104785216.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,114.0,110.0,117.0,0,LP,115.59,,,-0.0087,-0.0514,0.0283,7630,Financial Services,,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Asen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,Banks—Regional,114.0,114.0,121.06521599999999,0.07017544,1.0156,,114.0,,32.0,,114.0,113.73528999999999,8.0,114.0,,32.0,,,,8.0,1583798400.0,0.401681,,,114.0,2.0,NOK,100.0,,,,115585744.0,,,42.0,1.1200169,114.0,136.0,,,100.0,153.0,,,,105.0,0.0,False,0.070199996,,114.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.072,,0.36725,,-0.042016804000000005,,,,1013910.0,,,485.69199999999995,,,,1577750400.0,0.0,37900000.0,37.38,,0.103224516,0.23471665,0.0,1640908800.0,1585612800.0,,,553343.0,729858112.0,,,,,,-0.32799999999999996,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 01,,3.0497591,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.2,4.2,4.23,50,,1852.11,-0.0187,-0.06559999999999999,0.047400000000000005,0.1163,0.3027,0250,Financial Services,275.0,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,Capital Markets,4.28,4.28,3.8080072,0.051401865,0.8062,,4.295,,167026.0,,4.28,4.281471,0.22,4.28,,167026.0,,,,0.22,1588118400.0,0.98372,,,4.2,4.0,NOK,121594.0,,,,1851792512.0,,,475363.0,1.3102151000000002,4.2,4.245,,185000.0,121594.0,4.58,9.767441,,10.49,2.69,4.215,False,0.0514,340000.0,4.295,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.02,,0.17288,,0.23579538,,0.43,,440903008.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.103224516,2.8131277999999997,0.18238,1640908800.0,1593475200.0,,,348806080.0,1441462144.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,,7th floor,9.150327,,,,,
ADE,Adevinta,Communication services,151.0,150.9,151.3,1345,,103413.79,0.0216,0.073,0.5901,0.4548,0.5679,0159,Communication Services,3564.0,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,Internet Content & Information,148.1,149.7,101.73586999999999,,0.0,,153.9,,977841.0,,148.1,107.54706000000002,,149.7,,977841.0,,,,,,,,,147.1,2.0,NOK,189947.0,,,,103413866496.0,,,375215.0,,147.1,151.3,,,189947.0,160.2,,,,66.7,150.9,False,,,153.9,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.43013978,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.103224516,,0.66005,1640908800.0,1593475200.0,,,223708700.0,93861502976.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,18.3,18.3,18.4,12,,428.04,-0.0054,-0.0108,-0.0469,-0.2479,0.041,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,Marine Shipping,18.4,18.5,22.774637,,0.4088,,18.5,,22924.0,,18.4,19.155882000000002,,18.5,,22924.0,,,,4.21,1591228800.0,,,,18.3,2.0,NOK,6900.0,,,,428042464.0,,,111423.0,,18.3,18.4,,,6900.0,33.4,,,,16.1,18.3,False,0.2288,,18.5,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.11538458,,,,23390300.0,,,,,,,,0.09734,,,,0.103224516,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,22 Amathountos Agios Tychonas,,,,,,
AEGA,Aega,Utilities,1.32,1.25,1.34,14,,63.43,0.0233,0.1282,0.08199999999999999,0.1379,0.0739,274,Utilities,2.0,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,Utilities—Renewable,1.29,1.35,1.2236232,0.0031007753999999998,,,1.35,,163535.0,,1.29,1.2094117,0.004,1.35,,163535.0,,,,0.04,1591142400.0,-0.703488,,,1.32,4.0,NOK,18854.0,,,,63427060.0,,,51580.0,,1.32,1.34,,394100.0,18854.0,1.85,,,,1.05,1.25,False,0.0308,60000.0,1.35,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.15032679,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.103224516,8.0,0.46798,1640908800.0,1585612800.0,,,24350240.0,61985576.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,,
AFG,AF Gruppen,Industrials,175.8,175.2,175.8,33,,18460.58,0.0046,-0.0255,0.0046,0.036000000000000004,0.0977,0663,Industrials,5526.0,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,Engineering & Construction,175.0,174.2,167.22754,0.054285713,1.0266,,176.2,,7860.0,,175.0,176.74118,9.5,174.2,,7860.0,,,,12.0,1589760000.0,0.43662700000000004,,,174.2,2.0,NOK,3070.0,,,,18460581888.0,,,20260.0,0.77053934,174.2,175.8,,178000.0,3070.0,185.0,20.953516,,5.42,124.5,175.2,False,0.0686,52100.0,176.2,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.8029999999999999,,0.03506,14.767999999999999,0.034808278,,8.39,,105009000.0,,,22.213,,,,1577750400.0,0.14407,840000000.0,8.257,,0.103224516,7.9142847000000005,0.60915,1640908800.0,1585612800.0,,,40215335.0,19228493824.0,,1263772800.0,5:1,,,-0.1,,,,,,,,https://logo.clearbit.com/afgruppen.com,,,21.291027,,,,,
AKA,Akastor,Energy,5.86,5.92,5.98,97,,1591.63,-0.0362,0.0103,0.2058,-0.4105,-0.4887,1366,Energy,2112.0,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",Barum,47 21 52 58 00,Norway,[],http://akastor.com,1.0,Building B,Oil & Gas Equipment & Services,6.08,6.0,5.8188405,,0.0,,6.15,,568598.0,,6.08,5.1408825,,6.0,,568598.0,,,,,1397174400.0,1.273837,,,5.8,2.0,NOK,188151.0,,,,1591634560.0,,,465109.0,0.28105855,5.8,5.96,,52200.0,188151.0,12.4,14.650001000000001,,,3.52,5.92,False,,227000.0,6.15,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.695,,-0.0498,12.663,-0.48898304,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.103224516,0.39448,0.51141,1640908800.0,1593475200.0,,,136612714.0,3938285824.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,,Oksenoyveien 10 Lysaker,,,,,,
AKER,Aker,Financials,385.0,385.0,385.8,402,,28593.37,-0.005699999999999999,-0.0253,0.1331,-0.2703,-0.1647,1366,Energy,21865.0,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1.0,Oksenoyveien 10,Oil & Gas Equipment & Services,387.2,389.0,357.5797,0.058109503,0.0,,390.4,,100852.0,,387.2,365.24707,22.5,389.0,,100852.0,,,,11.75,1595289600.0,1.701744,,,383.0,2.0,NOK,29532.0,,,,28591177728.0,,,221102.0,0.60694116,383.0,385.6,,111700.0,29532.0,566.0,14.666667000000002,,,182.2,385.2,False,0.030299998999999998,108400.0,390.4,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.861,,-0.08871,34.294000000000004,-0.17834395,,26.25,,74262800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.103224516,1.5312290000000002,0.70268,1640908800.0,1593475200.0,,,67703874.0,87655538688.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,47 24 13 01 01,,,,,,,
