ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fax,address2,trailingPE,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
ADE,0159,Communication Services,3564,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1,Grensen 5,Internet Content & Information,148.1,149.7,101.73587,,0,,153.9,,977841,,148.1,107.54706,,149.7,,977841,,,,,,,,,147.1,2,NOK,189947,,,,103413866496,,,375215,,147.1,151.3,,,189947,160.2,,,,66.7,150.9,False,,,153.9,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.43013978,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.103224516,,0.66005,1640908800,1593475200,,,223708700,93861502976,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,,,
AKBM-ME,1327,Healthcare,,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerbiomarine.com,1,Oksenoyveien 10,Drug Manufacturers—Specialty & Generic,90.7,91,,,,,91,,,,90.7,,,91,,,,,,,,,,,88,2,NOK,14417,,,,,,,,,88,89,,,14417,91,,,,88,88.53,False,,,91,OSL,AKER BIOMARINE AS,Aker BioMarine ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,40.543,,-0.00658,190.637,,,,,,,,2.589,,,,1546214400,,-1022000,-0.015,,0.103224516,34.194668,,1609372800,1514678400,,,14611039,6297683456,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,47 24 13 01 10,PO Box 496,,,,,,
ADSC-ME,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1,OSM House,Marine Shipping,18.4,18.5,22.774637,,0.4088,,18.5,,22924,,18.4,19.155882,,18.5,,22924,,,,4.21,1591228800,,,,18.3,2,NOK,6900,,,,428042464,,,111423,,18.3,18.4,,,6900,33.4,,,,16.1,18.3,False,0.2288,,18.5,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.11538458,,,,23390300,,,,,,,,0.09734,,,,0.103224516,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,22 Amathountos Agios Tychonas,,,,,,
AKERBP,1366,Energy,1703,"Aker BP ASA engages in the exploration, development, and production of oil and gas on the Norwegian Continental Shelf. The company has working interests in 42 fields/projects. As of December 31, 2019, its total net proven reserves were 666 million barrels of oil equivalents; and estimated total net proven plus probable reserves were 906 million barrels of oil equivalents. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",Fornebu,47 51 35 30 00,Norway,[],http://www.akerbp.com,1,Building B,Oil & Gas E&P,179.6,178.95,189.20181,0.010178173,,,180.1,,796543,,179.6,182.14706,1.828,178.95,,796543,,,,7.41,1596153600,1.654069,,,176.5,2,NOK,231013,,,,63993311232,,,1578705,20.887276,176.5,177.7,,,231013,297.9,,,,89.42,177.55,False,0.040900003,,180.1,OSL,AKER BP ASA,Aker BP ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKERBP.OL,finmb_9048461,no_market,,22.342,,-0.031630002,31.24,-0.2702703,,,,359614016,,,5.317,,,,1577750400,0.16023001,-96917000,-0.269,,0.103224516,33.46812,0.70299006,1640908800,1593475200,,,106384610,68450140160,,1261526400,1:1,,,1.715,,,,,,,,https://logo.clearbit.com/akerbp.com,,Fornebuporten OksenOeyveien 10 Lysaker,,,,,,
AASB-ME,7630,Financial Services,,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Asen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,Banks—Regional,114,114,121.065216,0.07017544,1.0156,,114,,32,,114,113.73529,8,114,,32,,,,8,1583798400,0.401681,,,114,2,NOK,100,,,,115585744,,,42,1.1200169,114,136,,,100,153,,,,105,0,False,0.070199996,,114,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.072,,0.36725,,-0.042016804,,,,1013910,,,485.692,,,,1577750400,0,37900000,37.38,,0.103224516,0.23471665,0,1640908800,1585612800,,,553343,729858112,,,,,,-0.328,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 01,,3.0497591,,,,,
AEGA,274,Utilities,2,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,Utilities—Renewable,1.29,1.35,1.2236232,0.0031007754,,,1.35,,163535,,1.29,1.2094117,0.004,1.35,,163535,,,,0.04,1591142400,-0.703488,,,1.32,4,NOK,18854,,,,63427060,,,51580,,1.32,1.34,,394100,18854,1.85,,,,1.05,1.25,False,0.0308,60000,1.35,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.15032679,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.103224516,8,0.46798,1640908800,1585612800,,,24350240,61985576,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,,
FIVEPG,1123,Communication Services,16,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,Electronic Gaming & Multimedia,2.04,2.07,1.1410031,,0,,2.07,,4895323,,2.04,1.7994244,,2.07,,4895323,,,,,,2.679069,,,1.985,4,NOK,517446,,,,154924400,,,6272771,,1.985,2.02,,0,517446,3.8,,,,0.25,2,False,,0,2.07,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.2517321,,,,77462200,,,0.174,,,,1577750400,0,,-0.118,,0.103224516,11.494253,0.50402,1640908800,1577750400,,,41707742,104785216,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,,
2020,HM11,Industrials,4,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,Marine Shipping,57,57,56.755074,0.002894737,2.2674,,57.2,,9349,,57,54.588234,0.165,57,,9349,,,,1.86,1581552000,1.07216,,,56,2,NOK,9766,,,,1254872960,,,30411,74.25284,56,57,,,9766,93.8,,,,39,56.2,False,0.0346,,57.2,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,85.547,,0.07692,,-0.28266668,,,,22170900,,,6.184,,,,1577750400,0.19871001,1300000,0.061,,0.103224516,9.152652,0.57717997,1640908800,1585612800,,,9024667,1445741696,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,,2nd Floor 9 Par-la-Ville Road,927.86884,,,,,
AMSC,1366,Industrials,3,"American Shipping Company ASA, through its subsidiaries, operates as a ship owning and lease finance company in the United States. It is involved in the purchase and bareboat chartering of product tankers, shuttle tankers, and other vessels to operators and end users in the Jones Act market. The company operates a fleet of nine product tankers and one shuttle tanker. The company was formerly known as Aker American Shipping ASA and changed its name to American Shipping Company ASA in June 2008. American Shipping Company ASA was founded in 2005 and is headquartered in Lysaker, Norway.",Lysaker,,Norway,[],http://www.americanshippingco.com,1,Building B,Marine Shipping,27.2,27.3,26.168695,0.011764705,1.9914999,,27.3,,43390,,27.2,26.063234,0.32,27.3,,43390,,,,3.21,1590451200,0.968023,,,27.15,2,NOK,3222,,,,1645737984,,,76629,18.679493,27.15,27.2,,114600,3222,37.5,73.37838,,11.34,15.06,27.1,False,0.1179,172600,27.3,OSL,AMER SHIPPING COMP,American Shipping Company ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AMSC.OL,finmb_22594564,no_market,,24.619,,0.10217,25.525,-0.216954,,0.37,,60616500,,,2.669,,,,1577750400,0.19708,9002000,0.149,,0.103224516,10.172349,0.28123,1640908800,1585612800,,,44026980,2169069056,,,,,,0.778,,,,,,,,https://logo.clearbit.com/americanshippingco.com,,OksenOeyveien 10,182.21475,,,,,
ABT,1366,Healthcare,,"Aqua Bio Technology ASA engages in developing and commercializing active ingredients for use in skin care products in Norway. It offers Aquabeautine XL, a proprietary ingredient; and Spirulysat, an antioxidant for cosmetic use. The company also markets and distributes natural and skin care products to consumers, retailers, and professionals in Europe and the Middle East. It distributes its products through Internet, stores, and skin care clinics. The company markets and distributes organic skin care products under the Moana brand name in New Zealand and arctic skin care products under the Cuvget brand name in Norway. Aqua Bio Technology ASA was founded in 2000 and is based in Lysaker, Norway.",Lysaker,,Norway,[],http://www.aquabiotechnology.com,1,Fornebuveien 37,Biotechnology,4.8,4.72,3.035,0.20833333,0,,4.72,,38731,,4.8,4.9538236,1,4.72,,38731,,,,,1496880000,1.24593,,,4.68,4,NOK,4418,,,,72170376,,,156727,55.721844,4.68,4.72,,320000,4418,7.55,-8.703703,,,1.25,4.7,False,,330000,4.72,OSL,AQUA BIO TECHNOLOG,Aqua Bio Technology ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ABT.OL,finmb_39453852,no_market,,51.599,,0,-5.139,1.0168066,,-0.54,,15355400,,,0.477,,,,1577750400,0.02359,-13215518,-1.03,,0.103224516,9.85325,0.80484,1640908800,1577750400,,,1905450,66830220,,1309132800,1:20,,,,,,,,,,,https://logo.clearbit.com/aquabiotechnology.com,,,,,,,,
