ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
2020,2020 Bulkers,Industrials,56.6,56.6,57.0,6,,1254.87,0.0035,0.07200000000000001,0.076,-0.34869999999999995,-0.2479,HM11,Industrials,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,,Marine Shipping,56.4,57.2,56.756836,0.0029255320000000002,2.2674,,57.2,,13753.0,,56.4,54.735293999999996,0.165,57.2,,13753.0,,,,1.86,1581552000.0,1.07216,,,57.0,2.0,NOK,927.8688400000001,1052.0,,,,1254872960.0,,,30571.0,74.25284,57.0,57.0,,,1052.0,93.8,,,,39.0,56.6,False,0.0326,,57.2,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,84.76,,0.07692,,-0.24000001,,,,22170900.0,,,6.184,,,,1577750400.0,0.19871001,1300000.0,0.061,,0.107150316,9.152652,0.57717997,1640908800.0,1585612800.0,,,9024667.0,1432439040.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,4.0,2nd Floor 9 Par-la-Ville Road,,,,,
FIVEPG,5th Planet Games,Communication services,2.15,2.13,2.15,283,LP,228.58,0.0337,0.0969,0.3185,6.360499999999999,2.2334,1123,Communication Services,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,,Electronic Gaming & Multimedia,2.08,2.11,1.1474707,,0.0,,2.18,,4641098.0,,2.08,1.7838362,,2.11,,4641098.0,,,,,,2.6790689999999997,,,2.08,4.0,NOK,,1354962.0,,,,164994496.0,,,6221016.0,,2.08,2.14,,0.0,1354962.0,3.8,,,,0.25,2.13,False,,0.0,2.18,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.372093,,,,77462200.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.107150316,12.241381,0.50402,1640908800.0,1577750400.0,,,41707742.0,109621464.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,16.0,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,114.0,111.0,117.0,0,LP,115.59,,,-0.0087,-0.0514,0.0283,7630,Financial Services,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Asen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,47 74 08 63 01,Banks—Regional,114.0,114.0,121.01438999999999,0.07017544,1.0156,,114.0,,27.0,,114.0,113.67647,8.0,114.0,,27.0,,,,8.0,1583798400.0,0.401681,,,114.0,2.0,NOK,3.0497591,100.0,,,,115585744.0,,,42.0,1.1200169,114.0,136.0,,,100.0,153.0,,,,105.0,111.0,False,0.070199996,,114.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.072,,0.36725,,-0.042016804000000005,,,,1013910.0,,,485.69199999999995,,,,1577750400.0,0.0,37900000.0,37.38,,0.107150316,0.23471665,0.0,1640908800.0,1585612800.0,,,553343.0,729858112.0,,,,,,-0.32799999999999996,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.17,4.17,4.19,39,,1838.88,0.0097,-0.0479,0.039900000000000005,0.1083,0.2898,0250,Financial Services,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,,Capital Markets,4.13,4.13,3.8114027999999998,0.053268764,0.8062,,4.2,,162880.0,,4.13,4.2854410000000005,0.22,4.13,,162880.0,,,,0.22,1588118400.0,0.98372,,,4.105,4.0,NOK,9.106753,124373.0,,,,1843292160.0,,,469832.0,1.3042008,4.105,4.17,,185000.0,124373.0,4.58,9.720930000000001,,10.49,2.69,4.15,False,0.0533,340000.0,4.2,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,0.973,,0.17288,,0.19887960000000002,,0.43,,440979008.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.107150316,2.799732,0.18238,1640908800.0,1593475200.0,,,348806080.0,1375382784.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,275.0,7th floor,,,,,
ADE,Adevinta,Communication services,145.7,145.7,146.1,1656,,99784.03,-0.0169,0.0713,0.5313,0.401,0.5052,0159,Communication Services,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,,Internet Content & Information,148.2,149.0,102.06943000000001,,0.0,,151.9,,899286.0,,148.2,108.87941000000001,,149.0,,899286.0,,,,,,,,,144.0,2.0,NOK,,207376.0,,,,98893783040.0,,,376079.0,,144.0,144.8,,,207376.0,160.2,,,,66.7,144.4,False,,,151.9,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.43786418,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.107150316,,0.66005,1640908800.0,1593475200.0,,,223708700.0,97005502464.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,3564.0,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,18.2,18.25,18.4,8,,425.7,0.0,-0.0189,-0.0521,-0.252,0.0353,4532,Industrials,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,,Marine Shipping,18.2,18.2,22.743166,,0.4088,,18.45,,29039.0,,18.2,19.085295000000002,,18.2,,29039.0,,,,4.21,1591228800.0,,,,18.2,2.0,NOK,,4455.0,,,,425703488.0,,,110673.0,,18.2,18.4,,,4455.0,33.4,,,,16.1,18.25,False,0.2288,,18.45,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.11538458,,,,23390300.0,,,,,,,,0.09734,,,,0.107150316,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,22 Amathountos Agios Tychonas,,,,,
AEGA,Aega,Utilities,1.29,1.29,1.32,15,,61.99,-0.0672,-0.0079,0.0246,0.0776,0.017,274,Utilities,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,,Utilities—Renewable,1.34,1.34,1.2241007,0.0029850746999999997,,,1.34,,146081.0,,1.34,1.2120587999999999,0.004,1.34,,146081.0,,,,0.04,1591142400.0,-0.703488,,,1.25,4.0,NOK,,31299.0,,,,61985532.0,,,51413.0,,1.25,1.32,,394100.0,31299.0,1.85,,,,1.05,1.29,False,0.031,60000.0,1.34,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.16233766,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.107150316,7.818181500000001,0.46798,1640908800.0,1585612800.0,,,24350240.0,64388116.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,2.0,,,,,,
AFG,AF Gruppen,Industrials,174.4,174.4,174.6,21,,18313.57,-0.0011,-0.0268,-0.0034,0.0277,0.0922,0663,Industrials,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,,Engineering & Construction,174.6,174.4,167.28345,0.054410078,1.0266,,174.8,,7346.0,,174.6,176.70588999999998,9.5,174.4,,7346.0,,,,12.0,1589760000.0,0.43662700000000004,,,174.4,2.0,NOK,21.169916,1852.0,,,,18355572736.0,,,19998.0,0.7661563,174.4,174.8,,178000.0,1852.0,185.0,20.834326,,5.42,124.5,174.4,False,0.0687,52100.0,174.8,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.8009999999999999,,0.03506,14.737,0.03244841,,8.39,,105009000.0,,,22.213,,,,1577750400.0,0.14407,840000000.0,8.257,,0.107150316,7.8692660000000005,0.60915,1640908800.0,1585612800.0,,,40215335.0,19187347456.0,,1263772800.0,5:1,,,-0.1,,,,,,,,https://logo.clearbit.com/afgruppen.com,5526.0,,,,,,
AKA,Akastor,Energy,6.01,6.01,6.04,105,,1632.37,0.0292,0.0791,0.2346,-0.3964,-0.4728,1366,Energy,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",Barum,47 21 52 58 00,Norway,[],http://akastor.com,1.0,Building B,,Oil & Gas Equipment & Services,5.83,5.94,5.8207192,,0.0,,6.1,,553131.0,,5.83,5.17,,5.94,,553131.0,,,,,1397174400.0,1.273837,,,5.94,2.0,NOK,,249311.0,,,,1618795520.0,,,465031.0,0.28585476,5.94,5.99,,52200.0,249311.0,12.4,14.9,,,3.52,5.96,False,,227000.0,6.1,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.6829999999999999,,-0.0498,12.445,-0.4749568,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.107150316,0.40121174,0.51141,1640908800.0,1593475200.0,,,136612714.0,3870428672.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,2112.0,Oksenoyveien 10 Lysaker,,,,,
AKER,Aker,Financials,382.6,382.6,383.2,722,,28415.12,0.0319,-0.0119,0.1249,-0.2756,-0.1562,1366,Energy,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1.0,Oksenoyveien 10,47 24 13 01 01,Oil & Gas Equipment & Services,370.4,374.0,357.79282,0.060745142,0.0,,387.0,,101436.0,,370.4,366.4294,22.5,374.0,,101436.0,,,,11.75,1595289600.0,1.701744,,,374.0,2.0,NOK,,63438.0,,,,28531769344.0,,,219197.0,0.60568005,374.0,384.2,,111700.0,63438.0,566.0,14.636191,,,182.2,383.6,False,0.0317,108400.0,387.0,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.834,,-0.08871,33.806,-0.16731179,,26.25,,74262800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.107150316,1.5280472999999999,0.70268,1640908800.0,1593475200.0,,,67703874.0,86407929856.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,21865.0,,,,,,
