ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,trailingPE,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
2020,2020 Bulkers,Industrials,56.8,56.8,57.6,27,,1259.31,0.0035,0.0558,0.0519,-0.34630000000000005,-0.2251,HM11,Industrials,4.0,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,Marine Shipping,56.6,57.0,56.033577,0.0029151945,2.2674,,57.8,,15555.0,,56.6,54.935294999999996,0.165,57.0,,15555.0,,,,1.86,1581552000.0,1.07216,,,56.8,2.0,NOK,10736.0,,,,1259307136.0,,,30052.0,74.51521,56.8,57.6,,,10736.0,93.8,,,,39.0,57.2,False,0.032899998,,57.8,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,85.022,,0.07692,,-0.24000001,,,,22170900.0,,,6.184,,,,1577750400.0,0.19871001,1300000.0,0.061,,0.14325917,9.184994,0.57717997,1640908800.0,1585612800.0,,,9024667.0,1436873216.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,2nd Floor 9 Par-la-Ville Road,931.1475,,,,,,
FIVEPG,5th Planet Games,Communication services,1.92,1.92,1.92,1200,LP,203.6,-0.0425,-0.0179,0.228,5.556,1.813,1123,Communication Services,16.0,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,Electronic Gaming & Multimedia,2.0,1.8,1.1837623,,0.0,,1.98,,2794095.0,,2.0,1.7723656000000003,,1.8,,2794095.0,,,,,,2.6790689999999997,,,1.715,4.0,NOK,6308992.0,,,,148340112.0,,,6075934.0,,1.715,1.915,,0.0,6308992.0,3.8,,,,0.25,1.91,False,,0.0,1.98,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.5609756000000001,,,,77462200.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.14325917,11.005747,0.50402,1640908800.0,1577750400.0,,,41707742.0,107472016.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,114.0,111.0,115.0,0,LP,115.59,,,,-0.0514,,7630,Financial Services,,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Asen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,Banks—Regional,114.0,114.0,120.67883,0.07017544,1.0156,,114.0,,20.0,,114.0,113.55882,8.0,114.0,,20.0,,,,8.0,1583798400.0,0.401681,,,114.0,2.0,NOK,0.0,,,,115585744.0,,,41.0,1.1200169,114.0,115.0,,,0.0,153.0,,,,105.0,0.0,False,0.070199996,,114.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.072,,0.36725,,-0.008695662,,,,1013910.0,,,485.69199999999995,,,,1577750400.0,0.0,37900000.0,37.38,,0.14325917,0.23471665,0.0,1640908800.0,1585612800.0,,,553343.0,729858112.0,,,,,,-0.32799999999999996,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,3.0497591,47 74 08 63 01,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.26,4.26,4.28,73,,1878.57,0.0035,-0.0207,0.004699999999999999,0.1322,0.3287,0250,Financial Services,275.0,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,Capital Markets,4.245,4.295,3.8083212,0.05182568,0.8062,,4.43,,224246.0,,4.245,4.293235299999999,0.22,4.295,,224246.0,,,,0.22,1588118400.0,0.98372,,,4.24,4.0,NOK,159892.0,,,,1878570624.0,,,464269.0,1.3291616000000002,4.24,4.28,,185000.0,159892.0,4.58,9.906977000000001,,10.54,2.69,4.27,False,0.051799998,340000.0,4.43,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.0090000000000001,,0.17288,,0.22189784,,0.43,,440979008.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.14325917,2.8533156,0.18238,1640908800.0,1593475200.0,,,348806080.0,1426043648.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,7th floor,9.281047000000001,,,,,,
ADE,Adevinta,Communication services,155.0,154.4,155.0,4565,,106153.22,0.0,0.0816,0.593,0.4904,0.5049,0159,Communication Services,3564.0,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,Internet Content & Information,155.0,156.7,102.52006999999999,,0.0,,156.7,,502088.0,,155.0,111.76765,,156.7,,502088.0,,,,,,,,,149.2,2.0,NOK,711448.0,,,,106153304064.0,,,380869.0,,149.2,154.9,,,711448.0,160.2,,,,66.7,154.1,False,,,156.7,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.46800005,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.14325917,,0.66005,1640908800.0,1593475200.0,,,223708700.0,96154001408.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,18.2,18.1,18.2,40,,425.7,-0.008199999999999999,-0.0109,-0.0267,-0.252,0.0452,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,Marine Shipping,18.35,18.05,22.434307,,0.4088,,18.35,,22181.0,,18.35,18.994118,,18.05,,22181.0,,,,4.21,1591228800.0,,,,18.0,2.0,NOK,42642.0,,,,425703488.0,,,102040.0,,18.0,18.2,,,42642.0,33.4,,,,16.1,18.1,False,0.2313,,18.35,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.06122452,,,,23390300.0,,,,,,,,0.09734,,,,0.14325917,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,22 Amathountos Agios Tychonas,,,,,,,
AEGA,Aega,Utilities,1.3,1.3,1.34,10,,62.47,-0.0152,0.0,0.0833,0.1207,0.016399999999999998,274,Utilities,2.0,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,Utilities—Renewable,1.32,1.39,1.2270803,0.0030303032,,,1.4,,85158.0,,1.32,1.22,0.004,1.39,,85158.0,,,,0.04,1591142400.0,-0.703488,,,1.27,4.0,NOK,8955.0,,,,62466036.0,,,51422.0,,1.27,1.35,,394100.0,8955.0,1.85,,,,1.05,1.3,False,0.0308,60000.0,1.4,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.15584415,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.14325917,7.878786999999999,0.46798,1640908800.0,1585612800.0,,,24350240.0,63427100.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,,
AFG,AF Gruppen,Industrials,178.0,177.8,178.0,78,,18691.6,0.005600000000000001,0.0148,0.0,0.049,0.1115,0663,Industrials,5526.0,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,Engineering & Construction,177.0,178.0,167.25725,0.053672317000000004,1.0266,,178.6,,6351.0,,177.0,176.82353,9.5,178.0,,6351.0,,,,12.0,1589760000.0,0.43662700000000004,,,177.6,2.0,NOK,3863.0,,,,18691602432.0,,,19396.0,0.7801821,177.6,169.2,,178000.0,3863.0,185.0,21.215733,,5.43,124.5,177.8,False,0.0678,52100.0,178.6,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.8109999999999999,,0.03506,14.925999999999998,0.060606003,,8.39,,105009000.0,,,22.213,,,,1577750400.0,0.14407,840000000.0,8.257,,0.14325917,8.013326,0.60915,1640908800.0,1585612800.0,,,40215335.0,19434223616.0,,1263772800.0,5:1,,,-0.1,,,,,,,,https://logo.clearbit.com/afgruppen.com,,21.557467000000003,,,,,,
AKA,Akastor,Energy,5.8,5.73,5.8,123,,1575.34,0.0017,-0.0381,0.2172,-0.4165,-0.4991,1366,Energy,2112.0,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",Barum,47 21 52 58 00,Norway,[],http://akastor.com,1.0,Building B,Oil & Gas Equipment & Services,5.79,5.81,5.7166424000000005,,0.0,,5.89,,686546.0,,5.79,5.2197059999999995,,5.81,,686546.0,,,,,1397174400.0,1.273837,,,5.71,2.0,NOK,681133.0,,,,1575337984.0,,,461973.0,0.2781808,5.71,5.84,,52200.0,681133.0,12.4,14.5,,,3.52,5.8,False,,227000.0,5.89,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.682,,-0.0498,12.41,-0.46112120000000006,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.14325917,0.39044094,0.51141,1640908800.0,1593475200.0,,,136612714.0,3859571456.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,Oksenoyveien 10 Lysaker,,,,,,,
AKER,Aker,Financials,393.0,392.0,393.0,1359,,29187.51,0.0046,0.0155,0.1308,-0.2551,-0.1294,1366,Energy,21865.0,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1.0,Oksenoyveien 10,Oil & Gas Equipment & Services,391.2,391.4,352.31534,0.057515334,0.0,,398.6,,96741.0,,391.2,368.95294,22.5,391.4,,96741.0,,,,11.75,1595289600.0,1.701744,,,389.0,2.0,NOK,99725.0,,,,29185280000.0,,,213759.0,0.61955297,389.0,392.6,,111700.0,99725.0,566.0,14.971429,,,182.2,392.2,False,0.03,108400.0,398.6,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.867,,-0.08871,34.41,-0.13867629,,26.25,,74262800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.14325917,1.5630468000000002,0.70268,1640908800.0,1593475200.0,,,67703874.0,87952588800.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,,,47 24 13 01 01,,,,,
