ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,err,state
2020,HM11,Industrials,4,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,Marine Shipping,2nd Floor 9 Par-la-Ville Road,56.8,57.6,55.855473,0.0029049297,2.2674,,57.6,,14396,,56.8,55.070587,0.165,57.6,,14396,,,,1.86,1581552000,1.07216,,,56.6,2,NOK,927.86884,3562,,,,1254872960,,,29960,74.25284,56.6,56.6,,,3562,93.8,,,,39,56,False,0.0328,,57.6,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,85.284,,0.07692,,-0.19108194,,,,22170900,,,6.184,,,,1577750400,0.19871001,1300000,0.061,,0.14650929,9.152652,0.57717997,1640908800,1585612800,,,9024667,1441307520,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,,,,,,,
ADSC-ME,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1,OSM House,Marine Shipping,22 Amathountos Agios Tychonas,18.2,18.15,22.34927,,0.4088,,18.35,,21404,,18.2,18.94559,,18.15,,21404,,,,4.21,1591228800,,,,18.1,2,NOK,,36636,,,,429212000,,,98000,,18.1,18.35,,,36636,33.4,,,,16.1,18.3,False,0.22940001,,18.35,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.029100478,,,,23390300,,,,,,,,0.09734,,,,0.14650929,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,,,,,,
AKBM-ME,1327,Healthcare,,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerbiomarine.com,1,Oksenoyveien 10,Drug Manufacturers—Specialty & Generic,PO Box 496,92.9,91,,,,,92,,,,92.9,,,91,,,,,,,,,,,91,2,NOK,,5843,,,,,,,,,91,91.6,,,5843,92,,,,91,91.26,False,,,92,OSL,AKER BIOMARINE AS,Aker BioMarine ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,40.765,,-0.00658,191.682,,,,,,,,2.589,,,,1546214400,,-1022000,-0.015,,0.14650929,35.256855,,1609372800,1514678400,,,14611039,6332210176,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,47 24 13 01 10,,,,,,
AASB-ME,7630,Financial Services,,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Asen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,Banks—Regional,,114,114,120.56934,0.07017544,1.0156,,114,,16,,114,113.5,8,114,,16,,,,8,1583798400,0.401681,,,114,2,NOK,3.0497591,0,,,,115585744,,,41,1.1200169,114,115,,,0,153,,,,105,0,False,0.070199996,,114,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.072,,0.36725,,-0.008695662,,,,1013910,,,485.692,,,,1577750400,0,37900000,37.38,,0.14650929,0.23471665,0,1640908800,1585612800,,,553343,729858112,,,,,,-0.328,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 01,,,,,,
AEGA,274,Utilities,2,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,Utilities—Renewable,,1.3,1.35,1.2281022,0.0030769233,,,1.35,,82903,,1.3,1.2238235,0.004,1.35,,82903,,,,0.04,1591142400,-0.703488,,,1.32,4,NOK,,1328,,,,63427060,,,52270,,1.32,1.31,,394100,1328,1.85,,,,1.05,1.29,False,0.030299999,60000,1.35,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.15923566,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.14650929,8,0.46798,1640908800,1585612800,,,24350240,62466084,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,
FIVEPG,1123,Communication Services,16,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,Electronic Gaming & Multimedia,,1.915,1.8,1.1958207,,0,,1.9,,2816205,,1.915,1.768542,,1.8,,2816205,,,,,,2.679069,,,1.775,4,NOK,,3309828,,,,195625120,,,6045329,,1.775,1.85,,0,3309828,3.8,,,,0.25,1.84,False,,0,1.9,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.4630542,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,0.14650929,10.574713,0.50402,1640908800,1577750400,,,41707742,102904456,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,
ADE,0159,Communication Services,3564,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1,Grensen 5,Internet Content & Information,,155,157,102.8646,,0,,157,,554612,,155,113.34706,,157,,554612,,,,,,,,,151,2,NOK,,158518,,,,105536937984,,,390508,,151,154.4,,,158518,160.2,,,,66.7,154.1,False,,,157,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.5136719,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.14650929,,0.66005,1640908800,1593475200,,,223708700,101524996096,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,,
AZT,9294,Healthcare,36,"ArcticZymes Technologies ASA develops, manufactures, and markets immunomodulating beta-glucans and recombinant enzymes in Norway, Europe, Asia, Australia, Africa, and the Americas. It operates through two segments, Enzymes and Beta-Glucans. The company provides recombinant enzymes that are primarily derived from cold-water marine species and organisms from other relevant environments for use in molecular research, in vitro diagnostics, and therapeutics. It offers shrimp alkaline phosphatase and derived kits for cleanup prior to Sanger sequencing and next generation sequencing (NGS) processes; cod UNG for use in viral and other molecular diagnostic assays; double-strand specific DNases and derived kits for the removal of DNA from RNA samples; polymerases for technology development for life science, molecular diagnostics, NGS, and synthetic biology; proteinase for microbiological diagnostics and liquid biopsies; salt active nuclease for the removal of nucleic acids during manufacturing of vaccines, viruses, recombinant proteins, and other reagents; and ligases for joining DNA fragments. The company also provides immunomodulating beta-glucans products for the wound care, animal and consumer health, and adjuvants markets. It offers Woulgan wound gel; M-Glucan, a natural immune-stimulating product for fish and animal feed; and M-Gard, a natural immune-stimulating ingredients to enhance physical health. The company was formerly known as Biotec Pharmacon ASA and changed its name to ArcticZymes Technologies ASA in June 2020. ArcticZymes Technologies ASA was founded in 1990 and is headquartered in TromsÃ¸, Norway.",Tromso,47 77 64 89 00,Norway,[],http://arcticzymes.com,1,Sykehusveien 23,Biotechnology,PO Box 6463,44.2,44.5,,,0,,44.8,,,,44.2,,,44.5,,,,,,,,1.149418,,,43.7,2,NOK,168.84616,60680,,,,2121893376,,,,20.390665,43.7,44.2,,,60680,44.8,,,,43.7,43.9,False,,,44.8,OSL,ARCTICZYMES TECH,ArcticZymes Technologies ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AZT.OL,finmb_13529463,no_market,,20.34,,0.121549994,155.807,,,,,48334700,,,1.21,,,,1577750400,0.0896,12649000,0.26,,0.14650929,36.28099,0.3134,1640908800,1585612800,,,24481512,2116637568,,,,,,,,,,,,,,https://logo.clearbit.com/arcticzymes.com,47 77 64 89 01,,,,,,
AKERBP,1366,Energy,1703,"Aker BP ASA engages in the exploration, development, and production of oil and gas on the Norwegian Continental Shelf. The company has working interests in 42 fields/projects. As of December 31, 2019, its total net proven reserves were 666 million barrels of oil equivalents; and estimated total net proven plus probable reserves were 906 million barrels of oil equivalents. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",Fornebu,47 51 35 30 00,Norway,[],http://www.akerbp.com,1,Building B,Oil & Gas E&P,Fornebuporten OksenOeyveien 10 Lysaker,176.45,178,185.02737,0.010359875,,,184.7,,707171,,176.45,181.82353,1.828,178,,707171,,,,7.41,1596153600,1.654069,,,177.15,2,NOK,,751272,,,,66330804224,,,1512384,21.650229,177.15,184.45,,0,751272,297.9,108.49999,,,89.42,184.4,False,0.0427,0,184.7,OSL,AKER BP ASA,Aker BP ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKERBP.OL,finmb_9048461,no_market,,21.972,,-0.031630002,30.723,-0.21927065,,,,359614016,,,5.317,,,,1577750400,0.16023001,-96917000,-0.269,,0.14650929,34.662403,0.70299006,1640908800,1593475200,,,106384610,67317354496,,1261526400,1:1,,,1.715,,,,,,,,https://logo.clearbit.com/akerbp.com,,,,,,,
AMSC,1366,Industrials,3,"American Shipping Company ASA, through its subsidiaries, operates as a ship owning and lease finance company in the United States. It is involved in the purchase and bareboat chartering of product tankers, shuttle tankers, and other vessels to operators and end users in the Jones Act market. The company operates a fleet of nine product tankers and one shuttle tanker. The company was formerly known as Aker American Shipping ASA and changed its name to American Shipping Company ASA in June 2008. American Shipping Company ASA was founded in 2005 and is headquartered in Lysaker, Norway.",Lysaker,,Norway,[],http://www.americanshippingco.com,1,Building B,Marine Shipping,OksenOeyveien 10,27.25,27.5,25.939634,0.011743119,1.9914999,,27.6,,46747,,27.25,26.419117,0.32,27.5,,46747,,,,3.21,1590451200,0.968023,,,27.25,2,NOK,185.2349,12227,,,,1673015424,,,75732,18.989098,27.25,27.6,,114600,12227,37.5,74.5946,,11.42,15.06,27.5,False,0.1177,172600,27.6,OSL,AMER SHIPPING COMP,American Shipping Company ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AMSC.OL,finmb_22594564,no_market,,24.654,,0.10217,25.56,-0.19555557,,0.37,,60616500,,,2.669,,,,1577750400,0.19708,9002000,0.149,,0.14650929,10.340952,0.28123,1640908800,1585612800,,,44026980,2172099840,,,,,,0.778,,,,,,,,https://logo.clearbit.com/americanshippingco.com,,,,,,,
