,ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
0,2020,2020 Bulkers,Industrials,55.0,54.8,55.0,98,,1219.40,-0.0072,0.0036,0.0223,-0.3671,-0.322
1,FIVEPG,5th Planet Games,Communication services,1.43,1.41,1.43,133,LP,152.04,0.0288,-0.0892,-0.1751,3.8956,1.0764
2,AASB-ME,Aasen Sparebank,Equity certificates,112.0,111.0,117.0,0,LP,113.56,,,,-0.0681,0.0018
3,ASC,ABG Sundal Collier Holding,Financials,4.45,4.45,4.49,179,,1960.35,0.0023,0.059500000000000004,0.0934,0.1827,0.3428
4,ADE,Adevinta,Communication services,100.0,100.0,100.2,838,,68485.95,0.0199,0.0277,0.029300000000000003,-0.0385,0.0417
5,ADSC-ME,ADS Crude Carriers,Energy,18.7,18.6,18.7,32,,437.40,0.0,0.0,-0.065,-0.23149999999999998,0.08439999999999999
6,AEGA,Aega,Utilities,1.19,1.18,1.24,15,,57.18,-0.0083,0.0171,0.0085,0.0259,-0.044800000000000006
7,AFG,AF Gruppen,Industrials,180.4,180.4,180.6,175,,18943.62,0.0022,0.013500000000000002,0.0464,0.06309999999999999,0.1433
8,AKA,Akastor,Energy,5.2,5.15,5.2,100,,1412.37,0.0256,0.07,-0.037000000000000005,-0.4769,-0.5517
9,AKER,Aker,Financials,374.0,373.8,374.0,1595,,27776.41,0.0441,0.0219,0.1045,-0.3119,-0.295
10,AKBM-ME,Aker BioMarine,Consumer staples,110.0,108.64,110.0,399,,9634.47,0.0329,0.0506,,,
11,AKERBP,Aker BP,Energy,186.6,186.55,186.6,4605,,67103.88,0.0378,0.0155,0.055099999999999996,-0.3306,-0.2593
12,AKSO,Aker Solutions,Energy,9.21,9.2,9.21,3734,,2503.23,0.0642,0.046,0.0716,-0.6275999999999999,-0.7193
13,AKVA,AKVA Group,Industrials,62.6,62.4,63.4,23,LP,2072.46,-0.0095,0.046799999999999994,-0.0095,-0.1422,-0.1822
14,AMSC,American Shipping Company,Industrials,27.45,27.45,27.85,121,,1663.92,0.0092,0.0055000000000000005,0.1558,-0.1159,-0.1277
15,ANDF-ME,Andfjord Salmon,Consumer staples,52.5,52.5,53.59,360,,1769.28,0.04769999999999999,0.11699999999999999,,,
16,ABT,Aqua Bio Technology,Materials,5.05,5.0,5.1,68,LP,77.54,0.01,0.0223,-0.1984,1.1581000000000001,1.0868
17,AQUA,AqualisBraemar,Energy,4.22,4.1,4.22,12,,296.74,0.06570000000000001,0.024300000000000002,0.1344,0.1419,0.1189
18,ARCHER,Archer,Energy,2.18,2.15,2.18,47,,321.76,0.0023,0.0046,-0.054299999999999994,-0.316,-0.5313
19,AZT,ArcticZymes Technologies,Health care,40.0,40.0,40.4,1515,,1933.39,-0.0888,0.0753,0.31579999999999997,7.4211,9.0756
20,ARCUS,Arcus,Consumer staples,39.3,39.2,39.4,48,,2664.57,0.0129,-0.0101,0.0129,0.12210000000000001,0.10099999999999999
21,AFK,Arendals Fossekompani,Industrials,2740.0,2740.0,2800.0,11,,5999.01,0.0074,0.022400000000000003,0.0458,0.06480000000000001,0.0183
22,ASETEK,Asetek,Information technology,62.9,62.5,62.9,262,,1592.38,0.022799999999999997,0.09970000000000001,0.2555,1.0290000000000001,0.7497
23,ATEA,Atea,Information technology,104.6,104.2,104.6,211,,11503.20,0.0215,0.0964,0.0316,-0.1866,-0.0762
24,ATLA NOK,Atlantic Petroleum,Energy,6.3,6.28,6.4,4,,23.30,-0.015600000000000001,-0.11019999999999999,-0.1,-0.1975,
25,ASA,Atlantic Sapphire,Consumer staples,125.5,125.5,126.5,390,,8945.15,0.0121,-0.015700000000000002,-0.0873,-0.0271,0.3073
26,AURG,Aurskog Sparebank,Equity certificates,192.0,188.0,192.0,0,LP,617.12,,,0.0213,0.0738,0.1436
27,AUSS,Austevoll Seafood,Consumer staples,80.0,79.8,80.0,970,,16145.93,0.0063,0.0127,0.0165,-0.0827,-0.1656
28,AVANCE,Avance Gas Holding,Energy,17.98,17.85,17.98,449,,1144.54,0.0039000000000000003,0.0017000000000000001,-0.0626,-0.5982,-0.2722
29,AWDR,Awilco Drilling,Energy,3.38,3.38,3.4,49,,184.49,-0.0029,-0.084,-0.1875,-0.7818999999999999,-0.8704999999999999
30,ALNG,Awilco LNG,Energy,1.26,1.26,1.27,8,,167.01,0.0,0.012,-0.09029999999999999,-0.6063000000000001,-0.6272
31,AXA,Axactor,Financials,6.8,6.76,6.8,685,,1260.69,0.041299999999999996,0.11109999999999999,-0.0202,-0.6420999999999999,-0.6566
32,AGS,Axxis Geo Solutions,Energy,0.73,0.71,0.73,28,,43.17,0.0027,-0.059000000000000004,-0.2586,-0.4128,-0.9678
33,AYFIE-ME,ayfie Group,Information technology,3.0,2.97,3.0,321,,318.63,-0.0506,,,,
34,B2H,B2Holding,Financials,4.4,4.36,4.4,547,,1803.70,0.0564,0.1564,-0.024399999999999998,-0.5395,-0.5682
35,BAKKA,Bakkafrost,Consumer staples,563.0,562.5,563.0,1728,,33280.34,0.0018,-0.053,-0.08310000000000001,-0.1338,0.0986
36,BALT-ME,Baltic Sea Properties,Real estate,30.2,25.0,30.4,0,,201.37,,,,0.0414,-0.1118
37,BEL,Belships,Industrials,6.7,6.65,6.8,6,LP,1525.10,0.0075,-0.0074,0.0635,-0.0759,-0.022099999999999998
38,BGBIO,BerGenBio,Health care,37.8,37.8,38.0,812,,3278.24,-0.0394,-0.0053,-0.0013,0.5605,1.9686000000000001
39,BSP-ME,Black Sea Property,Consumer discretionary,2.04,2.1,2.68,4,,33.95,,,-0.2444,-0.6513,
40,BON,Bonheur,Industrials,234.0,233.5,234.0,265,,9952.46,0.0241,-0.0021,0.0308,0.1997,0.2434
41,BOR,Borgestad,Materials,15.15,14.9,15.5,51,LP,192.66,-0.041100000000000005,-0.016200000000000003,0.4028,-0.2425,0.0642
42,BDRILL,Borr Drilling,Energy,9.1,9.1,9.15,1373,,1428.45,0.099,-0.1165,-0.3106,-0.8798999999999999,-0.8909999999999999
43,BRG,Borregaard,Materials,97.7,97.6,97.8,326,,9730.25,-0.0031,0.014499999999999999,-0.0161,0.052199999999999996,0.0305
44,BOUVET,Bouvet,Information technology,540.0,538.0,542.0,129,,5534.75,0.011200000000000002,0.08,0.0909,0.4142,0.805
45,BRA-ME,BRAbank,Financials,0.38,0.38,0.39,10,,235.35,-0.0259,0.09939999999999999,-0.0053,-0.1861,-0.7839
46,BWE,BW Energy Limited,Energy,18.26,18.06,18.35,281,,4278.40,0.0616,0.0641,-0.0706,,
47,BWLPG,BW LPG,Energy,31.08,31.08,31.1,1159,,4292.04,0.0026,0.0144,0.04650000000000001,-0.5201,-0.1246
48,BWO,BW Offshore Limited,Energy,32.24,32.16,32.24,807,,5828.99,0.032,-0.043899999999999995,-0.1084,-0.4537,-0.31129999999999997
49,BMA,Byggma,Industrials,100.0,100.0,102.0,20,,698.19,-0.0196,-0.009899999999999999,0.087,0.087,0.0753
50,CARA,Carasent,Health care,21.2,20.7,21.2,119,,861.44,0.0242,0.004699999999999999,0.0984,1.1721,1.6173
