ticker,name,marketcap,sector,info,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,bookValue,enterpriseValue,trailingEps,priceToBook,beta
2020,2020 Bulkers,1871.22,Industrials,,-0.0166,0.011200000000000002,-0.0555,,,,,,,
FIVEPG,5th Planet Games,18.94,Communication services,LP,0.0748,-0.032400000000000005,-0.08710000000000001,-0.6767,-0.7015,0.174,17868056.0,-0.11800000000000001,1.9885057000000002,1.337795
AASB-ME,Aasen Sparebank,124.71,Equity certificates,LP,,,-0.0238,0.1586,0.1899,,,,,0.22064699999999998
ASC,ABG Sundal Collier Holding,1652.62,Financials,,-0.0028000000000000004,0.0432,0.0663,-0.1239,-0.1334,1.442,1411580288.0,0.305,2.6352289,0.7787609999999999
ADE,Adevinta,68015.39,Communication services,,-0.006,0.0123,0.0216,,,,66684379136.0,,,
ADSC-ME,ADS Crude Carriers,603.47,Energy,,0.0,0.0238,0.0,0.3381,0.2615,,,,,
AEGA,Aega,55.41,Utilities,,0.0,-0.0171,0.0268,0.4316,0.3385,0.165,55632340.0,-0.057999999999999996,6.8484845000000005,-0.570394
AFG,AF Gruppen,17624.1,Industrials,,0.0,-0.0285,-0.0313,0.3318,0.2832,18.257,18614646784.0,8.995,9.475817999999999,0.250201
AKA,Akastor,2390.17,Energy,,-0.0125,0.0046,-0.0462,-0.3361,-0.32270000000000004,15.937999999999999,4826611200.0,-1.881,0.53770864,0.43765
AKER,Aker,36020.21,Financials,,-0.0187,0.0134,-0.0215,0.08539999999999999,0.0029,260.459,88785805312.0,-4.968,1.8674723000000002,1.000804
AKERBP,Aker BP,92801.25,Energy,,-0.01,0.0505,-0.0279,0.2709,0.0968,6.792000000000001,97077567488.0,0.258,38.383396000000005,1.209975
AKSO,Aker Solutions,5898.89,Energy,,-0.018000000000000002,0.014,-0.041,-0.4511,-0.5062,27.241,13518900224.0,1.317,0.78190964,0.9501200000000001
AKVA,AKVA Group,2443.25,Industrials,LP,-0.0027,-0.008100000000000001,-0.034,0.1112,0.1346,32.93,3543555072.0,3.56,2.2289705,0.046661
AMSC,American Shipping Company,1906.39,Industrials,,-0.0094,-0.0217,-0.08689999999999999,0.03,0.0888,2.739,2434619904.0,0.079,11.555311,0.317779
ABT,Aqua Bio Technology,41.46,Materials,LP,0.0,-0.0217,0.08869999999999999,0.15380000000000002,0.046500000000000014,1.923,26571772.0,-1.9409999999999998,1.372855,1.045052
AQUA,AqualisBraemar,254.82,Energy,,0.0055000000000000005,0.0111,-0.08539999999999999,-0.1208,-0.1229,0.604,142431520.0,0.057,6.1920532999999995,0.77152
ARCHER,Archer,429.01,Energy,,0.0286,0.1163,-0.16760000000000005,-0.3372,-0.5085000000000001,0.6559999999999999,1062093632.0,-0.74,4.603658,3.061142
