ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,bookValue,enterpriseValue,trailingEps,forwardEps,priceToBook,beta,profitMargins
2020,2020 Bulkers,Industrials,73.0,74.0,77.0,0,,1618.48,,,-0.1134,-0.1599,,,,,,,,0.0
FIVEPG,5th Planet Games,Communication services,0.4,0.4,0.4,0,LP,21.44,,,0.0556,0.08130000000000001,-0.7,0.174,19748904.0,-0.11800000000000001,,2.2931035,1.2136,0.0
AASB-ME,Aasen Sparebank,Equity certificates,145.0,135.0,143.0,0,LP,147.02,,,,0.124,0.354,,,,,,0.21516300000000002,0.40016997
ASC,ABG Sundal Collier Holding,Financials,4.15,4.15,4.15,0,,1897.35,,,0.0147,0.0401,0.0678,1.442,1685031168.0,0.305,0.43,2.8779472999999998,0.647446,0.13757
ADE,Adevinta,Communication services,114.2,114.2,114.2,0,,78221.12,,,0.0251,0.0981,,,93717094400.0,,,,,0.09408
ADSC-ME,ADS Crude Carriers,Energy,25.0,23.0,25.8,0,,584.76,,,-0.2038,-0.1319,0.3164,,,,,,,0.0
AEGA,Aega,Utilities,1.39,1.38,1.38,0,,66.79,,,0.17800000000000002,0.1583,0.6179,0.165,61921216.0,-0.057999999999999996,,8.424242,-0.731466,0.41834998
AFG,AF Gruppen,Industrials,182.5,182.0,182.0,0,,18805.16,,,0.0429,0.0369,0.3715,18.257,19517261824.0,8.995,8.39,9.996166,0.196046,0.04131
AKA,Akastor,Energy,9.0,9.2,9.2,0,,2444.49,,,-0.0556,-0.0946,-0.3497,15.937999999999999,4815746560.0,-1.881,0.4,0.5646882,0.565897,-0.10440999999999999
AKER,Aker,Financials,514.0,516.0,516.0,0,,38174.0,,,-0.0755,-0.0543,-0.1316,260.459,90486562816.0,-4.968,26.25,1.9734391,1.043657,-0.008169999
AKERBP,Aker BP,Energy,256.1,256.1,256.1,0,,92225.07,,,-0.1078,-0.0923,-0.0367,6.575,99968335872.0,0.392,,38.950573,1.173805,0.04225
AKSO,Aker Solutions,Energy,15.36,15.54,15.54,0,,4177.04,,,-0.345,-0.3786,-0.6435,26.283,11094406144.0,0.15,2.33,0.58440816,0.996705,0.0014
AKVA,AKVA Group,Industrials,69.8,68.4,69.8,0,LP,2310.83,,,-0.0693,-0.0568,0.0009,32.93,3410929408.0,3.56,5.73,2.1196477000000002,-0.034595999999999995,0.0376
AMSC,American Shipping Company,Industrials,32.3,32.3,32.4,0,,1957.91,,,-0.0329,-0.0167,0.099,2.739,2489174784.0,0.079,0.37,11.792624,0.25453000000000003,0.054569997
ABT,Aqua Bio Technology,Materials,2.78,2.78,2.8,0,LP,42.69,,,0.0296,0.188,0.0451,1.923,26807898.0,-1.9409999999999998,-0.54,1.4456578000000002,0.9810540000000001,0.0
AQUA,AqualisBraemar,Energy,4.3,4.3,4.38,0,,302.36,,,0.075,0.1054,-0.0092,0.604,167384544.0,0.057,0.14,7.119206,0.771004,0.24655001
ARCHER,Archer,Energy,3.26,3.38,3.38,0,,482.27,,,-0.0269,0.0252,-0.3849,0.6559999999999999,1088636800.0,-0.74,0.06,4.969512,3.384678,-0.12929000000000002
ARCUS,Arcus,Consumer staples,35.8,35.7,35.7,0,,2427.26,,,-0.0219,-0.0192,-0.0977,23.366999999999997,4254364672.0,1.902,3.34,1.532075,-0.07121,0.04913
AFK,Arendals Fossekompani,Industrials,2650.0,2590.0,2700.0,0,,5801.96,,,0.0,0.0076,-0.2147,1387.5829999999999,5471960576.0,22.268,,1.9097956000000003,0.182866,0.009940000000000001
ASETEK,Asetek,Information technology,40.65,39.0,40.75,0,,1006.38,,,0.3874,0.3113,-0.122,1.534,1013598016.0,0.05,0.3,26.499347999999998,0.603789,0.0239
ATEA,Atea,Information technology,113.0,113.0,113.0,0,,12426.97,,,-0.1102,-0.1213,-0.0024,28.031,12947894272.0,4.78,6.93,4.031251,,0.014459999999999999
ATLA NOK,Atlantic Petroleum,Energy,7.5,6.6,8.0,0,,27.73,,,-0.1525,-0.0446,-0.3056,,,,,,,
ASA-ME,Atlantic Sapphire,Consumer staples,139.0,137.0,137.0,0,,9907.38,,,0.0988,0.0775,0.4946,3.032,9924841472.0,-0.23399999999999999,,45.844326,0.49865699999999996,0.0
AURG,Aurskog Sparebank,Equity certificates,200.0,200.0,204.0,0,LP,642.84,,,0.0,0.0582,0.16899999999999998,411.714,3477005056.0,36.476,14.03,0.48577413,-0.147446,0.47263999999999995
AUSS,Austevoll Seafood,Consumer staples,88.45,88.45,88.45,0,,17851.34,,,-0.0333,-0.0178,-0.1591,58.968,34271393792.0,5.712999999999999,,1.499966,-0.392915,0.050219997999999995
AVANCE,Avance Gas Holding,Energy,42.25,42.25,42.25,0,,2689.48,,,-0.2535,-0.155,2.0071,5.8420000000000005,3157444096.0,0.256,0.32,7.232112400000001,1.424217,0.08088
AVM,Avocet Mining PLC,Materials,1.56,,,0,,32.51,,,,,,,,,,,,
AWDR,Awilco Drilling,Energy,11.95,11.45,11.45,0,,652.25,,,-0.1643,-0.229,-0.6289,5.093,589099328.0,-0.5429999999999999,-0.22,2.3463578,1.096375,-0.68403
ALNG,Awilco LNG,Energy,2.02,2.02,2.14,0,,267.75,,,-0.276,-0.3688,-0.5,0.774,507970272.0,-0.11,0.11,2.6098192000000004,0.668039,-0.45630002
AXA,Axactor,Financials,16.6,16.7,16.7,0,,2579.56,,,-0.1263,-0.1263,-0.2645,1.9680000000000002,2626183424.0,-0.004,0.25,8.434959,2.968698,0.05566
AGS,Axxis Geo Solutions,Energy,0.81,0.9,0.9,0,,47.41,,,-0.30820000000000003,-0.3552,-0.9989,7.83,40179224.0,-1.135,,0.10293742,,-0.034839999999999996
B2H,B2Holding,Financials,7.12,7.12,7.26,0,,2918.72,,,-0.2641,-0.2548,-0.4945000000000001,10.052999999999999,14605897728.0,0.41600000000000004,2.16,0.70824623,1.0716629999999998,0.08377000000000001
BAKKA,Bakkafrost,Consumer staples,672.5,654.0,654.0,0,,39772.66,,,-0.0182,0.0346,0.5279,13.119000000000002,33147305984.0,3.037,31.33,51.261528000000006,-0.270181,0.15745
BALT-ME,Baltic Sea Properties,Real estate,32.8,28.0,32.0,0,,218.7,,,,,,31.615,521504384.0,-2.9389999999999996,,1.0374821,0.926249,-0.29674
