ticker,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,beta,beta3Year,bookValue,category,dateShortInterest,earningsQuarterlyGrowth,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,fundFamily,fundInceptionDate,heldPercentInsiders,heldPercentInstitutions,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,revenueQuarterlyGrowth,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,threeYearAverageReturn,totalAssets,trailingEps,yield,ytdReturn
2020,Infinity,0.23080206,,,,,,,,,,,,,,,,,-,,,,,,-,,,1,,,,,,,2,,,0,,22170900,,,-,,,,,,,,
OBSERV,Infinity,0.23080206,,,,,0.805,,,,,,126583520,,,,,,-,,,,,,-,,,1,,,,,,,2,12.42236,,0,,15342700,,,-,,,,,,,,
ORK,0.31407177,0.23080206,,,0.052718,,34.441,,,0.722,15.097,2.182,95183863808,,498962636,3.88,,,-,,,,,1577750400,2007-04-20,5:1,,1,,,1577750400,3838000128,1640908800,,2,2.5266395,,0.088,,1000310016,,,-,,,,,,3.838,,
AUSS,-0.18269229,0.23080206,,,-0.392915,,58.968,,,,11.502,1.492,34271393792,,85353419,,,,-,,,,,1546214400,-,,,1,,,1569801600,1153472000,1609372800,,2,1.499966,,0.050219998,,201824000,,,-,,,,,,5.713,,
AVANCE,1.9688582,0.23080206,,,1.424217,,5.842,,,,36.566,15.601,3157444096,,44488200,0.32,,,-,,,,,1546214400,-,,,1,,,1569801600,16369000,1609372800,,2,7.2321124,,0.08088,,63694100,,,-,,,,,,0.256,,
OTS,-0.40869564,0.23080206,,,1.433278,,1.786,,,,22.082,10.448,217239584,,21714570,,,,-,,,,,1546214400,2019-11-27,1:23,,1,,,1561852800,470000,1609372800,,4,2.4860022,,0.023039998,,34211300,,,-,,,,,,0.015,,
AKVA,-0.048913002,0.23080206,,,-0.034596,,32.93,,,0.486,10.871,1.084,3410929408,,8181678,5.73,,,-,,,,,1546214400,-,,,1,,,1569801600,118348000,1609372800,,2,2.1196477,,0.0376,,33334300,,,-,,,,,,3.56,,
VISTIN,0.111111164,0.23080206,,,0.6952,,9.203,,,,4.248,0.205,43531816,,22393576,1.17,,,-,,,,,1546214400,-,,,1,,,1569801600,3623000,1609372800,,2,0.8040856,,-0.00909,,44344600,,,-,,,,,,-0.043,,
BEL,0.5069183,0.23080206,,,0.39621,,0.718,,,,57.546,10.822,1570477952,,37333420,0.08,,,-,,,,,1546214400,-,,,1,,,1569801600,15981000,1609372800,,2,9.052925,,0.11013,,211676992,,,-,,,,,,0.085,,
SBTE,0.19480515,0.23080206,,,,,313.526,,,0,,10.21,7419416576,,10184879,,,,-,,,,,1546214400,-,,,1,,,1569801600,125360000,1609372800,,2,0.44015488,,0.42771998,,10898600,,,-,,,,,,15.338,,
HELG,0.26428568,0.23080206,,,0.468698,,170.796,,,,,10.49,7091206144,,11655923,10.32,,,-,,,,,1577750400,2010-04-06,2:1,,1,,,1577750400,223000000,1640908800,,2,0.51523453,,0.45118,,20861100,,,-,,,,,,10.67,,
NAPA,0.8217312,0.23080206,,,-0.603789,,0.397,,,,,,138180784,,15755800,,,,-,,,,,1546214400,2016-04-25,4:1,,1,,,1569801600,,1609372800,,4,10.9068,,-0.36110002,,83068200,,,-,,,,,,-0.862,,
ULTIMO,Infinity,0.23080206,,,,,16.77,,,,-24.134,,1218456320,,11445888,,,,-,,,,,1546214400,-,,,1,,,1569801600,-48498000,1609372800,,2,3.3035183,,0,,27860400,,,-,,,,,,-2.429,,
AKER,-0.15074134,0.23080206,,,1.043657,,260.459,,,,25.913,2.004,90486562816,,22384614,26.25,,,-,,,,,1546214400,-,,,1,,,1561852800,-1014000000,1609372800,,2,1.9734391,,-0.008169999,,74278200,,,-,,,,,,-4.968,,
SRBANK,0.07283676,0.23080206,,,0.404448,,97.137,,,-0.08,,22.782,143412772864,,174262076,,,,-,,,,,1577750400,2007-10-29,2:1,,1,,,1577750400,3084000000,1640908800,,2,1.0052812,,0.49627,,255660000,,,-,,,,,,12.063,,
KAHOOT-ME,Infinity,0.23080206,,,,,3.202,,,,-125.789,286.952,7812819456,,15508562,,,,-,,,,,1546214400,-,,,1,,,,-55137776,1609372800,,2,22.423487,,-2.02512,,129359000,,,-,,,,,,-0.476,,
EPIC-ME,0.6568048,0.23080206,,,0.276771,,2.773,,,,48.871,10.881,1821100032,,47812232,,466.6667,,-,,,,,1546214400,-,,,1,,,1569801600,-3849294,1609372800,,2,5.0486836,,-0.023,,106600000,,,-,,,,,,-0.036,,
INSR,-0.20266664,0.23080206,,,0.158154,,2.088,,,,-2.082,0.071,59109252,,124509399,0.66,,,-,,,,,1546214400,2016-10-19,1:10,,1,,,1569801600,-57113000,1609372800,,2,2.873563,,-0.10568,,148167008,,,-,,,,,,-0.662,,
SBO,0.30242825,0.23080206,,,,,36.338,,,-0.233,8.048,1.948,6561093632,,38266507,4.89,,,-,,,,,1577750400,-,,,1,,,1577750400,654515008,1640908800,,2,1.6896912,,0.19428,,92928600,,,-,,,,,,7.04,,
SNOR,0.103773594,0.23080206,,,0.038619,,959.937,,,0.458,,4.633,2348512512,,1254822,11.46,,,-,,,,,1546214400,-,,,1,,,1569801600,35741000,1609372800,,2,0.12292473,,0.43717998,,2243480,,,-,,,,,,16.038,,
SOGN,0.009523869,0.23080206,,,-0.096375,,1411.696,,,3.58,,-5.561,-741660992,,382017,,,,-,,,,,1546214400,-,,,1,,,1569801600,4659000,1609372800,,2,0.07508699,,0.26904,,632500,,,-,,,,,,7.366,,
NOM,-0.16077727,0.23080206,,,1.429159,,0.852,,,,-5.972,,433600672,,172827025,-0.18,,,-,,,,,1577750400,2016-12-08,1:6,,1,,,1577750400,1391000,1640908800,,4,2.7230046,,0,,197492000,,,-,,,,,,0.01,,
NORBIT,Infinity,0.23080206,,,,,7.339,,,1.515,8.9,1.816,1106052608,,18414862,,,,-,,,,,1546214400,-,,,1,,,1569801600,59816000,1609372800,,2,2.588091,,0.098179996,,56786900,,,-,,,,,,7.777,,
