ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,bookValue,enterpriseValue,trailingEps,forwardEps,priceToBook,beta,profitMargins
2020,2020 Bulkers,Industrials,87.6,85.4,87.6,23,,1942.17,0.0069,0.0429,0.0323,,,,,,,,,0.0
FIVEPG,5th Planet Games,Communication services,0.37,0.35,0.37,44,LP,19.83,0.1015,0.0603,-0.1044,-0.6925,-0.6925,0.174,18264024.0,-0.11800000000000001,,2.1206896,1.337795,0.0
AASB-ME,Aasen Sparebank,Equity certificates,129.0,125.0,131.0,0,LP,130.79,,,0.0403,0.2151,0.2151,,,,,,0.22064699999999998,0.40016997
ASC,ABG Sundal Collier Holding,Financials,3.99,3.99,3.99,182,,1822.33,-0.0148,0.0038,0.1449,-0.034300000000000004,-0.034300000000000004,1.442,1543748224.0,0.305,0.43,2.7669902000000004,0.7787609999999999,0.13757
ADE,Adevinta,Communication services,104.0,103.4,104.0,532,,71234.64,0.0,0.0097,0.0833,,,,70839377920.0,,,,,0.048589999999999994
ADSC-ME,ADS Crude Carriers,Energy,28.8,28.6,28.8,36,,673.64,0.0,0.0435,0.0827,0.4936,0.4936,,,,,,,0.0
AEGA,Aega,Utilities,1.2,1.1,1.2,20,,57.66,0.1009,0.0909,-0.084,0.4938,0.4938,0.165,58051140.0,-0.057999999999999996,,7.272727499999999,-0.570394,0.41834998
AFG,AF Gruppen,Industrials,176.0,174.5,176.0,84,,18135.39,0.0086,0.005699999999999999,-0.0292,0.4029,0.4029,18.257,19116099584.0,8.995,8.39,9.640138,0.250201,0.04131
AKA,Akastor,Energy,9.94,9.93,9.94,214,,2699.8,0.07339999999999999,0.07,0.1232,-0.2389,-0.2389,15.937999999999999,5111801344.0,-1.881,0.4,0.6236666999999999,0.43765,-0.10440999999999999
AKER,Aker,Financials,543.5,542.5,543.5,1011,,40364.92,0.0121,0.0159,0.087,0.2204,0.2204,260.459,92566085632.0,-4.968,26.25,2.0867006999999997,1.000804,-0.008169999
