ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
2020,2020 Bulkers,Industrials,87.6,85.4,87.6,23,,1942.17,0.0069,0.0429,0.0323,,
FIVEPG,5th Planet Games,Communication services,0.37,0.35,0.37,44,LP,19.83,0.1015,0.0603,-0.10439999999999999,-0.6925,-0.6925
AASB-ME,Aasen Sparebank,Equity certificates,129.0,125.0,131.0,0,LP,130.79,,,0.0403,0.2151,0.2151
ASC,ABG Sundal Collier Holding,Financials,3.99,3.99,3.99,182,,1822.33,-0.0148,0.0038,0.1449,-0.034300000000000004,-0.034300000000000004
ADE,Adevinta,Communication services,104.0,103.4,104.0,532,,71234.64,0.0,0.0097,0.0833,,
ADSC-ME,ADS Crude Carriers,Energy,28.8,28.6,28.8,36,,673.64,0.0,0.0435,0.0827,0.4936,0.4936
AEGA,Aega,Utilities,1.2,1.1,1.2,20,,57.66,0.1009,0.0909,-0.084,0.4938,0.4938
AFG,AF Gruppen,Industrials,176.0,174.5,176.0,84,,18135.39,0.0086,0.005699999999999999,-0.0292,0.4029,0.4029
AKA,Akastor,Energy,9.94,9.93,9.94,214,,2699.80,0.07339999999999999,0.07,0.1232,-0.2389,-0.2389
AKER,Aker,Financials,543.5,542.5,543.5,1011,,40364.92,0.0121,0.0159,0.087,0.22039999999999998,0.22039999999999998
AKERBP,Aker BP,Energy,288.0,288.0,288.1,1723,,103712.69,-0.0014000000000000002,0.0,0.0897,0.41859999999999997,0.41859999999999997
AKSO,Aker Solutions,Energy,24.72,24.71,24.74,1205,,6722.42,0.0028000000000000004,0.03,0.1252,-0.37670000000000003,-0.37670000000000003
AKVA,AKVA Group,Industrials,74.0,73.8,74.0,14,LP,2449.88,0.0,-0.008,0.0,0.1142,0.1142
AMSC,American Shipping Company,Industrials,32.85,32.85,32.95,61,,1991.25,0.0,-0.003,0.0155,0.0741,0.0741
ABT,Aqua Bio Technology,Materials,2.34,2.26,2.34,7,LP,35.93,-0.025,-0.025,-0.1761,0.0,0.0
AQUA,AqualisBraemar,Energy,3.89,3.57,3.89,24,,273.53,0.051399999999999994,,0.1114,-0.0604,-0.0604
ARCHER,Archer,Energy,3.18,3.16,3.18,303,,470.43,0.0358,0.053,0.1042,-0.2681,-0.2681
ARCUS,Arcus,Consumer staples,36.5,36.3,36.5,67,,2474.72,0.034,0.0139,0.0196,-0.07,-0.07
AFK,Arendals Fossekompani,Industrials,2630.0,2630.0,2680.0,9,,5758.17,-0.0075,-0.0187,0.031400000000000004,-0.1516,-0.1516
ASETEK,Asetek,Information technology,31.0,29.4,31.0,153,,767.38,0.0403,0.0708,0.042,-0.2365,-0.2365
ATEA,Atea,Information technology,128.6,128.6,129.0,236,,14107.49,0.004699999999999999,-0.0092,0.0126,0.2232,0.2232
ATLA NOK,Atlantic Petroleum,Energy,7.85,7.85,8.25,2,,29.03,,-0.0765,0.026099999999999998,0.15439999999999998,0.15439999999999998
ASA-ME,Atlantic Sapphire,Consumer staples,129.0,128.5,129.0,25,,9194.62,0.0,0.0078000000000000005,0.048799999999999996,0.8695999999999999,0.8695999999999999
AURG,Aurskog Sparebank,Equity certificates,189.0,189.0,196.0,0,LP,607.48,,,-0.0053,0.1744,0.1744
AUSS,Austevoll Seafood,Consumer staples,90.05,90.05,90.15,514,,18174.26,-0.0191,-0.0158,0.021,-0.1263,-0.1263
AVANCE,Avance Gas Holding,Energy,50.0,50.0,50.1,926,,3182.82,0.006,-0.015700000000000002,0.0194,3.0452999999999997,3.0452999999999997
AVM,Avocet Mining PLC,Materials,1.56,,,0,,32.51,,,,,
AWDR,Awilco Drilling,Energy,15.5,15.5,15.6,91,,846.01,0.0333,0.0839,-0.0432,-0.4464,-0.4464
