ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
2020,2020 Bulkers,Industrials,74.0,74.4,77.0,6,,1640.65,-0.0513,-0.0513,-0.1153,-0.1516,
FIVEPG,5th Planet Games,Communication services,0.42,0.39,0.4,7,LP,22.35,0.04,0.20579999999999998,0.1954,0.1274,-0.7227
AASB-ME,Aasen Sparebank,Equity certificates,134.0,130.0,138.0,0,LP,135.86,,,0.0388,0.0388,0.2622
ASC,ABG Sundal Collier Holding,Financials,4.01,4.01,4.03,48,,1831.24,-0.024300000000000002,-0.0302,0.0088,0.005,-0.0187
ADE,Adevinta,Communication services,107.4,107.4,108.0,60,,73563.47,-0.0147,0.0037,0.042699999999999995,0.0327,
ADSC-ME,ADS Crude Carriers,Energy,26.6,26.6,26.8,95,,622.18,-0.05,-0.09519999999999999,-0.0362,-0.0764,0.36560000000000004
AEGA,Aega,Utilities,1.13,1.13,1.19,6,,54.30,-0.0259,-0.0583,0.0273,-0.0583,0.3152
AFG,AF Gruppen,Industrials,174.0,173.5,174.0,14,,17929.30,-0.011399999999999999,0.0029,-0.005699999999999999,-0.011399999999999999,0.32659999999999995
AKA,Akastor,Energy,8.94,8.88,8.94,38,,2428.19,-0.027200000000000002,-0.0418,-0.0377,-0.10060000000000001,-0.2814
AKER,Aker,Financials,516.5,516.0,517.0,450,,38359.67,-0.0282,-0.0834,-0.0346,-0.049699999999999994,-0.0872
AKERBP,Aker BP,Energy,268.7,268.6,268.8,1709,,96762.50,-0.04,-0.0922,-0.0667,-0.0667,0.0361
AKSO,Aker Solutions,Energy,20.07,20.03,20.06,413,,5457.89,-0.04019999999999999,-0.0935,-0.1642,-0.1885,-0.5659000000000001
AKVA,AKVA Group,Industrials,73.0,72.8,73.8,2,LP,2416.77,-0.013500000000000002,-0.026699999999999998,-0.021400000000000002,-0.013500000000000002,0.1057
AMSC,American Shipping Company,Industrials,31.35,31.35,31.5,37,,1900.33,-0.0264,-0.0471,-0.048600000000000004,-0.045700000000000005,0.043899999999999995
ABT,Aqua Bio Technology,Materials,2.62,2.6,2.66,4,LP,40.23,-0.0438,-0.0775,0.0917,0.1197,0.0077
AQUA,AqualisBraemar,Energy,4.23,4.23,4.6,1,,297.44,-0.0579,-0.013999999999999999,0.1463,0.0874,-0.013999999999999999
ARCHER,Archer,Energy,2.9,2.91,2.95,97,,429.01,-0.0705,-0.1131,-0.0397,-0.08810000000000001,-0.4165
ARCUS,Arcus,Consumer staples,35.9,35.6,35.9,17,,2434.04,-0.008199999999999999,-0.024300000000000002,0.005600000000000001,-0.008199999999999999,-0.0731
AFK,Arendals Fossekompani,Industrials,2650.0,2610.0,2650.0,1,,5801.96,0.0,0.0038,-0.011200000000000002,0.0076,-0.20550000000000002
ASETEK,Asetek,Information technology,31.0,30.75,31.0,38,,767.47,0.0181,0.0032,0.0708,0.0,-0.2749
ATEA,Atea,Information technology,123.8,123.8,124.2,91,,13580.93,-0.023700000000000002,-0.0096,-0.0462,-0.0373,0.1268
ATLA NOK,Atlantic Petroleum,Energy,8.3,7.3,8.45,2,,30.69,-0.0292,0.11410000000000001,-0.0235,0.057300000000000004,-0.0292
ASA-ME,Atlantic Sapphire,Consumer staples,137.0,135.5,137.0,42,,9764.83,-0.0072,0.0111,0.0703,0.062,0.5222
AURG,Aurskog Sparebank,Equity certificates,199.0,196.0,200.0,1,LP,639.62,-0.005,-0.005,0.0529,0.0529,0.1747
AUSS,Austevoll Seafood,Consumer staples,92.05,91.95,92.15,164,,18577.91,-0.0229,-0.0011,0.0044,0.020499999999999997,-0.1374
AVANCE,Avance Gas Holding,Energy,48.95,48.95,49.0,921,,3115.98,-0.061500000000000006,-0.0506,-0.0394,-0.024,2.7337000000000002
AVM,Avocet Mining PLC,Materials,1.56,,,0,,32.51,,,,,
