ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
2020,2020 Bulkers,Industrials,73.0,74.0,77.0,0,,1618.48,,,-0.1134,-0.15990000000000001,
FIVEPG,5th Planet Games,Communication services,0.4,0.4,0.4,0,LP,21.44,,,0.0556,0.08130000000000001,-0.7
AASB-ME,Aasen Sparebank,Equity certificates,145.0,135.0,143.0,0,LP,147.02,,,,0.124,0.354
ASC,ABG Sundal Collier Holding,Financials,4.15,4.15,4.15,0,,1897.35,,,0.0147,0.0401,0.0678
ADE,Adevinta,Communication services,114.2,114.2,114.2,0,,78221.12,,,0.025099999999999997,0.0981,
ADSC-ME,ADS Crude Carriers,Energy,25.0,23.0,25.8,0,,584.76,,,-0.20379999999999998,-0.1319,0.3164
AEGA,Aega,Utilities,1.39,1.38,1.38,0,,66.79,,,0.17800000000000002,0.1583,0.6179
AFG,AF Gruppen,Industrials,182.5,182.0,182.0,0,,18805.16,,,0.0429,0.0369,0.3715
AKA,Akastor,Energy,9.0,9.2,9.2,0,,2444.49,,,-0.0556,-0.0946,-0.3497
AKER,Aker,Financials,514.0,516.0,516.0,0,,38174.00,,,-0.0755,-0.054299999999999994,-0.1316
AKERBP,Aker BP,Energy,256.1,256.1,256.1,0,,92225.07,,,-0.10779999999999999,-0.09230000000000001,-0.036699999999999997
AKSO,Aker Solutions,Energy,15.36,15.54,15.54,0,,4177.04,,,-0.345,-0.3786,-0.6435
AKVA,AKVA Group,Industrials,69.8,68.4,69.8,0,LP,2310.83,,,-0.0693,-0.056799999999999996,0.0009
AMSC,American Shipping Company,Industrials,32.3,32.3,32.4,0,,1957.91,,,-0.0329,-0.0167,0.099
ABT,Aqua Bio Technology,Materials,2.78,2.78,2.8,0,LP,42.69,,,0.0296,0.188,0.0451
AQUA,AqualisBraemar,Energy,4.3,4.3,4.38,0,,302.36,,,0.075,0.1054,-0.0092
ARCHER,Archer,Energy,3.26,3.38,3.38,0,,482.27,,,-0.0269,0.0252,-0.3849
ARCUS,Arcus,Consumer staples,35.8,35.7,35.7,0,,2427.26,,,-0.0219,-0.0192,-0.0977
AFK,Arendals Fossekompani,Industrials,2650.0,2590.0,2700.0,0,,5801.96,,,0.0,0.0076,-0.2147
ASETEK,Asetek,Information technology,40.65,39.0,40.75,0,,1006.38,,,0.3874,0.31129999999999997,-0.122
ATEA,Atea,Information technology,113.0,113.0,113.0,0,,12426.97,,,-0.11019999999999999,-0.1213,-0.0024
ATLA NOK,Atlantic Petroleum,Energy,7.5,6.6,8.0,0,,27.73,,,-0.1525,-0.0446,-0.3056
ASA-ME,Atlantic Sapphire,Consumer staples,139.0,137.0,137.0,0,,9907.38,,,0.09880000000000001,0.0775,0.4946
AURG,Aurskog Sparebank,Equity certificates,200.0,200.0,204.0,0,LP,642.84,,,0.0,0.0582,0.16899999999999998
AUSS,Austevoll Seafood,Consumer staples,88.45,88.45,88.45,0,,17851.34,,,-0.0333,-0.0178,-0.1591
AVANCE,Avance Gas Holding,Energy,42.25,42.25,42.25,0,,2689.48,,,-0.2535,-0.155,2.0071
AVM,Avocet Mining PLC,Materials,1.56,,,0,,32.51,,,,,
