ticker,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,beta,beta3Year,bookValue,category,dateShortInterest,earningsQuarterlyGrowth,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,fundFamily,fundInceptionDate,heldPercentInsiders,heldPercentInstitutions,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,revenueQuarterlyGrowth,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,threeYearAverageReturn,totalAssets,trailingEps,yield,ytdReturn
2020,Infinity,0.28336716,,,,,,,,,,,,,,,,,-,,,,,,-,,,1,,,,,,,2,,,0,,22170900,,,-,,,,,,,,
ASC,-0.1382978,0.28336716,,,0.778761,,1.442,,,0.45,,1.393,1543748224,,367563531,0.43,,,-,,,,,1546214400,-,,,1,,,1569801600,152487008,1609372800,,4,2.7669902,,0.13757,,456724000,,,-,,,,,,0.305,,
FIVEPG,-0.72540987,0.28336716,,,1.337795,,0.174,,,,,,18264024,,28674023,,,,-,,,,,1546214400,2017-11-29,5/1,,1,,,1561852800,,1609372800,,4,2.1206896,,0,,53736000,,,-,,,,,,-0.118,,
AASB-ME,0.15178573,0.28336716,,,0.220647,,,,,0.063,,,,,,,,,-,,,,,1546214400,-,,,1,,,1569801600,41275000,1609372800,,2,,,0.40016997,,1013910,,,-,,,,,,,,
AEGA,0.27485383,0.28336716,,,-0.570394,,0.165,,,24.748,,,58051140,,26011264,,,,-,,,,,1546214400,-,,,1,,,1569801600,,1609372800,,4,7.2727275,,0.41834998,,48050800,,,-,,,,,,-0.058,,
ADSC-ME,0.45469236,0.28336716,,,,,,,,,,,,,,,,,-,,,,,,-,,,1,,,,,,,2,,,0,,23390300,,,-,,,,,,,,
AFG,0.28782284,0.28336716,,,0.250201,,18.257,,,0.059,15.088,0.878,19116099584,,38341999,8.39,,,-,,,,,1546214400,2010-01-18,1/5,,1,,,1569801600,899000000,1609372800,,2,9.640138,,0.04131,,103042000,,,-,,,,,,8.995,,
ADE,Infinity,0.28336716,,,,,,,,0.555,,,70839377920,,232843594,,,,-,,,,,1546214400,-,,,1,,,1569801600,,1609372800,,2,,,0.04859,,684947968,,,-,,,,,,,,
AKSO,-0.38344175,0.28336716,,,0.95012,,27.241,,,-0.404,8.299,0.492,14207399936,,142962300,2.33,,,-,,,,,1546214400,2007-03-30,5/1,,1,,,1569801600,357000000,1609372800,,2,0.9074557,,0.01237,,270851008,,,-,,,,,,1.317,,
AKER,0.16233766,0.28336716,,,1.000804,,260.459,,,,26.508,2.05,92566085632,,22384614,26.25,,,-,,,,,1546214400,-,,,1,,,1561852800,-1014000000,1609372800,,2,2.0867007,,-0.008169999,,74278200,,,-,,,,,,-4.968,,
AKERBP,0.29443443,0.28336716,,,1.209975,,6.792,,,,50.518,32.923,106935328768,,107413688,,,,-,,,,,1546214400,2009-12-23,1/1,,1,,,1569801600,93021000,1609372800,,2,42.40283,,0.02864,,360113984,,,-,,,,,,0.258,,
AKA,-0.29420727,0.28336716,,,0.43765,,15.938,,,,13.523,1.045,5111801344,,136630586,0.4,,,-,,,,,1546214400,2007-03-30,1/5,,1,,,1569801600,-278000000,1609372800,,2,0.6236667,,-0.10441,,271609984,,,-,,,,,,-1.881,,
AMSC,0.012326598,0.28336716,,,0.317779,,2.739,,,0.208,29.703,28.661,2516452096,,44908344,0.37,,,-,,,,,1546214400,-,,,1,,,1569801600,4791000,1609372800,,2,11.993427,,0.054569997,,60616500,,,-,,,,,,0.079,,
AKVA,0.121212125,0.28336716,,,0.046661,,32.93,,,0.486,11.293,1.126,3543555072,,7912117,5.73,,,-,,,,,1546214400,-,,,1,,,1569801600,118348000,1609372800,,2,2.247191,,0.0376,,33334300,,,-,,,,,,3.56,,
AQUA,-0.09535456,0.28336716,,,0.77152,,0.604,,,,278.211,3.357,153850704,,12482427,0.14,,,-,,,,,1546214400,2016-07-13,1/25,,1,,,1569801600,11301000,1609372800,,4,6.4403977,,0.24655001,,70316400,,,-,,,,,,0.057,,
ABT,0.025641084,0.28336716,,,1.045052,,1.923,,,,-1.307,17.515,22557618,,4363739,-0.54,,,-,,,,,1546214400,2011-06-27,20/1,,1,,,1561852800,-18216404,1609372800,,4,1.2168486,,0,,6956810,,,-,,,,,,-1.941,,
ARCUS,-0.13480395,0.28336716,,,-0.071,,23.367,,,0.062,13.69,1.565,4301717504,,24561294,3.34,,,-,,,,,1546214400,-,,,1,,,1569801600,135063008,1609372800,,2,1.5620319,,0.04913,,68013200,,,-,,,,,,1.902,,
AFK,-0.14516127,0.28336716,,,0.217216,,1387.583,,,-0.414,11.38,1.115,5428171776,,295418,,,,-,,,,,1546214400,2018-04-27,1/5,,1,,,1569801600,48413000,1609372800,,2,1.895382,,0.00994,,2189420,,,-,,,,,,22.268,,
ARCHER,-0.34049416,0.28336716,,,3.061142,,0.656,,,,11.635,1.332,1118129152,,103891411,0.06,,,-,,,,,1546214400,2015-09-28,10/1,,1,,,1569801600,-108500000,1609372800,,4,4.847561,,-0.12929,,148032000,,,-,,,,,,-0.74,,
ASETEK,-0.32807213,0.28336716,,,0.272727,,1.534,,,,387,13.985,771678016,,21963520,0.3,103.33333,,-,,,,,1546214400,-,,,1,,,1569801600,1319000,1609372800,203.53,2,20.208605,,0.0239,,25600000,,,-,,,,,,0.05,,
AURG,0.10983884,0.28336716,,,-0.134352,,533.164,,,0.166,,13.747,3283047936,,2169668,14.03,,,-,,,,,1546214400,-,,,1,,,1569801600,49356000,1609372800,,2,0.35448754,,0.46105,,2380850,,,-,,,,,,20.73,,
ASA-ME,0.8428571,0.28336716,,,0.560698,,3.032,,,,-1129.61,3621.555,9140803584,,40699366,,,,-,,,,,1546214400,-,,,1,,,1561852800,-14807000,1609372800,,2,42.546173,,0,,71276096,,,-,,,,,,-0.234,,
ATLA NOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATEA,0.17148018,0.28336716,,,0.297666,,25.71,,,0.467,15.809,0.439,16077453312,,81851525,6.93,,,-,,,,,1546214400,2006-06-02,10/1,,1,,,1569801600,516000000,1609372800,,2,5.001945,,0.014090001,,109701000,,,-,,,,,,4.684,,
AUSS,-0.13721806,0.28336716,,,-0.384553,,58.968,,,,11.557,1.499,34432851968,,85353419,,,,-,,,,,1546214400,-,,,1,,,1569801600,1153472000,1609372800,,2,1.5270995,,0.050219998,,201824000,,,-,,,,,,5.713,,
AWDR,-0.4680851,0.28336716,,,0.995172,,5.093,,,,85.624,19.816,804696256,,15090147,-0.22,,,-,,,,,1546214400,-,,,1,,,1569801600,-27778000,1609372800,,2,3.043393,,-0.68403,,54581500,,,-,,,,,,-0.543,,
AVANCE,3.031746,0.28336716,,,1.606596,,5.842,,,,41.796,17.832,3609004032,,42011616,0.32,,,-,,,,,1546214400,-,,,1,,,1569801600,16369000,1609372800,,2,8.558713,,0.08088,,63694100,,,-,,,,,,0.256,,
AVM,1.4682539,0.28336716,,,2.883346,,-1.436,,,,,-2.296,60618004,,16780821,,,,-,,,,,1514678400,2016-06-13,10/1,,1,,,1530316800,-14593000,1577750400,,4,,,0,,20905500,,,-,,,,,,0.243,,
