ticker,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,beta,beta3Year,bookValue,category,dateShortInterest,earningsQuarterlyGrowth,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,fundFamily,fundInceptionDate,heldPercentInsiders,heldPercentInstitutions,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,revenueQuarterlyGrowth,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,threeYearAverageReturn,totalAssets,trailingEps,yield,ytdReturn
2020,Infinity,0.20719647,,,,,,,,,,,,,,,,,-,,,,,,-,,,1,,,,,,,2,,,0,,22170900,,,-,,,,,,,,
STRONG,0.25,0.20719647,,,0.365182,,5.642,,,-0.129,9.299,0.538,602598400,,29354608,1.1,,,-,,,,,1546214400,2005-05-09,1:10,,1,,,1569801600,21023000,1609372800,,2,2.0382843,,0.018760001,,44214800,,,-,,,,,,0.475,,
EIOF,0.17768586,0.20719647,,,0.652631,,21.423,,,,12.548,3.958,2474819072,,12763124,-4.58,,,-,,,,,1546214400,-,,,1,,,1569801600,-134814000,1609372800,,2,0.26606917,,-0.2156,,62150000,,,-,,,,,,-2.173,,
ELK,-0.04832107,0.20719647,,,,,22.265,,,-0.775,6.507,0.832,19546652672,,239174328,4.4,,,-,,,,,1546214400,-,,,1,,,1569801600,1211000064,1609372800,,2,1.0662475,,0.05154,,581310016,,,-,,,,,,2.082,,
EMGS,0.36071432,0.20719647,,,2.174089,,-0.016,,,,18.862,4.449,291717920,,54446720,,,,-,,,,,1546214400,2016-07-01,1:40,,1,,,1569801600,-10103000,1609372800,,4,,,-0.15408,,130970000,,,-,,,,,,-0.077,,
ELE,-0.622905,0.20719647,,,4.485829,,0.727,,,,-22.393,423.539,83860624,,11714639,,,,-,,,,,1546214400,2019-04-25,1:20,,1,,,1569801600,-10651000,1609372800,,2,7.5515814,,0,,18577000,,,-,,,,,,-0.897,,
NRC,-0.20358306,0.20719647,,,-0.0834,,37.817,,,0.562,36.997,0.868,4772616192,,34268494,6.83,,,-,,,,,1546214400,2013-11-21,1:100,,1,,,1569801600,-118000000,1609372800,,2,1.2851362,,-0.0189,,54023100,,,-,,,,,,-2.02,,
OCY,-0.23941368,0.20719647,,,0.619433,,5.05,,,,45.156,35.591,9089875968,,67118814,0.67,,,-,,,,,1546214400,-,,,1,,,1569801600,-100200000,1609372800,,2,9.336634,,-0.39233002,,175084992,,,-,,,,,,-0.631,,
ENDUR,Infinity,0.20719647,,,,,1.341,,,,-4.123,0.76,170168944,,,,,,-,,,,,1514678400,-,,,1,,,1569801600,-71628000,1577750400,,4,0.8128263,,-0.32004002,,213091008,,,-,,,,,,-0.762,,
XXL,-0.5701995,0.20719647,,,1.234817,,27.688,,,-0.686,14.709,0.71,6560293888,,73884011,3.04,,,-,,,,,1546214400,2014-09-30,1:4,,1,,,1569801600,106000000,1609372800,,2,0.43195608,,0.011469999,,165763008,,,-,,,,,,0.773,,
